Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36750.3980940368,,,,
Africa Eastern and Southern,AFE,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899.65357306179,2833.62621907734,2759.89263762669,2739.95001909898,2734.78051871834,2774.18819549694,2843.71363159031,2869.53372836019,2848.6255829758,2840.28155113244,2868.39965138339,2894.82580780826,2966.70388243218,3010.74240449832,3099.90979829293,3207.12689923525,3323.25291957739,3437.69756970694,3473.82414170027,3399.458470307,3433.54527067577,3464.30209640091,3458.67005525146,3502.45118161136,3571.97750939319,3600.83453471298,3626.42830576922,3611.75560719879,3601.72014953947,3596.20310466734,3413.60035157809,
Afghanistan,AFG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085.48757069659,,,,
Africa Western and Central,AFW,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.82117154879,2560.44152669969,2542.61778180087,2391.2043240217,2350.42606929771,2334.63586028661,2382.07576609483,2407.76001392748,2427.88658428211,2422.92041888972,2308.19854679133,2445.69403563618,2637.44316980623,2715.74573266573,2850.01774507271,2922.60339753087,3159.14990855655,3193.7600358653,3299.83413603178,3415.96070159849,3520.99428566292,3593.79973610959,3689.37185885424,3819.77671506869,4043.63843080064,4084.29666519589,4000.07557579001,3970.78233065939,3952.88361910017,4004.92853724273,3886.19743618957,
Angola,AGO,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3690.60485694596,3900.71037247327,4659.95446648686,4684.38482834386,4929.94548426249,5390.6996480226,5672.12646425021,6359.18137614169,6490.78773731813,6999.17540472388,6911.74024129715,6885.53639037758,7280.84566593037,7478.10477735853,7704.23194912203,7652.65648646436,7189.42667231326,6861.57573837968,6381.52194612232,6082.74662363013,5593.14206009858,
Albania,ALB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.16368088655,4952.59695698447,5595.61269685371,6065.19525726429,6645.34833617036,6920.55509539563,7341.56400721201,7756.64838919895,8197.99385651499,8814.50173407501,9399.46896033767,9962.44223626873,10153.0960105123,10643.0576418955,11056.6451715584,11146.2630338012,11552.982468344,11691.6482928666,12016.2976018406,12484.6241972856,12802.1483083937,13302.7059576665,13485.3112352333,,
Andorra,AND,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11211.7708714522,11237.5593722878,11012.9354220986,11502.54800479,12019.515086035,12369.6843146322,12762.2291094245,13072.2040073677,13488.0174240261,13210.4629799103,13321.96804902,13691.048466241,13954.8339030876,14113.2970838653,14275.47767817,14550.9985080937,14365.5063513762,14189.6805591487,14172.3586139096,14163.4346577134,13599.7609438119,
United Arab Emirates,ARE,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103519.05368015,96736.9255587064,97761.5373185006,98236.077594582,92443.5563910675,88502.5122538223,79459.2630373295,69814.6313664741,59017.2610612792,54911.2440683799,56152.0646747192,57445.9547457028,60005.6953622854,62573.5053074292,65577.5122436577,66881.3297415094,67667.5084573543,67195.0952314958,68590.9009415935,,
Argentina,ARG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13597.6863567948,14803.9988794282,15940.7260179415,17132.6844809649,17874.8439875151,17091.7712640006,17782.8454694625,18984.6042221267,19427.0833243173,18535.780944532,18180.449808631,17153.2977046546,14727.8507121606,16057.2107390495,16058.5435410725,17271.0644908679,20131.4025580644,21872.9863923462,22558.4711173168,20884.4499732028,22734.9671188758,23944.3551025716,23557.5131370174,23915.4197241602,23087.8696367693,23508.7673758974,22694.2850978941,22996.6714181766,21924.7311860728,21197.7410411342,19178.3318373587,
Armenia,ARM,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752.65061027128,3097.53675675261,3334.67212732043,3596.49937582672,3778.68842100268,3923.75614400159,4178.38859180994,4602.44172648422,5264.79155372995,6031.85919123671,6753.74125625911,7747.42174738985,8881.59311603459,10262.080082597,11125.753629318,9428.79767856398,9745.42726931556,10072.8956578298,10830.5537163112,11351.5387543403,11518.6047455641,11774.3493429518,11570.467719905,12541.1626316201,12933.8340490823,13847.90825396,12454.1450790478,
American Samoa,ASM,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18775.9510139866,,,,
Australia,AUS,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47085.2271435273,,,,
Austria,AUT,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37786.5403301691,38510.2814848591,38808.5385726636,38720.4138613454,39418.0254192205,40264.3090238845,41294.7715098305,41935.7529446304,43325.16850471,44329.5311218196,46056.6845125665,46225.390195475,47137.6303376543,47510.2662989277,48564.1712130321,49280.023204824,50960.1658333007,52510.5401952263,53611.2250425696,51007.4476561969,52277.5951506283,53356.3961565712,53349.7616505247,53138.1599834912,53001.2194370358,52352.3362714362,53340.7571750628,53665.0266757395,54718.7428074689,55632.2125649959,51798.7853172411,
Azerbaijan,AZE,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13587.5311913215,,,,
Burundi,BDI,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.986441781543,862.689341608919,838.897067611592,840.888229049226,815.394915777932,826.949661496413,787.954430149135,794.612345719288,786.220727190147,809.552923473663,812.506979542574,825.733743069779,823.743775258968,841.740014911119,846.029433285245,860.477909364862,878.118717127568,884.172208963,824.869621938845,794.520466679597,772.402288911951,763.43317177845,753.908943635036,735.737104417909,
