iso3c,gdp
ABW,2929446578
AFE,1.08575E+12
AFG,14259995441
AFW,8.49312E+11
AGO,66505129988
ALB,18032010564
AND,3324647529
ARB,2.96924E+12
ARE,4.15179E+11
ARG,4.86564E+11
ARM,13878908629
ASM,750000000
ATG,1601366667
AUS,1.55674E+12
AUT,4.80467E+11
AZE,54825411765
BDI,2775798697
BEL,5.98494E+11
BEN,17690083520
BFA,19697516284
BGD,4.16272E+11
BGR,84417951261
BHR,40840212766
BHS,11368900000
BIH,23672712242
BLR,69673747132
BLZ,2420550000
BMU,7286607000
BOL,40406111695
BRA,1.67065E+12
BRB,5275242050
BRN,14006496614
BTN,2768802960
BWA,18750946600
CAF,2516498412
CAN,2.00747E+12
CEB,1.9268E+12
CHE,8.13409E+11
CHI,11157002973
CHL,3.15515E+11
CHN,1.78205E+13
CIV,72794636654
CMR,45011937347
COD,55328482784
COG,14825690211
COL,3.18525E+11
COM,1296089480
CPV,2051842610
CRI,64960725734
CSS,37091445808
CUB,
CUW,2739608156
CYM,6060026520
CYP,30372874320
CZE,2.90973E+11
DEU,4.3483E+12
DJI,3385825229
DMA,555266666.7
DNK,4.08378E+11
DOM,94243425938
DZA,1.86231E+11
EAP,2.08499E+13
EAR,1.28113E+13
EAS,3.11557E+13
ECA,1.67034E+12
ECS,2.5524E+13
ECU,1.07435E+11
EGY,4.24672E+11
EMU,1.49177E+13
ERI,
ESP,1.46124E+12
EST,37204563051
ETH,1.11262E+11
EUU,1.74966E+13
FCS,1.78633E+12
FIN,2.94223E+11
FJI,4305031631
FRA,2.96643E+12
FRO,3664686797
FSM,390000000
GAB,19444935097
GBR,3.14332E+12
GEO,18853115589
GHA,79524421861
GIB,
GIN,17069115738
GMB,2014158842
GNB,1853796456
GNQ,12215878033
GRC,2.18304E+11
GRD,1122800000
GRL,3235809504
GTM,86478835636
GUM,6234000000
GUY,8041363893
HIC,6.27379E+13
HKG,3.68954E+11
HND,28144331507
HPC,9.05797E+11
HRV,69006802299
HTI,20877414953
HUN,1.8211E+11
IBD,3.5764E+13
IBT,3.84313E+13
IDA,2.66855E+12
IDB,1.11425E+12
IDN,1.18651E+12
IDX,1.5543E+12
IMN,7931193222
IND,3.16727E+12
INX,
IRL,5.31307E+11
IRN,3.83436E+11
IRQ,2.09692E+11
ISL,25825287184
ISR,4.89708E+11
ITA,2.17921E+12
JAM,14657586127
JOR,46296100141
JPN,5.03462E+12
KAZ,1.97112E+11
KEN,1.09704E+11
KGZ,9249133946
KHM,36790163687
KIR,289339292.2
KNA,858622222.2
KOR,1.81843E+12
KWT,1.48459E+11
LAC,4.69345E+12
LAO,18827148531
LBN,23131941557
LBR,3513049500
LBY,35217995647
LCA,1867185185
LCN,5.58105E+12
LDC,1.27971E+12
LIC,4.74823E+11
LIE,7710380086
LKA,88609324902
LMC,6.91186E+12
LMY,3.47781E+13
LSO,2412130057
LTE,2.69104E+13
LTU,67037321009
LUX,85584105994
LVA,38185125733
MAC,30969334705
MAF,649206262.8
MAR,1.42022E+11
MCO,8623242743
MDA,13691869264
MDG,14554754117
MDV,5252457370
MEA,3.80787E+12
MEX,1.31657E+12
MHL,258900000
MIC,3.43011E+13
MKD,14000283827
MLI,19309463508
MLT,19718565605
MMR,66345291160
MNA,1.55275E+12
MNE,5861427505
MNG,15286441738
MNP,914000000
MOZ,16168055475
MRT,9222536364
MUS,11484348858
MWI,12378129751
MYS,3.73785E+11
NAC,2.56959E+13
NAM,12402486184
NCL,10071349664
NER,14915002436
NGA,4.40834E+11
NIC,14144060853
NLD,1.05447E+12
NOR,5.03368E+11
NPL,36924841394
NRU,175513984.5
NZL,2.53644E+11
OED,5.91696E+13
OMN,87323797139
OSS,2.12298E+11
PAK,3.48517E+11
PAN,67396392500
PER,2.26354E+11
PHL,3.94087E+11
PLW,235752906.3
PNG,26109413522
POL,6.8917E+11
PRE,1.43936E+12
PRI,1.06427E+11
PRK,
PRT,2.56056E+11
PRY,39950899939
PSE,18109000000
PSS,9552334875
PST,5.58289E+13
PYF,6150640646
QAT,1.79732E+11
ROU,2.86578E+11
RUS,1.84339E+12
RWA,11069280650
SAS,4.07987E+12
SAU,8.74156E+11
SDN,34229513775
SEN,27520784130
SGP,4.34112E+11
SLB,1522794913
SLE,7165214368
SLV,29043140000
SMR,1855396000
SOM,9483997404
SRB,66159884073
SSA,1.93357E+12
SSD,
SSF,1.93506E+12
SST,2.58942E+11
STP,524402455.5
SUR,3107923198
SVK,1.20592E+11
SVN,61529280461
SWE,6.37187E+11
SWZ,4737671576
SXM,1353071061
SYC,1487173795
SYR,14353205678
TCA,1045782454
TCD,11779981333
TEA,2.08241E+13
TEC,4.64291E+12
TGO,8342243646
THA,5.06256E+11
TJK,8937805347
TKM,50007428571
TLA,5.31345E+12
TLS,3624889700
TMN,1.53464E+12
TON,518228012.1
TSA,4.07987E+12
TSS,1.93506E+12
TTO,24496397205
TUN,46812290143
TUR,8.19865E+11
TUV,60196405.71
TZA,70655628148
UGA,40529788749
UKR,1.99766E+11
UMC,2.73906E+13
URY,60760798596
USA,2.36812E+13
UZB,77340060003
VCT,872225925.9
VEN,
VGB,
VIR,4507000000
VNM,3.66475E+11
VUT,950394006.5
WLD,9.78483E+13
WSM,843923638.7
XKX,9413403724
YEM,
ZAF,4.20887E+11
ZMB,22096416932
ZWE,27240515109
