iso3c,gdppc
ABW,29127.75938
AFE,1545.613215
AFG,355.7778264
AFW,1766.943618
AGO,1927.474078
ALB,6377.203096
AND,42072.31942
ARB,6419.161029
ARE,44332.34005
ARG,10650.86046
ARM,4972.783204
ASM,16653.71378
ATG,17178.54372
AUS,60697.24544
AUT,53517.89045
AZE,5408.045352
BDI,221.1578034
BEL,51850.39718
BEN,1360.911474
BFA,888.7810788
BGD,2457.924039
BGR,12219.34187
BHR,26850.00339
BHS,28260.43255
BIH,7230.198838
BLR,7489.718947
BLZ,6060.968223
BMU,111774.6691
BOL,3345.023002
BRA,7696.78483
BRB,17507.46799
BRN,31448.91275
BTN,3560.197705
BWA,7238.796098
CAF,461.137511
CAN,52515.19984
CEB,18814.14582
CHE,93446.43445
CHI,67960.727
CHL,16240.60778
CHN,12617.5051
CIV,2613.378893
CMR,1654.257037
COD,576.9747294
COG,2540.473212
COL,6182.707099
COM,1577.470841
CPV,3398.165376
CRI,12604.04884
CSS,10174.38409
CUB,
CUW,17979.99829
CYM,88475.60047
CYP,32745.84375
CZE,26822.51419
DEU,51426.75037
DJI,3062.551482
DMA,7668.158132
DNK,69268.6518
DOM,8476.749639
DZA,3700.314697
EAP,9813.002261
EAR,3727.933835
EAS,13138.72467
ECA,8912.814076
ECS,27420.81343
ECU,5965.132871
EGY,3886.722498
EMU,42527.84271
ERI,
ESP,30488.82095
EST,27943.70122
ETH,925.0006976
EUU,38721.07794
FCS,1779.313291
FIN,53504.69365
FJI,4656.051341
FRA,43671.30841
FRO,69108.20658
FSM,3588.759933
GAB,8635.797144
GBR,46869.75906
GEO,5023.274384
GHA,2422.085913
GIB,
GIN,1189.175999
GMB,772.1514505
GNB,795.118605
GNQ,7406.084975
GRC,20310.68248
GRD,9010.5128
GRL,57116.29577
GTM,5029.477555
GUM,35904.86355
GUY,9994.645704
HIC,48535.46582
HKG,49764.79312
HND,2771.722654
HPC,1047.075198
HRV,17809.03239
HTI,1823.742224
HUN,18753.04695
IBD,7284.449127
IBT,5718.690003
IDA,1461.411109
IDB,1844.32001
IDN,4334.215983
IDX,1272.350348
IMN,
IND,2238.127142
INX,
IRL,102001.7982
IRN,4084.200305
IRQ,4770.835343
ISL,68710.2442
ISR,52129.51596
ITA,36449.25834
JAM,5183.581018
JOR,4152.757954
JPN,40058.53733
KAZ,10373.78979
KEN,2069.661129
KGZ,1365.508304
KHM,1625.235021
KIR,1766.144289
KNA,18035.38614
KOR,35142.26427
KWT,32324.8409
LAC,7873.980782
LAO,2535.623434
LBN,4136.146575
LBR,675.6631858
LBY,5908.951323
LCA,10916.22708
LCN,8478.633406
LDC,1151.571315
LIC,678.65321
LIE,197504.5489
LKA,3996.571995
LMC,2405.603576
LMY,5526.296135
LSO,1029.506189
LTE,11556.48646
LTU,23849.6157
LUX,133711.7944
LVA,20930.39824
MAC,45104.89218
MAF,20320.71688
MAR,3767.524902
MCO,235132.7842
MDA,5274.744847
MDG,503.3520812
MDV,10076.31753
MEA,7696.006608
MEX,10359.14986
MHL,6130.437137
MIC,6085.764133
MKD,6778.562878
MLI,881.5100887
MLT,34881.29127
MMR,1231.694666
MNA,3590.643853
MNE,9465.96153
MNG,4566.14013
MNP,
MOZ,504.0377871
MRT,1998.394003
MUS,9068.980181
MWI,633.6097332
MYS,11134.62295
NAC,68399.10275
NAM,4919.188955
NCL,37247.49312
NER,590.6294948
NGA,2065.77441
NIC,2064.929246
NLD,58727.87055
NOR,93072.89251
NPL,1229.394205
NRU,11632.6925
NZL,49996.42067
OED,42731.28895
OMN,19509.46646
OSS,13975.16651
PAK,1506.108293
PAN,15491.2898
PER,6635.464148
PHL,3460.539382
PLW,12921.82732
PNG,2624.60411
POL,18050.27944
PRE,1417.16419
PRI,32601.56564
PRK,
PRT,24661.16649
PRY,5959.441794
PSE,3678.635657
PSS,3650.854152
PST,49527.66013
PYF,20230.24105
QAT,66858.74172
ROU,14946.62497
RUS,12532.05078
RWA,821.1713948
SAS,2136.192891
SAU,24315.61855
SDN,749.7067871
SEN,1633.560119
SGP,77710.08924
SLB,2232.536954
SLE,504.6212876
SLV,4664.311223
SMR,54982.45171
SOM,576.5236782
SRB,9232.961606
SSA,1634.265336
SSD,
SSF,1635.217341
SST,12682.81722
STP,2350.452701
SUR,5026.879493
SVK,21768.14867
SVN,29331.0647
SWE,61417.68088
SWZ,4068.573816
SXM,31711.61199
SYC,12963.05898
SYR,420.6227052
TCA,23158.6379
TCD,685.690315
TEA,9922.0435
TEC,9982.81223
TGO,976.6661831
THA,7060.897707
TJK,916.6919671
TKM,7885.299896
TLA,8262.542085
TLS,2741.95082
TMN,3589.595352
TON,4425.971492
TSA,2136.192891
TSS,1635.217341
TTO,16056.30204
TUN,3807.184109
TUR,9743.213131
TUV,5372.760239
TZA,1146.031982
UGA,883.4657281
UKR,4827.845703
UMC,10271.80149
URY,17923.99533
USA,70219.47245
UZB,1993.424478
VCT,8360.064239
VEN,
VGB,
VIR,41976.00831
VNM,3756.488901
VUT,3044.57364
WLD,12316.10246
WSM,3857.689742
XKX,5269.783901
YEM,543.6375376
ZAF,7073.612754
ZMB,1134.713454
ZWE,1773.920411
