iso3c,gdppc
ABW,27200.06108
AFE,1522.590088
AFG,356.4962141
AFW,1747.840549
AGO,1925.874661
ALB,6413.283286
AND,42425.69968
ARB,6445.807261
ARE,43360.0211
ARG,10738.01792
ARM,4685.179971
ASM,15236.16049
ATG,17340.37907
AUS,60607.77886
AUT,53648.71907
AZE,5408.045352
BDI,214.0914554
BEL,51655.78833
BEN,1318.834978
BFA,895.5352884
BGD,2482.849178
BGR,12274.0776
BHR,27147.80839
BHS,28682.327
BIH,7295.343824
BLR,7489.718947
BLZ,6122.611586
BMU,112712.0251
BOL,3384.844865
BRA,7972.53665
BRB,18696.7859
BRN,31006.96362
BTN,3570.612579
BWA,7808.20624
CAF,492.2631428
CAN,52496.84417
CEB,19144.06855
CHE,93446.43445
CHI,66912.17501
CHL,16216.57065
CHN,12617.5051
CIV,2455.981276
CMR,1672.326573
COD,558.0340773
COG,2516.162551
COL,6222.621644
COM,1584.124502
CPV,3971.444074
CRI,12838.11854
CSS,11920.34276
CUB,
CUW,17980.08884
CYM,86438.44526
CYP,33734.29297
CZE,27696.46195
DEU,52265.65416
DJI,3019.693439
DMA,8262.650913
DNK,69727.98737
DOM,8472.47982
DZA,4160.559267
EAP,9795.319389
EAR,3732.868491
EAS,13117.39899
ECA,6623.50479
ECS,27591.24375
ECU,6075.802657
EGY,3827.354154
EMU,42978.88179
ERI,
ESP,30817.68286
EST,27953.76702
ETH,910.9478403
EUU,39180.37584
FCS,1753.547754
FIN,53099.13514
FJI,4696.171019
FRA,43725.09995
FRO,68736.50561
FSM,3493.872286
GAB,8181.409141
GBR,46896.86624
GEO,5083.606955
GHA,2445.500818
GIB,
GIN,1244.965505
GMB,781.8909252
GNB,900.4077808
GNQ,6945.630698
GRC,20654.7002
GRD,9622.240505
GRL,57116.29577
GTM,4913.947129
GUM,38074.87937
GUY,9860.872334
HIC,45229.27533
HKG,49770.56424
HND,2735.147515
HPC,1040.034107
HRV,17789.93047
HTI,1835.443941
HUN,18755.10235
IBD,7289.992048
IBT,5707.610643
IDA,1460.266755
IDB,1827.963106
IDN,4287.17314
IDX,1276.232716
IMN,94299.96935
IND,2239.613844
INX,
IRL,105561.1375
IRN,4334.792686
IRQ,4868.494311
ISL,69325.90783
ISR,52255.61591
ITA,36852.54254
JAM,5165.33781
JOR,4183.499983
JPN,40058.53733
KAZ,9983.601036
KEN,2061.356221
KGZ,1349.997307
KHM,2167.403242
KIR,2253.825001
KNA,18361.14497
KOR,35125.5225
KWT,34043.54215
LAC,7996.407761
LAO,2526.05105
LBN,4045.373911
LBR,667.9661051
LBY,4935.827873
LCA,10459.13212
LCN,8596.355885
LDC,1153.750929
LIC,680.0527236
LIE,196783.7294
LKA,3999.337647
LMC,2300.761243
LMY,5345.679193
LSO,1066.586451
LTE,11597.48556
LTU,23934.72849
LUX,133711.7944
LVA,20262.84339
MAC,45376.31459
MAF,21668.37765
MAR,3785.936279
MCO,223823.364
MDA,5274.605822
MDG,490.2062386
MDV,10176.14388
MEA,7801.403934
MEX,10314.05067
MHL,6258.611937
MIC,5906.22675
MKD,7620.80297
MLI,862.4674001
MLT,38027.38017
MMR,1242.721344
MNA,3653.70377
MNE,9465.96153
MNG,4517.61578
MNP,19455.50139
MOZ,509.9078295
MRT,1947.789184
MUS,9068.973002
MWI,617.4475208
MYS,10903.11164
NAC,69382.17285
NAM,4412.835569
NCL,35311.55436
NER,608.7224396
NGA,2017.274865
NIC,2128.609806
NLD,60141.98809
NOR,93072.89251
NPL,1252.750767
NRU,14989.66475
NZL,49624.18167
OED,43133.78607
OMN,19403.46002
OSS,15120.10408
PAK,1455.319224
PAN,15509.80691
PER,6826.972007
PHL,3484.385939
PLW,13257.20667
PNG,2607.578619
POL,18635.51049
PRE,1404.303658
PRI,32619.25042
PRK,
PRT,24711.45101
PRY,5976.931798
PSE,3678.635657
PSS,3638.301407
PST,49980.40433
PYF,21982.90389
QAT,71751.88312
ROU,14986.78549
RUS,12521.52246
RWA,828.8330328
SAS,2131.302296
SAU,28396.08642
SDN,712.1220093
SEN,1598.10677
SGP,79601.41296
SLB,1996.869768
SLE,885.1842707
SLV,4642.607431
SMR,54168.98283
SOM,549.1147435
SRB,9680.527981
SSA,1612.770038
SSD,
SSF,1613.87686
SST,13092.49757
STP,2362.588272
SUR,5029.848385
SVK,22138.19498
SVN,29187.36938
SWE,61174.96802
SWZ,3926.486874
SXM,32548.43669
SYC,14982.91115
SYR,663.6142457
TCA,23114.79021
TCD,660.7471926
TEA,9905.154404
TEC,10010.77441
TGO,939.6133738
THA,7058.0695
TJK,896.7480534
TKM,7051.202111
TLA,8382.654516
TLS,2684.827044
TMN,3653.411588
TON,4912.579506
TSA,2131.302296
TSS,1613.87686
TTO,17912.51062
TUN,3885.281665
TUR,9743.212778
TUV,5905.081981
TZA,1159.856567
UGA,882.7917175
UKR,4775.945801
UMC,9770.290697
URY,17888.21151
USA,71318.30736
UZB,2258.519641
VCT,8481.305374
VEN,
VGB,
VIR,42571.07774
VNM,3704.193559
VUT,3107.203129
WLD,12352.73608
WSM,3947.645179
XKX,5270.426702
YEM,522.1735127
ZAF,6843.399419
ZMB,1127.160779
ZWE,1724.387731
