iso3c,mean_hccostpd_id,upper_hccostspd_id,lower_hccostspd_id
ATG,282.53,602.44,110.95
AUS,709.66,1476.8,266.12
AUT,669.2,1512.78,244.91
BHS,464.06,971.97,179.76
BHR,290.75,614.81,117.36
BRB,329.93,745.96,129.79
BEL,637.16,1319.98,250.43
BRN,876.81,1814.11,343.79
CAN,646.49,1461.88,237.17
CHL,264.25,550.71,103.47
HRV,271.12,581.77,103.91
CYP,487.69,1042.45,186.83
CZE,374.96,815.56,142.21
DNK,677.56,1507.26,255.84
EST,288.24,588.84,113.49
FIN,580.97,1222.78,221.39
FRA,545.08,1193.02,210.86
DEU,617.52,1356.8,244.5
GRC,437.22,943.81,162.5
GUY,30.36,65.87,12.1
HUN,293.87,621.89,117.68
ISL,579,1266.73,221.34
IRL,685.01,1505.89,253.65
ISR,414.11,884.31,162.47
ITA,523.5,1148.02,188.98
JPN,536.06,1099.83,211.51
KWT,596.82,1289.85,226.09
LVA,245.68,509.04,94.48
LTU,255.54,534.81,102.3
LUX,1643.8,3516.66,633.13
MLT,412.02,857.69,155.02
NLD,721.94,1579.6,264.98
NZL,457.97,928.12,184.16
NOR,1035.61,2162.49,412.81
OMN,319.08,674.43,120.1
PAN,182.34,378.95,73.19
POL,293.56,615.71,112.99
PRT,389.43,828.66,154.65
QAT,1446.74,3113.76,537.28
ROU,202.22,439.38,79.57
SAU,355.3,739.95,138.22
SYC,343.7,741.63,133.92
SGP,1054.5,2195.35,405.35
SVK,344.52,738.62,137.39
SVN,411.12,851.38,164.97
KOR,447.02,948.4,174.96
ESP,490.99,1052.74,183.95
SWE,656.12,1453.55,258.86
CHE,846.91,1900.34,311.94
TTO,392.75,837.77,154
ARE,719.15,1625.1,272.51
GBR,570.07,1265.39,217.32
USA,788.5,1700.93,293.85
URY,193.04,400.45,78.81
