iso3c,life_exp
AFG,65.265
AGO,65.485
ALB,78.08
ARE,76.76
ARG,76.505
ARM,75.825
ATG,76.42
AUS,83.045
AUT,81.61
AZE,71.84
BDI,65.55
BEL,81.4
BEN,66.43
BFA,65.215
BGD,75.245
BGR,75.125
BHR,76.03
BHS,73.22
BIH,76.735
BLR,74.635
BLZ,74.565
BOL,72.725
BRA,75.92
BRB,75.99
BRN,74.375
BTN,73.91
BWA,63.305
CAF,57.02
CAN,82.225
CHE,83.415
CHL,80.67
CIV,66.06
CMR,64.71
COD,65.805
COG,66.085
COL,79.28
COM,69.93
CPV,73.92
CRI,80.875
CUB,77.81
CYP,83.12
CZE,79.115
DEU,81.745
DJI,68.275
DNK,81.305
DOM,73.74
DZA,77.71
ECU,78.455
EGY,72.16
ERI,65.14
ESP,83.18
EST,78.65
ETH,70.285
FIN,81.6
FJI,68.635
FRA,82.425
FSM,63.765
GAB,67.76
GBR,81.39
GEO,73.275
GHA,67.74
GIN,63.93
GMB,66.97
GNB,62.51
GNQ,65.28
GRC,81.105
GRD,73.08
GTM,72.49
GUY,66.61
HND,71.945
HRV,78.57
HTI,66.315
HUN,76.34
IDN,71.86
IND,71.86
IRL,81.84
IRN,77.39
IRQ,73.135
ISL,82.34
ISR,82.575
ITA,82.905
JAM,76.02
JOR,78.015
JPN,84.215
KAZ,73.795
KEN,67.295
KGZ,74.345
KHM,70.655
KOR,83.205
KWT,81.6
LAO,70.08
LBN,76.59
LBR,67.285
LBY,75.775
LCA,75.005
LKA,76.805
LSO,53.575
LTU,75.83
LUX,82.41
LVA,75.21
MAR,73.41
MDA,73.19
MDG,66.765
MDV,79.695
MEX,75.995
MKD,74.855
MLI,65.835
MLT,81.87
MMR,70.56
MNE,75.9
MNG,68.29
MOZ,60.41
MRT,71.035
MUS,74.135
MWI,66.745
MYS,74.845
NAM,65.54
NER,65.455
NGA,66.605
NIC,75.085
NLD,81.775
NOR,82.605
NPL,71.665
NZL,81.94
OMN,74.115
PAK,68.465
PAN,79.375
PER,79.9
PHL,71.17
PNG,66.795
POL,78.23
PRK,72.49
PRT,81.48
PRY,76.2
QAT,77.33
ROU,75.605
RUS,73.09
RWA,69.89
SAU,74.63
SDN,71.09
SEN,69.8
SGP,83.25
SLB,65.49
SLE,65.05
SLV,74.855
SOM,60.06
SRB,75.87
SSD,66.05
STP,71.12
SUR,71.735
SVK,78.14
SVN,81.325
SWE,82.4
SWZ,59.515
SYC,73.565
SYR,73.11
TCD,63.09
TGO,66.465
THA,77.7
TJK,70.695
TKM,71.55
TLS,71.21
TTO,76.44
TUN,77.21
TUR,78.555
TZA,68.825
UGA,67.93
UKR,72.905
URY,77.02
USA,78.505
UZB,73.12
VCT,73.355
VEN,74.94
VNM,73.985
VUT,65.93
YEM,68.705
ZAF,66.11
ZMB,64.275
ZWE,62.175
