Country Name,iso3c,lifeexpectancy_2021
Aruba,ABW,74.626
Africa Eastern and Southern,AFE,62.45458965
Afghanistan,AFG,61.982
Africa Western and Central,AFW,56.98865678
Angola,AGO,61.643
Albania,ALB,76.463
Andorra,AND,
Arab World,ARB,70.81448302
United Arab Emirates,ARE,78.71
Argentina,ARG,75.39
Armenia,ARM,72.043
American Samoa,ASM,
Antigua and Barbuda,ATG,78.497
Australia,AUS,83.3
Austria,AUT,81.23902439
Azerbaijan,AZE,69.366
Burundi,BDI,61.663
Belgium,BEL,81.8902439
Benin,BEN,59.821
Burkina Faso,BFA,59.27
Bangladesh,BGD,72.381
Bulgaria,BGR,71.51463415
Bahrain,BHR,78.76
"Bahamas, The",BHS,71.598
Bosnia and Herzegovina,BIH,75.3
Belarus,BLR,72.37068293
Belize,BLZ,70.47
Bermuda,BMU,79.28
Bolivia,BOL,63.63
Brazil,BRA,72.75
Barbados,BRB,77.571
Brunei Darussalam,BRN,74.642
Bhutan,BTN,71.815
Botswana,BWA,61.141
Central African Republic,CAF,53.895
Canada,CAN,82.59660976
Central Europe and the Baltics,CEB,74.93207697
Switzerland,CHE,83.85121951
Channel Islands,CHI,81.232
Chile,CHL,78.944
China,CHN,78.211
Cote d'Ivoire,CIV,58.598
Cameroon,CMR,60.333
"Congo, Dem. Rep.",COD,59.193
"Congo, Rep.",COG,63.519
Colombia,COL,72.83
Comoros,COM,63.417
Cabo Verde,CPV,74.052
Costa Rica,CRI,77.023
Caribbean small states,CSS,70.99625867
Cuba,CUB,73.683
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,81.203
Czechia,CZE,77.37317073
Germany,DEU,80.90097561
Djibouti,DJI,62.305
Dominica,DMA,72.814
Denmark,DNK,81.40487805
Dominican Republic,DOM,72.615
Algeria,DZA,76.377
East Asia & Pacific (excluding high income),EAP,75.5432913
Early-demographic dividend,EAR,68.46604059
East Asia & Pacific,EAS,76.39389847
Europe & Central Asia (excluding high income),ECA,71.42246728
Europe & Central Asia,ECS,76.62505315
Ecuador,ECU,73.67
"Egypt, Arab Rep.",EGY,70.221
Euro area,EMU,81.59494669
Eritrea,ERI,66.536
Spain,ESP,83.17804878
Estonia,EST,76.74146341
Ethiopia,ETH,64.975
European Union,EUU,80.38752852
Fragile and conflict affected situations,FCS,61.25304717
Finland,FIN,81.93414634
Fiji,FJI,67.114
France,FRA,82.32439024
Faroe Islands,FRO,83.49756098
"Micronesia, Fed. Sts.",FSM,70.71
Gabon,GAB,65.821
United Kingdom,GBR,80.7
Georgia,GEO,71.694
Ghana,GHA,63.795
Gibraltar,GIB,79.329
Guinea,GIN,58.892
"Gambia, The",GMB,62.083
Guinea-Bissau,GNB,59.652
Equatorial Guinea,GNQ,60.594
Greece,GRC,80.18292683
