iso3c,cost_pd2019
AFG,33.8
ALB,104.61
DZA,111.21
AGO,45.96
ARG,155.69
ARM,87.77
AZE,124.7
BGD,35.87
BLR,138.01
BLZ,81.79
BEN,38.15
BTN,46.72
BOL,47.24
BIH,112.61
BWA,137.06
BRA,127.26
BGR,155.28
BFA,35.44
BDI,28.43
CPV,47.5
KHM,34.88
CMR,34.73
CAF,30.39
TCD,35.5
CHN,139.47
COL,116.07
COM,33.7
COD,31.28
COG,38.84
CRI,143.07
CIV,35.89
DMA,100.96
DOM,132.49
ECU,100.05
EGY,44.13
SLV,50.13
GNQ,161.62
SWZ,51.58
ETH,35.29
FJI,95.89
GAB,132.81
GMB,37.19
GEO,96.82
GHA,38.7
GRD,129.5
GTM,80.01
GIN,38.19
GNB,35.42
GUY,82.02
HTI,36.33
HND,40.44
IND,44.68
IDN,51.5
IRQ,124.95
JAM,86.22
JOR,83.86
KAZ,184.08
KEN,45.2
KIR,34.51
KGZ,33.45
LAO,41.75
LBN,111.56
LSO,33.23
LBR,33.25
LBY,144.18
MDG,33.68
MWI,30.95
MYS,206.38
MDV,127.5
MLI,37.84
MHL,57.28
MRT,33.09
MUS,168.95
MEX,146.62
FSM,45.3
MDA,45.27
MNG,53.04
MNE,148.24
MAR,45.94
MOZ,32.24
MMR,35
NAM,95.99
NRU,131.8
NPL,41.06
NIC,38.16
NER,30.46
NGA,38.37
MKD,120.67
PAK,33.32
PNG,41.27
PRY,107.22
PER,114.07
PHL,45.41
ROU,192.43
RUS,184.76
RWA,36.64
WSM,69.88
STP,37.01
SEN,34.67
SRB,128.83
SLE,32.92
SLB,37.26
ZAF,105.88
LKA,101.91
LCA,121.56
VCT,105.4
SDN,32.27
SSD,117.17
SUR,40.45
SYR,40.41
TJK,41.58
TZA,136.36
THA,39.19
TLS,34.56
TGO,70.08
TON,48.89
TUN,183.74
TUR,136.69
TKM,57.32
TUV,35.01
UGA,45.5
UKR,36.98
UZB,301.56
VUT,42.82
VNM,41.88
PSE,44.12
YEM,38.92
ZMB,34.97
ZWE,37.6
