iso3c,pop
ABW,106537
AFE,702977106
AFG,40099462
AFW,478185907
AGO,34503774
ALB,2811666
AND,79034
ARB,456520777
ARE,9365145
ARG,45808747
ARM,2790974
ASM,45035
ATG,93219
AUS,25685412
AUT,8955797
AZE,10137750
BDI,12551213
BEL,11586195
BEN,12996895
BFA,22100683
BGD,169356251
BGR,6877743
BHR,1463265
BHS,407906
BIH,3270943
BLR,9302585
BLZ,400031
BMU,63764
BOL,12079472
BRA,214326223
BRB,281200
BRN,445373
BTN,777486
BWA,2588423
CAF,5457154
CAN,38239864
CEB,101413157
CHE,8704546
CHI,172683
CHL,19493184
CHN,1412360000
CIV,27478249
CMR,27198628
COD,95894118
COG,5835806
COL,51516562
COM,821625
CPV,587925
CRI,5153957
CSS,3128519
CUB,11256372
CUW,152369
CYM,68136
CYP,1244188
CZE,10505772
DEU,83196078
DJI,1105557
DMA,72412
DNK,5856733
DOM,11117873
DZA,44177969
EAP,2123610397
EAR,3411268373
EAS,2370214403
ECA,250663105
ECS,924168763
ECU,17797737
EGY,109262178
EMU,346942960
ERI,3620312
ESP,47415794
EST,1330932
ETH,120283026
EUU,447178093
FCS,1001870564
FIN,5541017
FJI,924610
FRA,67764304
FRO,52889
FSM,113131
GAB,2341179
GBR,67026292
GEO,3708610
GHA,32833031
GIB,32669
GIN,13531906
GMB,2639916
GNB,2060721
GNQ,1634466
GRC,10569207
GRD,124610
GRL,56653
GTM,17109746
GUM,170534
GUY,804567
HIC,1392964458
HKG,7413100
HND,10278345
HPC,861156745
HRV,3878981
HTI,11447569
HUN,9709891
IBD,4894666421
IBT,6696373761
IDA,1801707340
IDB,596608333
IDN,273753191
IDX,1205099007
IMN,84263
IND,1407563842
INX,
IRL,5033164
IRN,87923432
IRQ,43533592
ISL,372520
ISR,9371400
ITA,59133173
JAM,2827695
JOR,11148278
JPN,125681593
KAZ,19191356
KEN,53005614
KGZ,6773400
KHM,16589023
KIR,128874
KNA,47606
KOR,51769539
KWT,4250114
LAC,592503434
LAO,7425057
LBN,5592631
LBR,5193416
LBY,6735277
LCA,179651
LCN,654978670
LDC,1098791080
LIC,685250041
LIE,39039
LKA,22156000
LMC,2983113040
LMY,6467799496
LSO,2281454
LTE,2323185156
LTU,2800839
LUX,640064
LVA,1884490
MAC,686607
MAF,31948
MAR,37076584
MCO,36686
MDA,2595809
MDG,28915653
MDV,521457
MEA,486174763
MEX,126705138
MHL,42050
MIC,5782549455
MKD,1837114
MLI,21904983
MLT,518536
MMR,53798084
MNA,418047201
MNE,619211
MNG,3347782
MNP,49481
MOZ,32077072
MRT,4614974
MUS,1266334
MWI,19889742
MYS,33573874
NAC,370352605
NAM,2530151
NCL,270390
NER,25252722
NGA,213401323
NIC,6850540
NLD,17533044
NOR,5408320
NPL,30034989
NRU,12511
NZL,5111300
OED,1371972508
OMN,4520471
OSS,13943732
PAK,231402117
PAN,4351267
PER,33715471
PHL,113880328
PLW,18024
PNG,9949437
POL,37747124
PRE,1011043183
PRI,3262693
PRK,25971909
PRT,10361831
PRY,6703799
PSE,4922749
PSS,2602173
PST,1116651310
PYF,304032
QAT,2688235
ROU,19122059
RUS,144746762
RWA,13461888
SAS,1901911604
SAU,35950396
SDN,45657202
SEN,16876720
SGP,5453566
SLB,707851
SLE,8420641
SLV,6314167
SMR,33745
SOM,17065581
SRB,6834326
SSA,1181063755
SSD,10748272
SSF,1181163013
SST,19674424
STP,223107
SUR,612985
SVK,5447247
SVN,2108079
SWE,10415811
SWZ,1192271
SXM,40708
SYC,99258
SYR,21324367
TCA,45114
TCD,17179740
TEA,2097669023
TEC,463035774
TGO,8644829
THA,71601103
TJK,9750064
TKM,6341855
TLA,639469895
TLS,1320942
TMN,413124452
TON,106017
TSA,1901911604
TSS,1181163013
TTO,1525663
TUN,12262946
TUR,84147318
TUV,11204
TZA,63588334
UGA,45853778
UKR,43848986
UMC,2799436415
URY,3426260
USA,332048977
UZB,34915100
VCT,104332
VEN,28199867
VGB,31122
VIR,105870
VNM,97468029
VUT,319137
WLD,7888963821
WSM,218764
XKX,1786038
YEM,32981641
ZAF,59392255
ZMB,19473125
ZWE,15993524
