iso3c,2010
ABW,1.278604949
AFE,
AFG,14.54305294
AFW,
AGO,50.04015159
ALB,44.20565841
AND,0.735279068
ARB,
ARE,1.917942884
ARG,2.25500158
ARM,160.1685897
ASM,
ATG,1.714805668
AUS,1.503623
AUT,0.842336
AZE,0.319464642
BDI,434.6733931
BEL,0.836717
BEN,216.8848722
BFA,213.3438208
BGD,22.15153146
BGR,0.677084059
BHR,0.166183913
BHS,0.925044272
BIH,0.732406412
BLR,0.116989823
BLZ,1.120102846
BMU,1.44221789
BOL,2.654754754
BRA,1.388137023
BRB,1.988678514
BRN,0.598895801
BTN,15.33099057
BWA,3.31109427
CAF,251.9573599
CAN,1.22182
CEB,
CHE,1.466316
CHI,
CHL,359.83702
CHN,3.32839098
CIV,228.7388728
CMR,237.4833172
COD,477.2234325
COG,284.4722133
COL,1120.764171
COM,216.8895514
CPV,49.36466549
CRI,336.211434
CSS,
CUB,
CUW,1.368679066
CYM,0.96540813
CYP,0.70029064
CZE,13.67437
DEU,0.80518
DJI,
DMA,1.877378651
DNK,7.59215
DOM,17.92276395
DZA,25.73290522
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,0.503995944
EGY,1.530647431
EMU,
ERI,5.188798387
ESP,0.72705
EST,0.512185
ETH,4.28061851
EUU,
FCS,
FIN,0.900632
FJI,0.885114988
FRA,0.85478
FRO,6.7896145
FSM,0.883339899
GAB,295.0382859
GBR,0.702364
GEO,0.758468684
GHA,0.624646347
GIB,
GIN,2327.710314
GMB,9.898633802
GNB,216.8175827
GNQ,259.4277081
GRC,0.722101
GRD,1.80348339
GRL,4.961424884
GTM,3.472164811
GUM,
GUY,99.93049395
HIC,
HKG,5.140234933
HND,9.520735947
HPC,
HRV,0.514214892
HTI,18.09471033
HUN,126.432497
IBD,
IBT,
IDA,
IDB,
IDN,3336.15075
IDX,
IMN,
IND,14.59563226
INX,
IRL,0.84965
IRN,3925.111954
IRQ,428.3741289
ISL,132.90391
ISR,3.990721
ITA,0.773262
JAM,51.90640859
JOR,0.280366412
JPN,111.709563
KAZ,69.50526623
KEN,32.82276697
KGZ,13.10585275
KHM,1353.976763
KIR,0.962676747
KNA,1.89443693
KOR,840.991702
KWT,0.149479689
LAC,
LAO,2463.637223
LBN,781.8423633
LBR,0.502238238
LBY,0.486070535
LCA,1.841433277
LCN,
LDC,
LIC,
LIE,
LKA,38.56461533
LMC,
LMY,
LSO,3.806158747
LTE,
LTU,0.450453
LUX,0.925799
LVA,0.487088
MAC,4.215608495
MAF,
MAR,3.770619256
MCO,
MDA,4.712711234
MDG,642.4702827
MDV,7.124127891
MEA,
MEX,7.727342
MHL,0.892484195
MIC,
MKD,18.73435158
MLI,196.5971287
MLT,0.572601081
MMR,242.3344525
MNA,
MNE,0.370064789
MNG,473.0174579
MNP,
MOZ,16.84645773
MRT,13.98764814
MUS,15.6845694
MWI,70.52742878
MYS,1.41955052
NAC,
NAM,4.651669028
NCL,
NER,221.976991
NGA,73.24002796
NIC,8.065421441
NLD,0.854194
NOR,9.152811
NPL,20.39255657
NRU,0.956671316
NZL,1.497331
OED,
OMN,0.162801261
OSS,
PAK,21.88511202
PAN,0.533207176
PER,1.475221832
PHL,17.77448136
PLW,0.760587111
PNG,1.817688789
POL,1.805127
PRE,
PRI,0.854607174
PRK,
PRT,0.62323
PRY,2065.303559
PSE,0.650619665
PSS,
PST,
PYF,
QAT,1.857546296
ROU,1.53797248
RUS,15.821142
RWA,263.4135153
SAS,
SAU,1.402870607
SDN,0.994932969
SEN,237.1074997
SGP,0.854205842
SLB,6.227584279
SLE,1.410126331
SLV,0.486574039
SMR,0.723805033
SOM,8408.934393
SRB,34.84098031
SSA,
SSD,1.17140595
SSF,
SST,
STP,6.791426287
SUR,1.67250223
SVK,0.502173
SVN,0.63801
SWE,9.026183
SWZ,3.92604973
SXM,1.369680089
SYC,6.951892387
SYR,
TCA,
TCD,242.6375767
TEA,
TEC,
TGO,226.9428826
THA,12.18660245
TJK,1.409285194
TKM,1.289270164
TLA,
TLS,0.415817434
TMN,
TON,1.475617974
TSA,
TSS,
TTO,3.483195322
TUN,0.582029228
TUR,0.920469
TUV,1.114532035
TZA,496.744243
UGA,798.8103814
UKR,2.853492255
UMC,
URY,14.18771453
USA,1
UZB,505.1680638
VCT,1.675011705
VEN,2.135241101
VGB,
VIR,0.959083442
VNM,5813.188787
VUT,99.80326895
WLD,
WSM,1.710389606
XKX,0.313896406
YEM,70.40482104
ZAF,4.619309414
ZMB,2.247209945
ZWE,0.519782041
