iso3c,vac_cov
AFG,0.0879
AGO,0.0974
ALB,0.3420
ARE,0.8990
ARG,0.6720
ARM,0.1820
ATG,0.5840
AUS,0.7430
AUT,0.6360
AZE,0.4500
BDI,0.0001
BEL,0.7530
BEN,0.0684
BFA,0.0154
BGD,0.2380
BGR,0.2640
BHR,0.6660
BHS,0.3600
BIH,0.2360
BLR,0.3110
BLZ,0.4850
BOL,0.3630
BRA,0.6460
BRB,0.4830
BRN,0.8210
BTN,0.7240
BWA,0.3040
CAF,0.0711
CAN,0.7660
CHE,0.6590
CHL,0.8470
CIV,0.0536
CMR,0.0226
COD,0.0007
COG,0.0238
COL,0.5020
COM,0.2750
CPV,0.4490
CRI,0.6430
CUB,0.8250
CYP,0.6590
CZE,0.6020
DEU,0.6880
DJI,0.0658
DNK,0.7680
DOM,0.5150
DZA,0.1230
ECU,0.6570
EGY,0.1640
EIR,0.0000
ESP,0.8060
EST,0.6010
ETH,0.0123
FIN,0.7340
FJI,0.6560
FRA,0.7080
GAB,0.0684
GBR,0.6840
GEO,0.2600
GHA,0.0417
GIN,0.0604
GMB,0.0915
GNB,0.0102
GNQ,0.1370
GRC,0.6470
GRD,0.3080
GTM,0.2340
GUY,0.3590
HKG,0.6040
HND,0.3880
HRV,0.4730
HTI,0.0060
HUN,0.6100
IDN,0.3640
IND,0.3530
IRL,0.7680
IRN,0.5710
IRQ,0.1220
ISL,0.7650
ISR,0.6240
ITA,0.7330
JAM,0.1780
JOR,0.3700
JAP,0.7770
KAZ,0.4330
KEN,0.0567
KGZ,0.1400
KHM,0.7980
KOR,0.8110
KWT,0.7340
LAO,0.4470
LBN,0.2550
LBR,0.1110
LBY,0.1040
LCA,0.2570
LKA,0.6410
LSO,0.2860
LTU,0.6690
LUX,0.6770
LVA,0.6540
MAR,0.6120
MDA,0.2360
MDG,0.0195
MDV,0.6720
MEX,0.5030
MKD,0.3850
MLI,0.0160
MLT,0.8400
MMR,0.2320
MNE,0.4160
MNG,0.6470
MOZ,0.1330
MRT,0.1460
MUS,0.7030
MWI,0.0317
MYS,0.7790
NAM,0.1200
NER,0.0235
NGA,0.0182
NIC,0.3730
NLD,0.7060
NOR,0.7090
NPL,0.2990
NZL,0.7260
OMN,0.5470
PAK,0.2420
PAN,0.5570
PER,0.5870
PHL,0.3560
PNG,0.0229
POL,0.5450
PRT,0.8870
PRY,0.3810
PSE,0.2710
QAT,0.7570
ROU,0.3660
RUS,0.4080
RWA,0.3160
SAU,0.6430
SDN,0.0275
SEN,0.0543
SGP,0.8530
SLE,0.0452
SLV,0.6290
SOM,0.0404
SRB,0.4590
SSD,0.0153
STP,0.2160
SUR,0.3770
SVK,0.4740
SVN,0.5590
SWE,0.7090
SWZ,0.2410
SYC,0.7900
SYR,0.0414
TCD,0.0046
TGO,0.0901
THA,0.6170
TJK,0.2700
TLS,0.3670
TTO,0.4640
TUN,0.4430
TUR,0.5970
TWN,0.6170
TZA,0.0179
UGA,0.0270
UKR,0.2800
URY,0.7650
USA,0.6100
UZB,0.3160
VCT,0.2160
VEN,0.3740
VNM,0.5700
VUT,0.1460
YEM,0.0084
ZAF,0.2530
ZMB,0.0417
ZWE,0.1940
