Economy,iso3c,region,income_group,Lending category
Aruba,ABW,latin_america_caribbean,H,
Afghanistan,AFG,south_asia,L,IDA
Angola,AGO,sub_saharan_africa,LM,IBRD
Albania,ALB,europe_central_asia,UM,IBRD
Andorra,AND,europe_central_asia,H,
United Arab Emirates,ARE,middle_east_north_africa,H,
Argentina,ARG,latin_america_caribbean,UM,IBRD
Armenia,ARM,europe_central_asia,UM,IBRD
American Samoa,ASM,east_asia_pacific,H,
Antigua and Barbuda,ATG,latin_america_caribbean,H,IBRD
Australia,AUS,east_asia_pacific,H,
Austria,AUT,europe_central_asia,H,
Azerbaijan,AZE,europe_central_asia,UM,IBRD
Burundi,BDI,sub_saharan_africa,L,IDA
Belgium,BEL,europe_central_asia,H,
Benin,BEN,sub_saharan_africa,LM,IDA
Burkina Faso,BFA,sub_saharan_africa,L,IDA
Bangladesh,BGD,south_asia,LM,IDA
Bulgaria,BGR,europe_central_asia,UM,IBRD
Bahrain,BHR,middle_east_north_africa,H,
"Bahamas, The",BHS,latin_america_caribbean,H,
Bosnia and Herzegovina,BIH,europe_central_asia,UM,IBRD
Belarus,BLR,europe_central_asia,UM,IBRD
Belize,BLZ,latin_america_caribbean,UM,IBRD
Bermuda,BMU,north_america,H,
Bolivia,BOL,latin_america_caribbean,LM,IBRD
Brazil,BRA,latin_america_caribbean,UM,IBRD
Barbados,BRB,latin_america_caribbean,H,
Brunei Darussalam,BRN,east_asia_pacific,H,
Bhutan,BTN,south_asia,LM,IDA
Botswana,BWA,sub_saharan_africa,UM,IBRD
Central African Republic,CAF,sub_saharan_africa,L,IDA
Canada,CAN,north_america,H,
Switzerland,CHE,europe_central_asia,H,
Channel Islands,CHI,europe_central_asia,H,
Chile,CHL,latin_america_caribbean,H,IBRD
China,CHN,east_asia_pacific,UM,IBRD
Côte d’Ivoire,CIV,sub_saharan_africa,LM,IDA
Cameroon,CMR,sub_saharan_africa,LM,Blend
"Congo, Dem. Rep.",COD,sub_saharan_africa,L,IDA
"Congo, Rep.",COG,sub_saharan_africa,LM,Blend
Colombia,COL,latin_america_caribbean,UM,IBRD
Comoros,COM,sub_saharan_africa,LM,IDA
Cabo Verde,CPV,sub_saharan_africa,LM,Blend
Costa Rica,CRI,latin_america_caribbean,UM,IBRD
Cuba,CUB,latin_america_caribbean,UM,
Curaçao,CUW,latin_america_caribbean,H,
Cayman Islands,CYM,latin_america_caribbean,H,
Cyprus,CYP,europe_central_asia,H,
Czechia,CZE,europe_central_asia,H,
Germany,DEU,europe_central_asia,H,
Djibouti,DJI,middle_east_north_africa,LM,IDA
Dominica,DMA,latin_america_caribbean,UM,Blend
Denmark,DNK,europe_central_asia,H,
Dominican Republic,DOM,latin_america_caribbean,UM,IBRD
Algeria,DZA,middle_east_north_africa,LM,IBRD
Ecuador,ECU,latin_america_caribbean,UM,IBRD
"Egypt, Arab Rep.",EGY,middle_east_north_africa,LM,IBRD
Eritrea,ERI,sub_saharan_africa,L,IDA
Spain,ESP,europe_central_asia,H,
Estonia,EST,europe_central_asia,H,
Ethiopia,ETH,sub_saharan_africa,L,IDA
Finland,FIN,europe_central_asia,H,
Fiji,FJI,east_asia_pacific,UM,Blend
France,FRA,europe_central_asia,H,
Faroe Islands,FRO,europe_central_asia,H,
"Micronesia, Fed. Sts.",FSM,east_asia_pacific,LM,IDA
Gabon,GAB,sub_saharan_africa,UM,IBRD
United Kingdom,GBR,europe_central_asia,H,
Georgia,GEO,europe_central_asia,UM,IBRD
Ghana,GHA,sub_saharan_africa,LM,IDA
Gibraltar,GIB,europe_central_asia,H,
