"","income_group","replicate.x","averted_total_costs","replicate.y","mean_hccosts_percentGDP"
"1","H",1,443622220027.272,1,1.11307613602926
"2","H",1,443622220027.272,2,1.14599970838249
"3","H",1,443622220027.272,3,1.15234820545143
"4","H",1,443622220027.272,4,1.14287755504822
"5","H",1,443622220027.272,5,1.15361144492403
"6","H",1,443622220027.272,6,1.1384788487853
"7","H",1,443622220027.272,7,1.14982969910239
"8","H",1,443622220027.272,8,1.15018281344778
"9","H",1,443622220027.272,9,1.15275508149117
"10","H",1,443622220027.272,10,1.14070365928238
"11","H",1,443622220027.272,11,1.14460621159538
"12","H",1,443622220027.272,12,1.15281072225661
"13","H",1,443622220027.272,13,1.1438680716944
"14","H",1,443622220027.272,14,1.13781495742811
"15","H",1,443622220027.272,15,1.13900198819439
"16","H",1,443622220027.272,16,1.15851776739393
"17","H",1,443622220027.272,17,1.1491312504824
"18","H",1,443622220027.272,18,1.13466541550123
"19","H",1,443622220027.272,19,1.13367867077898
"20","H",1,443622220027.272,20,1.14743395775288
"21","H",1,443622220027.272,21,1.15000525529999
"22","H",1,443622220027.272,22,1.14314287158948
"23","H",1,443622220027.272,23,1.1382246158211
"24","H",1,443622220027.272,24,1.1266040770487
"25","H",1,443622220027.272,25,1.15801093870192
"26","H",1,443622220027.272,26,1.13201165656173
"27","H",1,443622220027.272,27,1.13652845289033
"28","H",1,443622220027.272,28,1.1357080724342
"29","H",1,443622220027.272,29,1.16418628358109
"30","H",1,443622220027.272,30,1.15813261156572
"31","H",1,443622220027.272,31,1.16694553384085
"32","H",1,443622220027.272,32,1.1538939239543
"33","H",1,443622220027.272,33,1.16195199644542
"34","H",1,443622220027.272,34,1.16579244268113
"35","H",1,443622220027.272,35,1.14190138647595
"36","H",1,443622220027.272,36,1.13247235925236
"37","H",1,443622220027.272,37,1.16212074371921
"38","H",1,443622220027.272,38,1.14420250927516
"39","H",1,443622220027.272,39,1.13150732367716
"40","H",1,443622220027.272,40,1.14514287776295
"41","H",1,443622220027.272,41,1.16763287497046
"42","H",1,443622220027.272,42,1.13622289649748
"43","H",1,443622220027.272,43,1.15792206232068
"44","H",1,443622220027.272,44,1.16421971565512
"45","H",1,443622220027.272,45,1.16782671088664
"46","H",1,443622220027.272,46,1.1691413231907
"47","H",1,443622220027.272,47,1.16077493197462
"48","H",1,443622220027.272,48,1.12828269156696
"49","H",1,443622220027.272,49,1.17013254143185
"50","H",1,443622220027.272,50,1.1388607465342
"51","H",1,443622220027.272,51,1.14572007308314
"52","H",1,443622220027.272,52,1.15076927329966
"53","H",1,443622220027.272,53,1.15983876004235
"54","H",1,443622220027.272,54,1.15996278816857
"55","H",1,443622220027.272,55,1.15543757705245
"56","H",1,443622220027.272,56,1.148549294669
"57","H",1,443622220027.272,57,1.15358337964988
"58","H",1,443622220027.272,58,1.14798210296291
"59","H",1,443622220027.272,59,1.16617311818995
"60","H",1,443622220027.272,60,1.13455420498083
"61","H",1,443622220027.272,61,1.15357868378602
"62","H",1,443622220027.272,62,1.16165221543794
"63","H",1,443622220027.272,63,1.12982884626231
"64","H",1,443622220027.272,64,1.14303107575358
"65","H",1,443622220027.272,65,1.12332572326828
"66","H",1,443622220027.272,66,1.15879834138843
"67","H",1,443622220027.272,67,1.13846208105066
"68","H",1,443622220027.272,68,1.14803487933859
"69","H",1,443622220027.272,69,1.17012565766203
"70","H",1,443622220027.272,70,1.14062786987063
"71","H",1,443622220027.272,71,1.1654116773847
"72","H",1,443622220027.272,72,1.11123424522998
"73","H",1,443622220027.272,73,1.15408260855634
"74","H",1,443622220027.272,74,1.13668957981723
"75","H",1,443622220027.272,75,1.13324560062333
"76","H",1,443622220027.272,76,1.15387825013953
"77","H",1,443622220027.272,77,1.14067431787039
"78","H",1,443622220027.272,78,1.13320394528326
"79","H",1,443622220027.272,79,1.14214266337089
