"","iso3c","averted_deaths_discmonqalys_low","averted_deaths_discmonqalys_med","averted_deaths_discmonqalys_high"
"1","AFG",16290424.3311254,17576044.8134807,18548113.2368931
"2","AGO",168042233.989599,179741255.088458,195707658.322473
"3","ALB",311388595.373827,379542745.832372,422240509.210863
"4","ARE",7465331470.01858,8265683655.12008,9728416513.27196
"5","ARG",9098069608.82158,10635989735.7204,12492050308.1427
"6","ARM",126059574.113571,143080285.815159,154544288.253056
"7","ATG",53997912.5686442,62692512.0946752,98149636.5776531
"8","AUS",58923073603.7838,74759746548.2177,119429816036.753
"9","AUT",19832723064.1557,21055374188.6113,22916013838.2349
"10","AZE",1404950013.52386,1563340805.18296,1640786453.17486
"11","BDI",19.7082839418128,80.1653233743124,135.827331737302
"12","BEL",51322216561.7052,79573202312.3819,106683557197.088
"13","BEN",9429386.16906803,11138726.4497993,13024317.4730687
"14","BFA",3982665.90444377,4509713.71334136,5614632.87593745
"15","BGD",1741337948.66223,2024292684.54232,2507394472.86255
"16","BGR",2063209388.65094,2462021737.00996,2686039929.66016
"17","BHR",725003540.954284,814299538.973265,991527544.643292
"18","BHS",264937411.038857,312273568.032347,342857182.552398
"19","BIH",366786744.673435,438404516.824929,500698967.621973
"20","BLR",1127533999.29542,1307597881.3521,1586035045.62213
"21","BLZ",30563747.1751423,38138658.4144962,41970628.2834995
"22","BOL",251350325.447049,288478787.951685,316696816.088083
"23","BRA",55924514757.5275,63762481852.5068,68007455758.7729
"24","BRB",83961600.737842,123675113.205248,167688105.5691
"25","BRN",485859935.945913,570151990.152823,725522098.060851
"26","BTN",52000094.8631767,55880980.8375142,60167207.6857803
"27","BWA",94606110.7204414,122713754.124302,143244471.656344
"28","CAF",1449702.69292133,1755897.96714581,2006208.07458516
"29","CAN",147203391435.351,161519070696.872,235763817621.774
"30","CHE",29706839690.3099,37782613116.3347,56278096387.657
"31","CHL",21084438948.4988,22501040469.2579,25530087408.5818
"32","CIV",129136398.988124,146083681.357872,158787287.539711
"33","CMR",38296750.5881419,46235562.0136835,53418959.0050053
"34","COD",717236.228482112,822250.354076206,943742.119806838
"35","COG",23162988.7118363,26152484.8502607,29336036.6937108
"36","COL",4664618118.69053,5597868959.7513,6928464288.56229
"37","COM",7385350.61416781,8644704.06034933,9721916.96857858
"38","CPV",21346112.1464612,24490376.7964394,26609102.1558027
"39","CRI",2046737589.46901,2371041208.22788,2613932459.45097
"40","CUB",0,0,0
"41","CYP",1516355542.26386,1950325572.67317,2371331027.87007
"42","CZE",12274474644.4697,14769745726.7706,16804506745.5502
"43","DEU",317296298876.365,341942657249.76,373295702311.03
"44","DJI",6023685.21628213,7294158.71087302,8273223.92253406
"45","DNK",22955499471.4462,25151705143.9852,27833589246.0742
