"","iso3c","averted_deaths_discqalys_low","averted_deaths_discqalys_med","averted_deaths_discqalys_high"
"1","AFG",190399.688304449,205425.800217971,216787.169392051
"2","AGO",249300.060001004,266656.212633913,290343.265523762
"3","ALB",83713.265831801,102035.73042954,113514.536234345
"4","ARE",253192.419050282,280336.974741059,329946.67690461
"5","ARG",1460821.45034838,1707755.88884927,2005772.19493593
"6","ARM",46389.6999996931,52653.2917591463,56872.024351489
"7","ATG",4579.40940237407,5316.77366194184,8323.79155419985
"8","AUS",1429710.51668555,1813971.83357164,2897847.20229871
"9","AUT",543643.347270576,577157.965898238,628160.763845529
"10","AZE",447911.852038753,498408.390815939,523098.823422424
"11","BDI",0.38356434918959,1.5601845487118,2.64348343335188
"12","BEL",1461091.78322283,2265368.87633377,3037173.35821297
"13","BEN",20427.9563323762,24131.0954324055,28216.0666482862
"14","BFA",18530.192482045,20982.3934902228,26123.2627600154
"15","BGD",2003847.56592416,2329458.20296082,2885388.3963864
"16","BGR",289818.728752339,345839.842483176,377307.646075195
"17","BHR",39273.2136074262,44110.3497128192,53710.7349947112
"18","BHS",13583.7597752451,16010.7593551139,17578.829606386
"19","BIH",86684.1857421044,103609.901716773,118332.19967877
"20","BLR",259559.023572562,301009.840520452,365106.247838904
"21","BLZ",14262.7032112662,17797.567906995,19585.7730195068
"22","BOL",212164.461189145,243504.544907226,267323.343330227
"23","BRA",12094215.6055376,13789251.5726227,14707268.1148289
"24","BRB",6603.9662069154,9727.61668508521,13189.4410390974
"25","BRN",23043.2077954885,27040.98406164,34409.8272546105
"26","BTN",41609.582759798,44715.0010586574,48144.7661627302
"27","BWA",20890.0711619473,27096.548380278,31629.9569200027
"28","CAF",12270.729538706,14862.4605290563,16981.1622767942
"29","CAN",4123592.17135437,4524615.69638879,6604425.50374754
"30","CHE",467503.433528149,594593.754963232,885661.469477681
"31","CHL",1912027.42766328,2040490.9342511,2315177.9127291
"32","CIV",150229.622502248,169945.085011624,184723.706500755
"33","CMR",65429.3779464396,78992.708652834,91265.4260365916
"34","COD",5355.37954922333,6139.48732048911,7046.62849902355
"35","COG",26301.944491544,29696.5652146609,33311.5392974135
"36","COL",1292452.84260208,1551034.07512715,1919709.85336162
"37","COM",13320.2925200163,15591.6750400348,17534.5470570281
"38","CPV",15356.8552674102,17618.9073366979,19143.1642351855
"39","CRI",274873.448308073,318426.884002857,351046.774374283
"40","CUB",1224076.51042141,1734569.96945487,2070633.36297149
"41","CYP",66102.900776944,85021.0746885093,103374.080336435
"42","CZE",651732.991714241,784223.426923107,892262.338942061
"43","DEU",8927702.36456843,9621172.01015639,10503346.3548341
"44","DJI",5699.42927553499,6901.51297826401,7827.87495264402
"45","DNK",484139.708190306,530458.472665525,587020.369225459
"46","DOM",185273.733820804,232561.513553632,291198.463146439
"47","DZA",182155.740774776,232802.370777654,307023.013654507
"48","ECU",489357.932396656,595867.548972482,760758.272904579
"49","EGY",1192062.5757853,1393594.60115353,1576440.36057386
"50","ERI",0,0,0
"51","ESP",5672612.54896689,6306245.95563736,7276592.26878945
"52","EST",106143.996673114,121225.387043308,133250.516532203
"53","ETH",300777.684726108,366042.944871247,410649.111608136
"54","FIN",515823.800487257,554359.196803803,599955.413451007
"55","FJI",44231.279754493,51143.8237748739,59990.4011202942
"56","FRA",7076736.4632054,8467632.04706289,11114220.342137
"57","FSM",0.0122660663347617,1.52557890138859,344.960092751556
"58","GAB",12011.4190733145,14152.8673793319,15825.1192812772
"59","GBR",5168091.66178854,6979781.02912575,10966609.4108901
"60","GEO",138830.608153487,149617.069299267,172878.501095217
"61","GHA",135683.625171783,151154.817721526,167757.239206477
"62","GIN",66816.126655023,77048.9552021974,89567.7408067626
"63","GMB",13267.1859999133,14818.5166967818,16446.0679742522
"64","GNB",7168.55847324838,8513.29238301705,10079.2001708815
"65","GNQ",8245.86877346772,16648.090381591,20443.8054676986
"66","GRC",1099340.85241507,1196823.85038156,1281611.80261978
