"","iso3c","averted_deaths_undiscmonqalys_low","averted_deaths_undiscmonqalys_med","averted_deaths_undiscmonqalys_high"
"1","AFG",21431351.2809284,23073131.1374282,24326833.4555755
"2","AGO",237011603.433495,254955062.435916,278283326.549523
"3","ALB",423455925.054664,516148937.796201,572927380.305695
"4","ARE",12255026008.3339,13559195741.9106,15976700526.6109
"5","ARG",12512550757.7104,14570818231.8968,17094449127.8006
"6","ARM",176772786.423143,200732309.487543,217609824.728001
"7","ATG",75829238.0238799,88135990.9584598,140085601.488051
"8","AUS",89368497863.9297,112837946092.212,180702524869.914
"9","AUT",27734271700.9021,29554433663.0448,32232968511.69
"10","AZE",1923354351.17426,2136448205.62197,2248004847.61289
"11","BDI",29.7663037037545,123.954389676185,210.146099792727
"12","BEL",71924348416.848,113203635385.511,151392349156.661
"13","BEN",13166125.3410035,15596316.5986777,18221330.5738886
"14","BFA",5403646.57156505,6090059.12455629,7550082.3367302
"15","BGD",2410719280.8887,2816043554.87648,3497230144.59391
"16","BGR",2550647489.80186,3029815844.2465,3298242952.06759
"17","BHR",1082667327.6391,1219666156.50378,1476434498.17286
"18","BHS",361681335.989135,426627620.540374,469307079.44469
"19","BIH",478221423.070186,568737973.348299,644849434.747437
"20","BLR",1475815929.27839,1711121454.51721,2070860625.6557
"21","BLZ",44092070.3710785,54894251.5595835,60799353.643809
"22","BOL",343050506.438361,393411533.836589,428760701.399802
"23","BRA",77060757980.6511,87549727322.2218,93384789961.8428
"24","BRB",104238013.316567,154711116.996616,212817626.050556
"25","BRN",710397072.613564,840851111.873429,1081738088.30606
"26","BTN",75074501.8485497,80828612.1018337,87360353.0389724
"27","BWA",113024548.459574,147294225.28225,172762022.224879
"28","CAF",1799722.6880421,2175023.41159961,2488520.29475822
"29","CAN",211686113911.37,232329564262.857,342838631951.058
"30","CHE",43482582700.2086,55370391724.9886,82713772161.1182
"31","CHL",30605734660.5157,32641972538.1898,37293959656.4217
"32","CIV",193059851.357569,216680312.103354,235238156.361872
"33","CMR",52186135.0644905,62447524.0975408,71647405.7545577
"34","COD",1041781.40131066,1193416.65415499,1366245.30401839
"35","COG",32668766.8938568,36558661.3140024,41065066.6595979
"36","COL",6641437421.13434,7991957550.18329,9860478540.26789
"37","COM",10748447.5667824,12607177.7308957,14199437.592234
"38","CPV",26299553.4824978,30158770.8760311,32866653.2010761
"39","CRI",2957268191.68928,3420042829.19613,3783175353.69127
"40","CUB",0,0,0
"41","CYP",2187184062.69897,2800888647.2393,3398651063.38926
"42","CZE",16528145292.0733,19819626564.9615,22479791369.7991
"43","DEU",439504518376.151,473004347534.589,514605576941.298
"44","DJI",7666056.43817068,9334934.85070862,10681689.3437638
"45","DNK",32374489976.5432,35433157294.6141,39127950120.7568
"46","DOM",1305950899.84323,1642300062.79042,2059691095.08268
"47","DZA",334030817.803896,426761957.069643,562445971.538923
"48","ECU",2544679842.48781,3099694775.20927,3972062921.96481
"49","EGY",2223994495.10358,2593844306.62505,2934969335.32978
"50","ERI",0,0,0
"51","ESP",167156675220.898,185957817004.172,213993927007.13
"52","EST",2726803468.17091,3104475219.98177,3406591154.93175
"53","ETH",90504445.6711772,109774477.11938,123750053.99599
"54","FIN",26911862793.0539,28839143300.7211,31567828346.7455
"55","FJI",164291967.543991,191939225.444745,227285888.405623
"56","FRA",294317135017.325,352116771474.238,467614687443.162
"57","FSM",18.5734677935177,2508.90721965289,589463.991179071
"58","GAB",82714940.68172,97284024.0429186,108248511.669436
"59","GBR",234759546250.835,320959236547.011,504111699956.277
"60","GEO",523399341.234809,561708266.590659,648216563.844302
"61","GHA",157001392.168429,175882896.647269,195326311.317387
"62","GIN",27044924.9598607,31036033.0120176,36088962.6307333
"63","GMB",3444272.5458143,3844156.15987376,4265089.53367277
"64","GNB",1873754.96826973,2207962.66218103,2627183.82110487
"65","GNQ",51217980.4196541,104909015.201964,129314567.719809
"66","GRC",20903550709.9365,22705315175.5469,24294156242.5351
"67","GRD",2610903.24455239,3594690.15924355,16699563.3270264
"68","GTM",1621317071.39053,1850723252.43516,2224919094.77015
"69","GUY",221260690.173055,248817666.909285,266909478.777117
"70","HND",212319402.708802,274329445.113327,304888693.095262
"71","HRV",4264670152.44873,4971961640.16453,5450729273.63177
"72","HTI",1452263.86754566,1781920.06633634,2142404.10467755
"73","HUN",8553093149.51018,10372374455.8586,13961689962.1453
"74","IDN",14525266069.734,17525854724.1759,20153310876.7468
"75","IND",49914070970.45,56364436640.3922,59068276180.1694
"76","IRL",47911402875.0569,50828999455.5271,52880327340.508
"77","IRN",4670657951.73837,5340779800.1654,6484985493.59376
"78","IRQ",577881532.36287,749022979.414633,920163611.446814
"79","ISL",2343205544.04571,3656887159.93864,4602075819.09426
"80","ISR",25762314615.8881,28542157914.3195,31551443958.7989
"81","ITA",209635385127.066,229274408468.931,250125689944.416
"82","JAM",100292123.456671,124744673.493994,146365080.301077
"83","JOR",1120172149.65306,1250562189.67876,1341289557.63362
"84","JPN",142089998973.775,179267469557.411,218978998002.297
"85","KAZ",5326004151.59697,5844925377.41503,6520212361.52522
"86","KEN",250864330.033784,287093689.112195,316051056.369783
"87","KGZ",22117638.5224699,31170672.9786166,43130059.0606345
"88","KHM",607349308.340464,641185768.040959,677950826.851565
"89","KOR",192260881505.856,220469958191.714,250342762296.896
"90","KWT",5174208230.92953,5817963971.86858,6639548483.47765
"91","LAO",324712532.637788,343527149.638383,364733811.940622
"92","LBN",541988965.069535,640766241.909291,733859634.376736
"93","LBR",3545898.93478721,4012973.80231315,4565254.82322245
"94","LBY",462881671.917171,537699928.61138,616600507.617993
"95","LCA",39872086.599578,44393315.2618355,50751936.3591558
"96","LKA",2429905588.4983,2588225038.9535,2870996241.53877
"97","LSO",6011948.20417897,7037057.74453383,8076706.13405229
"98","LTU",5580111118.13147,6130486574.15756,6354481401.80953
"99","LUX",6373953875.51833,7523456366.44092,10262718942.673
"100","LVA",2702379404.06647,3157087767.20066,3368182167.96858
"101","MAR",2817016465.70554,3284484712.60531,3822968924.24588
"102","MDA",393441328.492201,448569207.419936,482550861.411004
"103","MDG",6220155.96737141,7957170.41986904,9170392.97624195
"104","MDV",250711306.742353,277574555.487336,330700044.844805
"105","MEX",33290612281.9297,39497579073.1237,44364360413.0589
"106","MKD",405658764.704475,484272906.482383,561801596.388002
"107","MLI",8294285.90536971,11812039.8591865,14340253.5380714
"108","MLT",1580433378.32902,1795939807.52595,2120451682.55383
"109","MMR",397869750.708331,479051432.346273,571656159.579454
"110","MNE",183092891.66856,215530992.431359,261165330.283656
"111","MNG",326263937.074714,349985372.454432,379395556.734412
"112","MOZ",17348164.8779862,21885994.7118108,27637943.4957279
"113","MRT",45909137.3795544,60271950.3719415,72039502.3333239
"114","MUS",472439447.69267,531039104.21465,585873431.54737
"115","MWI",19734268.4328678,21129300.5764034,22239677.2733938
"116","MYS",18502173242.4393,21193284553.5604,25760110506.7426
"117","NAM",45969359.0835046,61613068.2077382,72850874.9194462
"118","NER",15983325.1226217,21102446.2409372,32354254.3753326
"119","NGA",832923028.200871,907411054.856125,957088005.175264
"120","NIC",38832551.3854747,46814143.0571179,54906394.9814677
"121","NLD",74377189802.4984,83372720765.9417,95204252836.597
"122","NOR",43494187623.7495,48138389821.8518,51824296678.5652
"123","NPL",292636436.213545,331314495.022605,438344005.191496
"124","NZL",18444654640.1651,26581699511.6233,33694147485.6256
"125","OMN",880734921.470101,1186803283.92449,2260147666.10619
"126","PAK",2077624797.6841,2413731576.99721,2926048377.03291
