"","iso3c","averted_deaths_undiscqalys_low","averted_deaths_undiscqalys_med","averted_deaths_undiscqalys_high"
"1","AFG",250991.743660471,270219.331482067,284901.976861642
"2","AGO",351328.205935014,377926.242352915,412506.309572752
"3","ALB",114485.364746496,139545.808455712,154896.404151352
"4","ARE",406522.57586117,449784.37221258,529977.614688339
"5","ARG",2025504.27323528,2358692.09761688,2767211.93203769
"6","ARM",61289.7554032999,69596.8785635454,75448.564232102
"7","ATG",6491.44579114737,7544.9789878638,11992.1828555575
"8","AUS",2165242.6005809,2733866.33635609,4378106.53902449
"9","AUT",762094.569402021,812109.783853675,885711.747666561
"10","AZE",613184.242335059,681120.654367507,716686.0066152
"11","BDI",0.560804382778159,2.3353307715606,3.95920349937949
"12","BEL",2039928.45504779,3210697.3802444,4293811.03505221
"13","BEN",27641.4018787938,32743.4263131583,38254.4680469236
"14","BFA",25332.6658107831,28550.6149462347,35395.3039206425
"15","BGD",2802271.04852678,3273428.55212561,4065254.24255032
"16","BGR",359894.021515356,427504.236863998,465379.055592859
"17","BHR",59298.2358935704,66801.7308857724,80865.0625349281
"18","BHS",18820.8130462986,22200.4231006789,24421.3342648077
"19","BIH",114038.315324765,135623.201331034,153773.000600043
"20","BLR",339733.739129555,393901.216483125,476713.3960359
"21","BLZ",20785.0197002043,25877.1722554974,28660.8397521558
"22","BOL",293015.714248773,336031.457226681,366224.85845256
"23","BRA",17262191.7805007,19611800.1297912,20918898.2297302
"24","BRB",8755.76046412494,12995.3885195957,17876.2055890625
"25","BRN",33219.0046020872,39319.189270066,50583.3482695659
"26","BTN",60249.063249745,64866.8728130436,70108.7493911461
"27","BWA",26920.2100044007,35082.5686196122,41148.493689777
"28","CAF",16261.6233870177,19652.700836848,22485.341821374
"29","CAN",5927866.7822202,6505947.32490626,9600543.46717983
"30","CHE",684295.499721234,871376.710450776,1301685.8369489
"31","CHL",2771351.53646866,2955733.02684954,3376970.80436895
"32","CIV",211067.586405023,236891.255098073,257180.089721027
"33","CMR",90133.0565362447,107855.97004025,123745.505689785
"34","COD",7523.30321868412,8618.34867097811,9866.44384349926
"35","COG",36740.9243055809,41115.6935434779,46183.8217109944
"36","COL",1852061.56316569,2228673.77264517,2749738.06735518
"37","COM",19467.7767681203,22834.3414447678,25718.2704349571
"38","CPV",22112.3968566282,25357.187556919,27633.947451428
"39","CRI",404531.775960116,467835.823427318,517509.588375564
"40","CUB",1701281.11563778,2405333.47634514,2886201.02593902
"41","CYP",98224.5922744897,125785.547761278,152630.553906252
"42","CZE",906182.613813909,1086643.46108246,1232491.34984586
"43","DEU",12567976.1881205,13525930.0601874,14715549.8222591
"44","DJI",7151.8857800456,8708.83072084012,9965.25694021088
"45","DNK",687317.31953749,752253.478344521,830694.71721348
"46","DOM",265625.337349701,334037.449846319,418933.163592282
"47","DZA",257916.918776595,329517.88623016,434284.276257385
"48","ECU",735503.991889553,895923.268121901,1148069.03656903
"49","EGY",1634865.87717028,1906743.72482932,2157505.88746323
"50","ERI",0,0,0
"51","ESP",8062582.69002469,8969431.07100739,10321716.0150981
"52","EST",143503.005155999,163378.669823443,179278.071843757
"53","ETH",407677.37574865,494479.253746331,557432.255263297
"54","FIN",739678.449001167,792650.176289752,867648.683014338
"55","FJI",60837.3903682179,71075.1825540627,84164.0679384865
"56","FRA",9910839.22053594,11857184.9672631,15746463.3655718
"57","FSM",0.0147870160805827,1.99743267192384,469.293812732779
"58","GAB",16514.0477844254,19422.7670172409,21611.8282811882
"59","GBR",7365828.92174705,10070435.3242096,15817037.4693157
"60","GEO",179646.300065897,192795.068429729,222487.302069063
"61","GHA",185202.103603297,207475.118513411,230410.97435776
"62","GIN",94760.7313194292,108744.882444218,126449.472369527
"63","GMB",18585.9077234999,20743.7508825963,23015.1822920175
"64","GNB",9819.05380995396,11570.4051796829,13767.2533201554
"65","GNQ",11923.5551699172,24422.8378458728,30104.4549169584
"66","GRC",1513514.66304379,1643970.822186,1759010.33320025
"67","GRD",499.58947044543,687.834509692744,3195.41753093549
"68","GTM",555798.138166291,634440.083383763,762716.875227435
"69","GUY",38168.8315796485,42922.5797626935,46043.5287193919
"70","HND",218862.758150366,282783.85410545,314284.890821818
"71","HRV",352156.906465207,410561.794388404,450096.230274537
"72","HTI",2275.17095411876,2791.62269893927,3356.37049153115
"73","HUN",670721.840273769,813387.386461531,1094856.5882599
"74","IDN",9575148.16105554,11553155.3657931,13285191.2422281
"75","IND",63719182.2876981,71953574.2728496,75405235.120424
"76","IRL",690751.993080994,732815.79276187,762390.356226611
"77","IRN",3267405.12423687,3736195.5139503,4536635.9624951
"78","IRQ",208841.303033659,270690.31672201,332539.035869452
"79","ISL",50151.0443758484,78267.444655711,98497.0820041352
"80","ISR",726762.105697302,805182.263171452,890075.064728288
"81","ITA",8457986.39285055,9250345.90836691,10091615.4053378
"82","JAM",33358.6865209946,41491.9767856721,48683.2531120274
"83","JOR",465071.962753086,519207.170325414,556875.269021902
"84","JPN",5216263.36784141,6581084.81421367,8038934.01263816
"85","KAZ",885189.112610259,971434.524052303,1083668.13657071
"86","KEN",346315.258389314,396329.462675867,436304.767745088
"87","KGZ",46278.1901334689,65220.4496979685,90243.8599694092
"88","KHM",1067712.4943123,1127196.56762792,1191829.08158182
"89","KOR",8045485.86504011,9225942.99165007,10476021.6415289
"90","KWT",235395.737133139,264682.799116112,302060.013773096
"91","LAO",365886.385498211,387086.713532854,410982.400450805
"92","LBN",225926.164833389,267101.119984421,305906.768230047
"93","LBR",21866.7809723173,24747.1292320109,28152.925150477
"94","LBY",135061.503219131,156892.279485345,179914.212415538
"95","LCA",6297.50337658092,7011.59825335024,8015.8957769014
"96","LKA",1737135.57628765,1850317.89543035,2052470.57094401
"97","LSO",16684.693159317,19529.6341925115,22414.9242488424
"98","LTU",344074.548838875,378011.182485622,391822.900144104
"99","LUX",70101.9803354355,82744.4315655421,112871.372394244
"100","LVA",189871.559697628,221819.77022126,236651.448947396
