"","iso3c","del_cost_total_low","del_cost_total_med","del_cost_total_high"
"1","AFG",645693881.51493,645693881.51493,645693881.51493
"2","AGO",604061628.75384,604061628.75384,604061628.75384
"3","ALB",185719974.12,185719974.12,185719974.12
"4","ARE",1677820313.52,1677820313.52,1677820313.52
"5","ARG",5731113776.5728,5731113776.5728,5731113776.5728
"6","ARM",101767530.5556,101767530.5556,101767530.5556
"7","ATG",10791743.9424,10791743.9424,10791743.9424
"8","AUS",3575187865.7121,3575187865.7121,3575187865.7121
"9","AUT",1080886884.48,1080886884.48,1080886884.48
"10","AZE",860968045.125,860968045.125,860968045.125
"11","BDI",224379.03747,224379.03747,224379.03747
"12","BEL",1646781286.0176,1646781286.0176,1646781286.0176
"13","BEN",156475086.44184,156475086.44184,156475086.44184
"14","BFA",60744507.80244,60744507.80244,60744507.80244
"15","BGD",7396299004.15979,7396299004.15979,7396299004.15979
"16","BGR",346149294.876,346149294.876,346149294.876
"17","BHR",213845082.2586,213845082.2586,213845082.2586
"18","BHS",26714123.136,26714123.136,26714123.136
"19","BIH",146105190.558,146105190.558,146105190.558
"20","BLR",554540017.4097,554540017.4097,554540017.4097
"21","BLZ",36390075.1095,36390075.1095,36390075.1095
"22","BOL",799580307.7449,799580307.7449,799580307.7449
"23","BRA",25911034468.9818,25911034468.9818,25911034468.9818
"24","BRB",26191596.4191,26191596.4191,26191596.4191
"25","BRN",67776047.5641,67776047.5641,67776047.5641
"26","BTN",105416705.5056,105416705.5056,105416705.5056
"27","BWA",134900497.8,134900497.8,134900497.8
"28","CAF",64798866.7894799,64798866.7894799,64798866.7894799
"29","CAN",5455409889.8394,5455409889.8394,5455409889.8394
"30","CHE",1076230308.5394,1076230308.5394,1076230308.5394
"31","CHL",3055322656.6401,3055322656.6401,3055322656.6401
"32","CIV",266798314.398,266798314.398,266798314.398
"33","CMR",113208022.53168,113208022.53168,113208022.53168
"34","COD",11830165.85436,11830165.85436,11830165.85436
"35","COG",24782082.25752,24782082.25752,24782082.25752
"36","COL",4820003305.8216,4820003305.8216,4820003305.8216
"37","COM",45125458.5375,45125458.5375,45125458.5375
"38","CPV",47106806.0844,47106806.0844,47106806.0844
"39","CRI",618089737.4874,618089737.4874,618089737.4874
"40","CUB",1763299262.34,1763299262.34,1763299262.34
"41","CYP",150139324.6413,150139324.6413,150139324.6413
"42","CZE",1216512511.8468,1216512511.8468,1216512511.8468
"43","DEU",10877300929.992,10877300929.992,10877300929.992
"44","DJI",12267487.31292,12267487.31292,12267487.31292
"45","DNK",839415326.284801,839415326.284801,839415326.284801
"46","DOM",1054204734.672,1054204734.672,1054204734.672
"47","DZA",1017787093.1343,1017787093.1343,1017787093.1343
"48","ECU",2187314242.254,2187314242.254,2187314242.254
"49","EGY",3166922302.7604,3166922302.7604,3166922302.7604
"50","ERI",0,0,0
"51","ESP",7111037806.9926,7111037806.9926,7111037806.9926
"52","EST",150441063.4893,150441063.4893,150441063.4893
"53","ETH",266831625.77883,266831625.77883,266831625.77883
"54","FIN",767421579.1644,767421579.1644,767421579.1644
"55","FJI",110968292.7168,110968292.7168,110968292.7168
"56","FRA",8720515093.7952,8720515093.7952,8720515093.7952
"57","FSM",0,0,0
"58","GAB",28727649.35424,28727649.35424,28727649.35424
"59","GBR",8762100845.0832,8762100845.0832,8762100845.0832
