"","iso3c","disc_exwelf_total_low","disc_exwelf_total_med","disc_exwelf_total_high"
"1","AFG",50330405.4288922,54236404.0293459,57450296.9619717
"2","AGO",304745072.001817,333526128.520202,369789596.874581
"3","ALB",392294116.422162,475544511.689739,525836411.350632
"4","ARE",12746031804.5667,14118302027.9054,16122522201.8247
"5","ARG",12608064315.5337,14658746093.9304,17194931073.7674
"6","ARM",168262149.680262,191070395.016338,208082327.466936
"7","ATG",67637273.9954652,78045790.6383399,115704775.61521
"8","AUS",79699622041.0078,97623348675.9269,145051182774.795
"9","AUT",24691620796.3276,26201175858.9356,28515485556.1538
"10","AZE",1842438582.3409,2037021395.65432,2145023893.14277
"11","BDI",200.638258318108,405.42268183062,783.060101828365
"12","BEL",61554704805.6956,91758919368.4499,120848528150.08
"13","BEN",17356446.1582389,20840835.0022313,24812089.7906043
"14","BFA",9708401.06987585,11036855.5329443,14039197.4342151
"15","BGD",2604917629.41819,3071749393.79663,3831079647.39228
"16","BGR",2481690830.37082,2951374202.56362,3218411851.79944
"17","BHR",1009468605.20833,1130218972.30661,1355233359.89729
"18","BHS",325440782.363231,381088128.409405,419816090.465629
"19","BIH",452705254.798537,537906815.842569,610978011.07935
"20","BLR",1437782385.90833,1654851168.54787,1992670716.08966
"21","BLZ",44240353.7417503,54070657.4182606,59176503.3465896
"22","BOL",394374647.354681,450087593.353181,488513750.368681
"23","BRA",72633251351.7959,81651536914.7109,87270612987.7636
"24","BRB",108845757.902562,154787827.677236,205823962.426165
"25","BRN",645712610.471041,768259716.797273,987753825.484919
"26","BTN",86317312.6618796,93621257.7626332,100406733.388615
"27","BWA",120271069.271312,155496561.545883,182048085.612352
"28","CAF",4228656.03668556,5140429.59792593,6192331.7523371
"29","CAN",180379450232.737,197616416068.574,275732500103.083
"30","CHE",36280073949.401,45411084711.6111,66555843297.234
"31","CHL",27414085070.3961,29104020825.5416,32350553630.8111
"32","CIV",245214814.392164,275032136.665492,303260859.602435
"33","CMR",67248845.3389761,79484663.3134738,91095932.9257497
"34","COD",2096388.4524798,2419615.22242857,2809702.28025707
"35","COG",41291325.0736247,45834531.7107966,51574519.1021682
"36","COL",6267165385.46989,7478207462.06362,9291004363.59729
"37","COM",13746912.7892615,15987570.8274157,18040050.9753222
"38","CPV",29130809.8457354,32635082.1415496,35186678.9734507
"39","CRI",2543583230.9393,2910563698.4654,3182661688.24359
"40","CYP",1873875610.00945,2371393875.6254,2845594402.26221
"41","CZE",14741849017.9379,17529534569.053,19859023188.3205
"42","DEU",376934632766.553,405110454207.196,440642366220.451
"43","DJI",7660493.08509065,9286290.22591332,10698152.3858003
"44","DNK",28255065331.4886,30730889714.8522,33758927659.37
"45","DOM",1413938169.93343,1734400417.45179,2113326119.98391
"46","DZA",482067157.262618,595601611.391648,783019018.02996
"47","ECU",2564267478.1732,3125615325.77427,3977716897.09557
"48","EGY",2497335102.76119,2888133204.40014,3278360691.458
"49","ESP",144152800473.71,160225593348.175,182089651618.06
"50","EST",2421254886.41175,2752950499.60242,3019875698.98659
"51","ETH",152931619.959917,179356305.120851,197717076.101203
"52","FIN",22442281263.1368,24206387475.4545,26043409705.4682
"53","FJI",154857961.833909,176801676.022029,203235875.042845
"54","FRA",254911988956.348,300145689423.144,384738092489.076
"55","FSM",24.6435253037977,4209.82028429965,851629.422243569
"56","GAB",85687147.2143973,98849129.4540116,109696208.676619
"57","GBR",198571011765.518,262615293886.434,401650681167.866
"58","GEO",511512511.859758,551203205.927593,634887085.181645
"59","GHA",192666661.992082,212854325.234074,236219745.600131
"60","GIN",47203650.2692824,54475652.2614015,64240684.9894365
"61","GMB",5957567.99567604,6646138.41693423,7380655.37783819
"62","GNB",3518292.70374181,4176655.68695466,5237016.91167423
"63","GNQ",71751184.832736,122093245.413315,143094941.803933
"64","GRC",18730897786.659,20356069357.31,21786378383.4843
"65","GRD",2576344.20118264,3604567.29244588,14526019.5289746
"66","GTM",1473459557.49878,1665269830.5875,1946691810.2778
"67","GUY",211189073.715415,236382798.493241,253410779.985035
"68","HND",236405360.731746,298283261.703077,329707916.619682
"69","HRV",3845155002.98788,4486849784.90179,4930170453.47373
"70","HTI",1917093.67271316,2373159.77720814,2915586.76363574
"71","HUN",8676873329.01522,10198205206.5223,13383926904.594
"72","IDN",15759290227.8805,19075374682.4838,21851356819.6715
"73","IND",55037868881.9709,61471284718.7102,64388596806.7693
"74","IRL",41294633070.929,43774426061.1002,45534332931.0703
"75","IRN",4436051801.36737,5088730736.29747,6153018065.31274
"76","IRQ",605385945.577642,764084634.841413,933913036.140042
"77","ISL",2002125901.38664,3059798506.014,3778663398.65987
"78","ISR",22371477704.0425,24808458187.5203,27358010239.8443
"79","ITA",181343333939.137,200097585224.358,218552972750.692
"80","JAM",101452860.260191,122751304.76976,142176206.95125
"81","JOR",992161659.018722,1108740003.28884,1201866821.17591
"82","JPN",127721123299.935,158840695214.998,192003590284.891
"83","KAZ",4877641446.7752,5359163612.35949,5946453168.9393
"84","KEN",285339794.322325,325609572.056664,360658431.603492
"85","KGZ",29956450.9685936,39084801.0792835,50977726.5566287
"86","KHM",735312906.312829,780327441.223068,833401319.930459
"87","KOR",164795597008.548,187909642798.631,212456515799.147
"88","KWT",4268280361.82302,4780749871.12461,5625409286.75018
"89","LAO",373011235.01663,394341528.744723,419407083.702426
"90","LBN",545703306.754876,638690740.020321,730669335.176575
"91","LBR",6199691.39491183,7131427.62503969,8460356.9187058
"92","LBY",443342572.108162,503111671.163784,568973976.034651
"93","LCA",37178541.3418421,41164149.7289281,47198553.5238455
"94","LKA",2759610881.3718,2955428962.54622,3289085772.35254
"95","LSO",9732094.39951406,11409308.8214089,13124416.8101562
"96","LTU",5124352978.1652,5639149382.68027,5843386041.38882
"97","LUX",5445773764.4343,6341329955.38665,8294328090.71686
"98","LVA",2441697146.93094,2844316673.07987,3041829057.50191
"99","MAR",2966049253.65689,3340478354.16802,3774050492.37902
"100","MDA",359800260.639679,409145686.153243,442348211.415443
"101","MDG",13037211.6710987,15840718.8379799,18128630.9523388
"102","MDV",230475434.41838,252639027.442948,291422891.987591
"103","MEX",29698152930.6888,34914453284.7663,38879181073.2075
"104","MKD",392749399.658844,464644699.755795,536855397.806892
"105","MLI",16116432.1213165,21006255.8397943,25301966.0403774
"106","MLT",1379739993.9092,1564367059.39175,1816092144.50888
"107","MMR",478514082.17879,576973793.097711,697499593.668176
"108","MNE",170717851.952413,200880146.296802,244598893.307261
"109","MNG",359626916.041839,387643545.689882,423070931.273025
"110","MOZ",35924621.0880224,45838275.6083462,59028094.6121383
"111","MRT",54040785.7567782,70105498.4552208,83136907.7259619
"112","MUS",445231706.911199,502601656.024242,560118510.111719
"113","MWI",31618200.0060424,34602873.2866489,37181271.2399093
"114","MYS",17445540985.7725,19493751629.2639,22778369135.0348
"115","NAM",50123919.0367468,65641231.8760422,76817966.5376894
"116","NER",26051645.6877966,31789038.4582737,41889951.9368811
"117","NGA",989141839.496837,1077050293.68824,1150771435.16543
"118","NIC",44490194.3543421,54359004.8114531,64400984.3804214
"119","NLD",65271082758.5693,72219366872.2798,81750249714.2183
"120","NOR",36969266572.3021,40879042732.8279,44107161746.5924
"121","NPL",366311352.71944,413546063.849935,526680523.471918
"122","NZL",16025371026.5277,22067581147.4265,27277404869.9714
"123","OMN",929840396.614799,1414371990.46915,2840605076.5757
"124","PAK",2509436063.83966,2946735251.10948,3569555639.81077
"125","PAN",1835490246.59282,2276902769.81363,2796267853.03675
"126","PER",2724386809.88015,3815696900.12062,5086116188.55811
"127","PHL",5458877927.19921,6398503434.54318,7658664034.03122
"128","PNG",19694574.6377747,24630908.2565459,30706656.9655354
"129","POL",30486475676.376,33554185949.8576,36005362662.9131
"130","PRT",32241746035.613,34773723467.2077,45244175221.8574
"131","PRY",226054828.27717,277049881.968219,308263135.490667
"132","QAT",6574648398.6243,8939978819.17959,11338119373.118
"133","ROU",7916354416.12065,9341414229.80055,10500774632.9145
"134","RUS",71169145784.122,76393850264.5853,82188251354.7078
"135","RWA",81258154.7623576,94311103.0173987,110258938.303432
"136","SAU",30626955800.3481,34741059742.0428,39543916213.9907
"137","SDN",32239259.659867,43147107.9825628,54795520.3326256
"138","SEN",91774743.0207076,104208036.729365,118994181.593544
"139","SGP",79232905663.7109,94099849086.7677,98513480553.5983
"140","SLB",497502.981836996,6863598.20916692,24170214.64839
"141","SLE",6934836.21072101,9187923.57109381,10967574.4129761
"142","SLV",600410095.475886,694662367.032221,740220785.621178
"143","SOM",7897600.51348207,9167314.51617097,10677510.4801683
"144","SRB",2877041167.19615,3399139190.48258,3950593693.9309
"145","SSD",3236229.00821119,4249762.11177634,5169930.81828218
"146","STP",6125356.65539571,7265006.83393018,9526404.76117772
"147","SUR",77189952.2812187,87722662.1458585,93152567.234166
"148","SVK",4875068661.4965,5740835959.3731,6188734538.57716
"149","SVN",3255320859.41772,3638574342.03699,4081344326.31804
"150","SWE",26793514617.4333,30066052336.5505,34211581826.8009
"151","SWZ",23453818.5291935,27695934.3256145,32313645.9481587
"152","SYC",55183281.5037752,70706717.8257503,93172896.1142
"153","SYR",8896313.5156561,11004966.5167606,13604378.9985022
"154","TCD",2827186.98240771,3893666.2341433,4894800.51254483
"155","TGO",35808951.5559148,38892734.1681918,42670852.919723
"156","THA",22644698623.4851,27633979351.6024,32001550969.846
"157","TJK",61265703.6543463,83611782.000063,106829840.553551
"158","TKM",773421884.303898,1070054487.95758,1264391576.0097
"159","TLS",52265235.9900292,57205526.6918187,60490199.1459512
"160","TTO",817667947.745201,957904509.889929,1157285337.6774
"161","TUN",762451468.563224,878635206.070605,1002497800.55677
"162","TUR",29424245748.8144,34085395364.5956,37496371807.6893
"163","TZA",60147545.8366675,78101081.6842828,93963365.4965395
"164","UGA",108607688.081045,123723955.601123,136304096.168838
"165","UKR",2623246366.45925,3100966204.42326,3554073685.11209
"166","URY",5661866526.98751,7527320151.11724,9166218762.30388
"167","USA",1358107997642.9,1489611984949.03,1631917820937.2
"168","UZB",782471766.181868,1038277651.00222,1266050641.37717
"169","VCT",8165752.66936017,11062367.0675632,18952005.6900372
"170","VNM",10664282093.6548,12645070348.8937,15013242214.7027
"171","VUT",12503.3831843463,129067.683699409,7834219.24688214
"172","YEM",20567286.5561447,23820406.0144786,26737208.8031755
"173","ZAF",5139305324.3365,6376213061.08916,7677736887.17442
"174","ZMB",37388093.3893201,43541990.0018574,48551561.1553718
"175","ZWE",148612024.157068,171805222.921597,196533753.152777
