"","iso3c","discmonqaly_pp_low","discmonqaly_pp_med","discmonqaly_pp_high"
"1","AFG",5.1307847540228,5.52236356711574,5.82320114480413
"2","AGO",56.9070328125797,61.1732602334319,66.7554895694169
"3","ALB",325.841162572011,396.445804252869,440.115439260988
"4","ARE",963.998355909229,1064.15365487518,1237.60632957627
"5","ARG",318.427010749682,371.224219521099,435.291340583104
"6","ARM",239.914769831779,272.171291300512,294.526405186466
"7","ATG",984.186819651483,1140.78419188012,1766.0368425736
"8","AUS",3344.19155374155,4163.46089988615,6558.33114138725
"9","AUT",3598.63269536444,3815.13404004229,4149.44243179336
"10","AZE",319.131707114567,354.512217669399,372.402660641315
"11","BDI",0.0257466883021346,0.0835316190282959,0.147762716654175
"12","BEL",6077.22916760272,9342.30450715722,12475.650327999
"13","BEN",12.1358633669989,14.3893991035357,16.942542527693
"14","BFA",13.3645115376311,15.1365511887384,18.971780875953
"15","BGD",46.7034278506341,54.4890962880812,67.4798264333936
"16","BGR",1143.37554710015,1362.84491418982,1486.60148647449
"17","BHR",696.935898122238,781.568824391569,945.885377967793
"18","BHS",1942.22379719326,2283.8428460088,2510.19084703382
"19","BIH",486.212322760723,580.316784739277,661.247924998248
"20","BLR",394.004555836643,456.599707094549,552.55178705543
"21","BLZ",165.951066029127,206.131284789059,226.243059804834
"22","BOL",62.9014229593787,72.161748254443,78.8328413432192
"23","BRA",428.326568501339,486.178787239784,519.228742634481
"24","BRB",636.00493794919,932.328362987747,1256.68191789253
"25","BRN",1427.4150529252,1660.40957641829,2130.63789077825
"26","BTN",100.201303829523,107.607890309854,115.365160042415
"27","BWA",138.156599975442,179.445371872981,209.67663193681
"28","CAF",4.72189829127678,5.72894005633516,6.6044556542133
"29","CAN",5292.27241878577,5798.76220272771,8388.90375065622
"30","CHE",5424.61698971487,6857.2604699103,10177.026954218
"31","CHL",1369.26792211076,1458.70015046532,1646.9558332552
"32","CIV",99.8232104148302,112.604739768076,122.17301264927
"33","CMR",68.8654570585118,82.7699107144944,95.3016879154152
"34","COD",12.6297378533544,14.5046015991301,16.6140008281467
"35","COG",191.676891639817,214.723950446531,241.236282394384
"36","COL",191.917103021185,230.033141238805,283.661948639622
"37","COM",33.98445075082,39.6937347887461,44.6415494411928
"38","CPV",90.9038094936695,103.721821549902,112.547272561311
"39","CRI",651.132108153747,751.822784164374,828.063602148709
"40","CUB",0,0,0
"41","CYP",1992.25640769915,2553.07249478252,3095.8515539424
"42","CZE",1971.77629751543,2364.30130588797,2686.72998411173
"43","DEU",5686.05340134163,6121.78978167042,6678.72437687593
"44","DJI",94.9415534449516,114.841608822098,130.031050244785
"45","DNK",5373.55833275036,5876.01314833072,6490.90990452154
"46","DOM",178.204010157365,222.502832179283,276.683773954715
"47","DZA",54.0372467242411,67.6298197954165,88.9035473613256
"48","ECU",162.388877724886,196.619452232035,251.344832444976
"49","EGY",100.434418302726,117.109771461696,132.571525672191
"50","ERI",NA,NA,NA
"51","ESP",3263.07231568356,3624.27528559926,4169.75951061984
"52","EST",2608.66138166435,2976.68679697246,3269.53544686227
"53","ETH",49.5263370557434,59.8655575136449,66.9360414143984
"54","FIN",4736.16689589861,5087.84751443417,5484.3787726816
"55","FJI",214.19062056117,246.148761012028,287.045128100974
"56","FRA",4706.38824788276,5611.98157836408,7332.32105262695
"57","FSM",NA,NA,NA
"58","GAB",399.23604619594,466.834260816033,518.755736423658
"59","GBR",3670.9050716552,4929.80307524435,7714.44163782508
"60","GEO",403.963722055591,435.029386046196,502.368235671575
"61","GHA",95.8844230201883,106.794132105132,118.327856643364
"62","GIN",28.0101723852343,32.1587977653896,37.293899236979
"63","GMB",12.2047431802761,13.5987563792126,15.0532252421074
"64","GNB",85.0556453105705,100.211636311186,120.051619685825
"65","GNQ",203.840434443651,392.24040815072,473.144920754062
"66","GRC",2353.15199072489,2560.18822301987,2738.88790718199
"67","GRD",64.6093813174778,89.5595302150593,398.428708283257
"68","GTM",282.662264510923,320.156451579518,378.591889348024
"69","GUY",604.925099215962,679.576061555821,729.188148048562
"70","HND",41.506032440736,53.2224942449268,58.9674018686045
"71","HRV",1694.68556355257,1976.513391734,2169.9410366482
"72","HTI",17.1814426781021,21.0497780853718,25.4248215992149
"73","HUN",1170.95933544746,1399.13546260766,1864.09034547164
"74","IDN",109.464884398279,131.508395458589,150.758537102795
"75","IND",77.3778906851627,87.3659894945797,91.3103086347659
"76","IRL",9520.51729857091,10116.3878548769,10523.8076172213
"77","IRN",75.3452588823798,86.144835529887,104.005840002277
"78","IRQ",93.0820275541948,118.509901618485,145.962814701584
"79","ISL",6537.89737917945,10211.8378477046,12843.9343402313
"80","ISR",3419.01186486025,3787.91027645672,4161.01280835986
"81","ITA",3503.79087956414,3847.59382956185,4203.57770028414
"82","JAM",148.367913404737,182.563834383587,212.885857612924
"83","JOR",209.53151526548,233.609556278748,251.770696363085
"84","JPN",1055.23316223549,1323.94206383111,1613.26499272901
"85","KAZ",472.3770079346,520.002334351464,578.75043145241
"86","KEN",62.5896077507815,71.5768119912941,78.670216456457
"87","KGZ",18.4815197637001,25.4796270480498,34.7323602519437
"88","KHM",45.6713975516417,48.1766064477422,51.1026512250348
"89","KOR",3298.85238451586,3783.83781866442,4306.05618777147
"90","KWT",1166.77619429837,1308.17335473145,1506.38966072321
"91","LAO",73.8122318129106,78.0193393330664,82.7947007578541
"92","LBN",228.479675637198,269.009154571662,306.64110684155
"93","LBR",4.8334838508507,5.52038265459763,6.25439390058775
"94","LBY",395.881884583867,456.328157816492,521.421898505717
"95","LCA",625.483534890216,694.521998533366,794.978779944249
"96","LKA",133.383721090111,142.164483187709,157.759405729512
"97","LSO",8.78341587927051,10.2211794281551,11.7102424629859
"98","LTU",2428.01941616219,2671.20575288444,2767.48353804526
"99","LUX",10664.8263724093,12531.6223823648,16812.1128095488
"100","LVA",1628.34036940778,1902.9463128321,2036.02815074319
"101","MAR",93.8577495451911,108.00486853162,124.132062305697
"102","MDA",315.460845158424,360.334281984051,389.482295866883
"103","MDG",8.85451824879759,11.2582797500703,12.9538289762981
"104","MDV",485.183155374382,535.857251550744,624.74498574493
"105","MEX",373.720022059282,443.377466496787,497.412937146586
"106","MKD",445.090595422539,530.655807262713,613.022823819945
"107","MLI",19.8561735755433,27.7679145181163,33.6287558794502
"108","MLT",3419.41424289655,3888.9452459107,4544.08020385604
"109","MMR",24.8389989622924,29.650322468127,35.4554320492114
"110","MNE",541.829889257394,638.694986936621,776.808736873728
"111","MNG",114.405110879776,122.579169394488,132.794757390519
"112","MOZ",3.43483798120407,4.32667536125798,5.47690576907134
"113","MRT",49.0223236336865,64.2217722886991,76.4314213494881
"114","MUS",397.10368552259,446.186859257962,493.4046567352
"115","MWI",24.9764384020825,26.7329081925536,28.1082242755438
"116","MYS",533.337573409184,602.508534969211,719.608658830066
"117","NAM",109.75599785027,146.652024951656,172.177272646148
"118","NER",23.105646203179,28.9719254377925,42.1016178557214
"119","NGA",165.990770906187,180.875632691364,191.102831608952
"120","NIC",12.2207314954212,14.7687387603321,17.3199182024421
