"","iso3c","discqaly_pp_low","discqaly_pp_med","discqaly_pp_high"
"1","AFG",0.0599677330722832,0.0645444391447623,0.0680605772058619
"2","AGO",0.0844247684515625,0.0907539556252,0.0990355053008997
"3","ALB",0.0875986733829704,0.106579924545663,0.11832000693315
"4","ARE",0.0326947405715857,0.0360915840376442,0.041974363988499
"5","ARG",0.0511278796133217,0.0596052048491086,0.0698920710452846
"6","ARM",0.0882882103660342,0.100158553134446,0.108385195449564
"7","ATG",0.0834660852838556,0.0967466630813628,0.149772562254875
"8","AUS",0.0811435239503228,0.101022290086274,0.159131464658448
"9","AUT",0.0986436768050818,0.104578288775839,0.113742160651843
"10","AZE",0.101742320084007,0.113021974061834,0.118725622852331
"11","BDI",0.000501084304019173,0.00162569968973129,0.00287577094054854
"12","BEL",0.173012589798624,0.265965994188141,0.355169191936296
"13","BEN",0.0262913070343836,0.0311733989112054,0.036704565144493
"14","BFA",0.0621812065492356,0.0704259944899453,0.0882702088986019
"15","BGD",0.0537440479550249,0.0627034189716942,0.0776525234813962
"16","BGR",0.160609800134608,0.191438630848489,0.208822698918159
"17","BHR",0.0377527982299385,0.0423373372064269,0.0512383131924767
"18","BHS",0.0995808836033656,0.117096232136297,0.128701451872817
"19","BIH",0.114908512666715,0.137148598438006,0.156275380134479
"20","BLR",0.0907000922899049,0.10510953479987,0.127197762915356
"21","BLZ",0.0774417740339022,0.0961920447992208,0.105577290543403
"22","BOL",0.0530950039013119,0.0609116316425695,0.0665426920687116
"23","BRA",0.0926297508614148,0.10514085104199,0.112288222602207
"24","BRB",0.0500247146402336,0.0733319154090974,0.0988438148590878
"25","BRN",0.0676989791531714,0.0787493680056901,0.10105120431171
"26","BTN",0.0801793622743305,0.0861059855609191,0.0923132195626335
"27","BWA",0.0305064988191728,0.0396235143751523,0.0462989095397935
"28","CAF",0.039967599649537,0.0484915109270358,0.055902144266505
"29","CAN",0.148251836469162,0.162440078245175,0.23499742427907
"30","CHE",0.08536845705247,0.107914300130876,0.160158236076434
"31","CHL",0.124171092685475,0.132281191035668,0.149353024428387
"32","CIV",0.116128398616424,0.130997671298528,0.142128832103721
"33","CMR",0.117655517717235,0.141411051526878,0.162821389851339
"34","COD",0.0943023192721965,0.108301342973155,0.124051570086097
"35","COG",0.217652178954176,0.243822483182567,0.273927660537227
"36","COL",0.0531755867323431,0.0637366188875161,0.0785958641262246
"37","COM",0.0612946965936322,0.0715920186082628,0.0805159467937412
"38","CPV",0.0653981688127665,0.0746197242235545,0.080968944771161
"39","CRI",0.0874459573094363,0.100968547342432,0.111207562177069
"40","CUB",0.135933283533883,0.191151890162748,0.227696729577832
"41","CYP",0.0868489770174571,0.111296785677977,0.134958301260188
"42","CZE",0.104694636845411,0.125536384084227,0.142656253826914
"43","DEU",0.159987344876028,0.172247572073022,0.18791792914978
"44","DJI",0.0898308344045418,0.108659666610896,0.123031457967038
"45","DNK",0.113330270439001,0.123927222515625,0.136895615404645
