"","iso3c","discvsly_pp_low","discvsly_pp_med","discvsly_pp_high"
"1","AFG",127.270625326772,137.310788130183,144.904052894763
"2","AGO",749.161181976325,801.383824319083,872.607361275603
"3","ALB",3411.60829927665,4158.40204268565,4626.36819840267
"4","ARE",7404.43595821732,8198.09516199154,9649.04509589443
"5","ARG",3003.67338947202,3511.29582349501,4123.97874339783
"6","ARM",2722.06587267271,3089.64550735126,3337.41842000139
"7","ATG",8319.06969530767,9658.88937205036,15123.3778705587
"8","AUS",26989.6758887265,34241.6878138525,54702.0097942405
"9","AUT",33546.5615821697,35615.2660540104,38760.639480654
"10","AZE",3132.48631285391,3485.66434426587,3658.39646578795
"11","BDI",0.417892095643936,1.70025913148334,2.88093346753755
"12","BEL",56269.589394441,87252.2054727059,116975.948449205
"13","BEN",193.229160550359,228.27491176332,266.914623419048
"14","BFA",280.671440523872,317.810529236809,395.679843324555
"15","BGD",782.105635928002,909.268354527701,1126.26333042133
"16","BGR",12620.3627115832,15059.1698443665,16428.8005251455
"17","BHR",5182.70567910901,5821.14738214655,7087.88691090374
"18","BHS",16870.515458799,19885.468779669,21833.165783692
"19","BIH",5401.34406647018,6455.66942261884,7372.58378195036
"20","BLR",4327.94414560742,5019.20209925145,6088.0528988765
"21","BLZ",2634.28697704926,3287.15280711397,3617.5638454679
"22","BOL",1007.4142834543,1156.21372636774,1269.22720774908
"23","BRA",4317.95142120093,4923.0237837539,5250.7678868152
"24","BRB",5392.84238885814,7944.09368816672,10773.1182878335
"25","BRN",12145.8545975009,14253.9933047764,18139.5376201235
"26","BTN",1486.63088175669,1597.59083588758,1720.21151027197
"27","BWA",1292.67372432288,1676.7324551741,1957.49200669795
"28","CAF",109.825623101016,133.018430922494,151.986181671454
"29","CAN",44793.8818969909,49150.2390292418,71747.6319707343
"30","CHE",48426.2144636888,61592.8947692012,91746.9463761265
"31","CHL",10816.892116401,11543.6607233362,13098.2375903078
"32","CIV",1553.33085433656,1757.0692762593,1909.82858325456
