"","iso3c","mean_friction_costs_pgdp_low","mean_friction_costs_pgdp_med","mean_friction_costs_pgdp_high"
"1","AFG",0.000678054377980511,0.000746284492296778,0.000793908848695514
"2","AGO",0.000848912083883812,0.000902717796047587,0.000973038223809239
"3","ALB",0.00250546291109642,0.0030438103229806,0.00337765527320522
"4","ARE",0.00141528984208698,0.00157707618566524,0.00184624773239848
"5","ARG",0.0024812306668788,0.0029158862411227,0.00344971189667817
"6","ARM",0.00148237969062044,0.00167973473999096,0.00179018351706865
"7","ATG",0.0036168401135142,0.00420202515039178,0.0063128655754462
"8","AUS",0.00346650733126342,0.00446841171613272,0.0071415065854133
"9","AUT",0.00573625051854917,0.00614034132240485,0.00669245165066473
"10","AZE",0.00366915429118541,0.00407707452201314,0.00426005731466445
"11","BDI",3.29412524024534e-09,1.23988590997167e-08,2.07684760906346e-08
"12","BEL",0.00942000274776907,0.0141831269061199,0.0192059295168618
"13","BEN",0.000207480210495851,0.000244457418501928,0.000287227773121929
"14","BFA",0.000116676617105796,0.000135330808002115,0.000169204050016395
"15","BGD",0.0013431233092705,0.00154195431349007,0.00190770032975011
"16","BGR",0.00429637656416583,0.00517061468861826,0.00565784367680008
"17","BHR",0.00170697214354992,0.00190456083719203,0.00234211126658415
"18","BHS",0.00244306775731595,0.00286563423535818,0.00313226473919953
"19","BIH",0.0023168518241897,0.00279874649998132,0.00322656137182651
"20","BLR",0.00252224523838649,0.00289676595103393,0.00352939125425983
"21","BLZ",0.00354927873904819,0.00442628089240554,0.00482490807800648
"22","BOL",0.00213130755342355,0.00245248241441921,0.00273675523883793
"23","BRA",0.00417360087117133,0.00478138028177901,0.0050926341860076
"24","BRB",0.00203616151655285,0.00289600218106727,0.00384175203823961
"25","BRN",0.00367697020260912,0.00421718443923252,0.00527907699324629
"26","BTN",0.0060258793502413,0.0064577094398806,0.00689618425327638
"27","BWA",0.000796270720161019,0.00103098818978517,0.00118083497858047
"28","CAF",0.000318562607458238,0.000387303507218502,0.000443184951212899
"29","CAN",0.013322110420813,0.0146345443332493,0.0208934637605023
"30","CHE",0.00291152918944781,0.0036683889049539,0.00541366807286836
"31","CHL",0.0069121363476592,0.00736157038674847,0.0082502387739129
"32","CIV",0.000640710397156678,0.000739165341481092,0.000806109183843768
"33","CMR",0.000299721400170549,0.000369287575156234,0.000433181492487182
"34","COD",7.48866427295998e-06,8.65510599191338e-06,1.00348452726359e-05
"35","COG",0.000552642445987877,0.000637698127498746,0.000720489273514635
"36","COL",0.00179518713091968,0.00215131436782009,0.0026585613892924
"37","COM",0.0016793810926589,0.00194554596472977,0.00218732878401889
"38","CPV",0.00292296359619053,0.00332478411111384,0.00359825153451389
"39","CRI",0.00351187319516665,0.00404546611715343,0.00445440054702272
"40","CUB",NA,NA,NA
"41","CYP",0.00491393715640856,0.00635618131468659,0.00771663152735749
"42","CZE",0.0233481938556363,0.0281246732170694,0.0320931442829599
"43","DEU",0.00858458241399738,0.00926179387195278,0.0102134752273298
"44","DJI",0.000804800897342115,0.000971055160361097,0.00108519355949136
"45","DNK",0.00609327136941582,0.00667638179811825,0.00740943023177533
"46","DOM",0.00122171513114725,0.00151947322912262,0.00188600594710899
"47","DZA",0.000491443523608969,0.000650659688339943,0.000830539891360999
"48","ECU",0.00188638990775192,0.00226243400698209,0.00284993129670996
"49","EGY",0.0013202956399126,0.00156290189927745,0.00177092513509865
"50","ERI",NA,NA,NA
"51","ESP",0.00841269128076192,0.00939052875774217,0.0108369807860502
"52","EST",0.00625520558779507,0.00717432782326276,0.00791697686175955
"53","ETH",0.000343794168903946,0.00042159994121334,0.000469846669383441
"54","FIN",0.00825725103888659,0.00889666845121388,0.00947665047515941
"55","FJI",0.0037741127014428,0.00428217519101432,0.00492208863446142
"56","FRA",0.00762880565055853,0.00909577373027334,0.0117242170364243
"57","FSM",2.64987142868941e-08,2.32997433597922e-06,0.000388365677516665
"58","GAB",0.000466065540466249,0.000547151117915137,0.000619289876858965
"59","GBR",0.00867875245752282,0.0115166545407736,0.017936417644424
"60","GEO",0.00365992073359393,0.00399588204586101,0.00465107192416303
"61","GHA",0.000514267687612868,0.000564503243195137,0.000627894861187059
"62","GIN",0.000588266605266513,0.000680164379609667,0.000798839265440156
"63","GMB",0.000620561396862377,0.000694030939849516,0.000771975875403868
"64","GNB",0.000443505056007784,0.000535699195195324,0.000628078046600275
"65","GNQ",0.000378231060569718,0.00072491236810635,0.000879001688132425
"66","GRC",0.0080266426550306,0.00875514523494144,0.00937224130790829
"67","GRD",0.0003408518894355,0.000478872144654196,0.00204603067892536
"68","GTM",0.00181212166010198,0.00207535533251913,0.00239943351186975
"69","GUY",0.00300308311088712,0.0034172869988488,0.00365393844683141
"70","HND",0.00187620125213983,0.0024321280003354,0.0026758989439728
"71","HRV",0.00573524977196933,0.0067079357386279,0.00734058217562593
"72","HTI",3.0129015603272e-05,3.63061084506558e-05,4.43555252367087e-05
"73","HUN",0.00436669420770357,0.00504682336959152,0.00654457071963926
"74","IDN",0.00306200511861416,0.00357012303258469,0.0041216661827196
"75","IND",0.00382646501028017,0.0043960226344789,0.00456213282786692
"76","IRL",0.00658646878839199,0.00704330922730365,0.00733931250804677
"77","IRN",0.00272909556305087,0.00308140356845106,0.00371233826433593
"78","IRQ",0.000305974652293494,0.000378305649221386,0.000470978735426595
"79","ISL",0.0064217450085262,0.0103916961661739,0.0132738495898436
"80","ISR",0.00358215820346896,0.00397665530692193,0.00439885961247818
"81","ITA",0.00734046876603431,0.00810902925906781,0.00898514108131012
"82","JAM",0.000744041691533524,0.000906464821910081,0.00104278418692117
"83","JOR",0.0018396423379779,0.00204902168871829,0.00220771557484574
"84","JPN",0.00208634295653735,0.00260248961848825,0.00316069429374068
"85","KAZ",0.00269286715045811,0.00299813321542152,0.00335391190044467
"86","KEN",0.000620485109640546,0.000725576086712161,0.000787868474446368
"87","KGZ",0.000605918880841401,0.000819140004163077,0.00108443739518298
"88","KHM",0.00489336736981832,0.00518495198268822,0.00549480617791615
"89","KOR",0.0063669191648262,0.00733673227480015,0.00844263813092263
"90","KWT",0.0019167216434654,0.00215453939868068,0.00244074264934911
"91","LAO",0.0036714332050897,0.00387509179176727,0.00411776091397974
"92","LBN",0.00216362450389338,0.00250262886781562,0.00281969923343477
"93","LBR",0.000379855131113081,0.000433451073024964,0.000495187558542697
"94","LBY",0.000966304236973063,0.00110636291696222,0.00126847061727469
"95","LCA",0.0021820428915512,0.00243837747069485,0.00278780997214594
"96","LKA",0.006203048268105,0.00661252150707515,0.00736743515622194
"97","LSO",0.000923070807470371,0.00107898420515055,0.00122135479414127
"98","LTU",0.00834595945015763,0.00921080846551608,0.00957533150674921
"99","LUX",0.00905665690223015,0.0107902120687607,0.0142545784666323
"100","LVA",0.0067645029699481,0.0080272178511937,0.00866039303905158
"101","MAR",0.00445181379906414,0.00508514607024369,0.00582084077371223
"102","MDA",0.0030699079457259,0.00358672548142378,0.00391394907699279
"103","MDG",0.000190612054153827,0.000241607369593098,0.000277027908493292
"104","MDV",0.00335012509763559,0.00368863994778761,0.00422072250146102
"105","MEX",0.00214223271008109,0.00255777785081527,0.00287282991158879
"106","MKD",0.00359928835579199,0.00428089155063079,0.00494466070735796
"107","MLI",0.00015980545481998,0.000223360360708104,0.00027335756961454
"108","MLT",0.00670657554201956,0.00767606156038894,0.00891502402798533
"109","MMR",0.00162978310312477,0.00186904155347923,0.00218027883524926
"110","MNE",0.00346686370020453,0.00411146248785931,0.00505220968829988
"111","MNG",0.00474624643936546,0.00508460896903535,0.00549942236872336
"112","MOZ",0.000467015284066076,0.000580512538318204,0.000723017430297809
"113","MRT",0.0011119425272864,0.00142511283111947,0.00168465968365169
"114","MUS",0.00389437270610978,0.00436299530434169,0.00479573440311066
"115","MWI",0.000635220562518752,0.000687212050999571,0.000728085902253269
"116","MYS",0.00435722022327344,0.00483412585490412,0.00570043697685713
"117","NAM",0.000528706834699533,0.000700492979052925,0.000827066071934755
"118","NER",0.000413957177400277,0.000517621769851543,0.000700494525096758
"119","NGA",0.000463157825434417,0.000511220244196682,0.000543865449980555
"120","NIC",0.00068459440657762,0.000828962931783857,0.000941639866896958
"121","NLD",0.00543023097672001,0.00606105441995551,0.00690428883086092
"122","NOR",0.00606493019695214,0.00678241399236568,0.00729719882989287
"123","NPL",0.00203643568343213,0.00232844091668764,0.00306598131736803
"124","NZL",0.00435144091653679,0.00645936020642535,0.00823319980400277
"125","OMN",0.000837520781943894,0.00107000007088058,0.00177454170780606
"126","PAK",0.00152341958040281,0.00172622407608785,0.00211412612657446
"127","PAN",0.00233700450523461,0.0029099099699206,0.00354412858596175
"128","PER",0.00106427072490914,0.00145902489384118,0.00192280635705238
"129","PHL",0.0035429750772673,0.00414905201158446,0.00490666718303468
"130","PNG",0.000168448996916956,0.000213687317617697,0.000263463216799825
"131","POL",0.00293206018090253,0.00325706179188254,0.00350411885527062
"132","PRK",NA,NA,NA
"133","PRT",0.00714876760802396,0.00766621781514797,0.0101180216395135
"134","PRY",0.000652589778930813,0.000825885218694041,0.000913072230979377
"135","QAT",0.00210042059571376,0.00278524971454461,0.00346334096918865
"136","ROU",0.0037705335672802,0.00448230300913139,0.00502783994009814
"137","RUS",0.00498999121667322,0.00540281474652373,0.00577543047480565
"138","RWA",0.0014912955661119,0.0016891061437201,0.00191462460104007
"139","SAU",0.00240289654172739,0.00268060681107673,0.00300741618137686
"140","SDN",0.000327629530100597,0.000445218813263769,0.000577733112820266
"141","SEN",0.000642240145198812,0.000738263355087224,0.000828004866666578
"142","SGP",0.0150026099380024,0.0176668304392626,0.0183878276440408
"143","SLB",3.83150942281601e-05,0.00043508488201736,0.00180263527821056
"144","SLE",0.00027340806713055,0.000394618352725477,0.000477374549580176
"145","SLV",0.0042995541988992,0.00505592874070555,0.00537055998992964
"146","SOM",0.000262539750737313,0.000298460555473142,0.000336531159308236
"147","SRB",0.00555130775326257,0.00649501172056038,0.0076527258239447
"148","SSD",NA,NA,NA
"149","STP",0.00200506602342535,0.00245272301868458,0.00327929128765002
"150","SUR",0.00294148201350523,0.00341238264804855,0.00361194939028155
"151","SVK",0.00390596547633709,0.00459408333911581,0.00495694980675895
"152","SVN",0.0045745376926256,0.00511936880180221,0.00575952185136483
"153","SWE",0.00402264248919532,0.00454862341952428,0.00524653270735478
"154","SWZ",0.00128106380866136,0.00151431033880622,0.00176882852608782
"155","SYC",0.00337235572564968,0.00431037567422405,0.00565166264660288
"156","SYR",0.000190332820904755,0.000240906222855791,0.000304581740483185
"157","TCD",5.79402558520016e-05,8.07061253335534e-05,0.000102609994812255
"158","TGO",0.00080576866033397,0.000867829529154194,0.000934000236043381
"159","THA",0.00429261266590444,0.005249805633391,0.00613477893213972
"160","TJK",0.000884634772983404,0.0012347994833603,0.00153904048349722
"161","TKM",0.00115455938182994,0.00170433720919321,0.00209133814910003
"162","TLS",0.0031125191721587,0.00346587282538702,0.00365590121343206
"163","TTO",0.00265270195564505,0.00315107869065691,0.00390167330226412
"164","TUN",0.00314812194051569,0.0036366921901841,0.0039943893006313
"165","TUR",0.00350303449748336,0.00410041409387059,0.00455604859881257
"166","TZA",0.000117913000622634,0.000157471960673414,0.000188450144588028
"167","UGA",0.00055501361953477,0.000674501414824628,0.000715153576609851
"168","UKR",0.00402355615219555,0.00479931970064053,0.00549853682168115
"169","URY",0.00874503048729427,0.0118193450830737,0.0147182704616449
"170","USA",0.00601631329815333,0.00658631865522242,0.00716448242727132
"171","UZB",0.00127535195892224,0.00176431717158645,0.00216280103845291
"172","VCT",0.00097305714694145,0.00139368656070486,0.00257135390354602
"173","VEN",NA,NA,NA
"174","VNM",0.00632030471300938,0.00762785722372795,0.00922030785014468
"175","VUT",3.48998163534461e-06,1.71100064526067e-05,0.000657912615797648
"176","YEM",NA,NA,NA
"177","ZAF",0.00136857680710652,0.00161839395023623,0.00187243221247183
"178","ZMB",0.000407266948383294,0.000489006674250978,0.000542937188227816
