"","iso3c","friction_costs_total_low","friction_costs_total_med","friction_costs_total_high"
"1","AFG",1644488.60748455,1809967.43827487,1925471.02335571
"2","AGO",9597691.44294738,10206011.9428198,11001045.7049788
"3","ALB",7637142.19971112,9278130.66503497,10295755.5303758
"4","ARE",99891765.6291315,111310715.327013,130308958.83921
"5","ARG",205801980.630568,241853839.599423,286131213.199245
"6","ARM",3497548.08753307,3963190.44613957,4223784.88863139
"7","ATG",984620.823600523,1143927.11165462,1718566.12598113
"8","AUS",918746117.192134,1184285946.02641,1892749912.01567
"9","AUT",467390552.688964,500315932.000746,545301964.363909
"10","AZE",34197692.1234047,37999639.2092134,39705097.3912264
"11","BDI",1.55445085343673,5.85084527865763,9.80034850808005
"12","BEL",962039729.222318,1448484881.97319,1961450301.72529
"13","BEN",623871.415216239,735058.034096008,863664.042362102
"14","BFA",389612.82649411,451903.902644228,565015.251696592
"15","BGD",95046188.1366927,109116474.09184,134998509.219783
"16","BGR",61382563.1719463,73872850.3011296,80833917.0744003
"17","BHR",11400993.1538208,12720702.6476156,15643134.316346
"18","BHS",4787660.33947001,5615760.48595754,6138274.15129141
"19","BIH",9314732.71865727,11252154.8950249,12972153.1887001
"20","BLR",29874827.0805194,34310851.5233974,41804005.3424626
"21","BLZ",1462933.83278827,1824414.63379143,1988719.90237149
"22","BOL",14640034.680205,16846197.3223978,18798878.4366015
"23","BRA",1170425429.74728,1340868291.87281,1428154905.00672
"24","BRB",1704118.54956403,2423742.41739409,3215266.00810776
"25","BRN",8755250.01962126,10041556.5288338,12570033.5879537
"26","BTN",2835541.75454877,3038744.00585068,3245073.00273841
"27","BWA",2536362.138478,3284007.99323665,3761315.16032179
"28","CAF",136282.59028451,165690.272349156,189596.618411425
"29","CAN",4546435291.09982,4994329481.15356,7130310288.20024
"30","CHE",402604887.898124,507263093.63424,748599476.692243
"31","CHL",372002676.303311,396190663.483227,444017703.0183
"32","CIV",7821717.50921399,9023643.94166838,9840886.53093474
"33","CMR",2292538.62860025,2824643.25412214,3313361.3554337
"34","COD",70437.1934912758,81408.5600874367,94386.1698642138
"35","COG",1392863.71673856,1607235.54709478,1815899.90899807
"36","COL",97204069.3853929,116487305.126929,143953229.888471
"37","COM",370026.788122544,428672.281485518,481945.550093728
"38","CPV",992747.4182979,1129220.64681472,1222100.37987838
"39","CRI",38782751.3454472,44675390.533441,49191385.6815688
"40","CUB",0,0,0
"41","CYP",24629124.7925694,31857790.9771294,38676498.0536437
"42","CZE",1118482852.11151,1347297564.3869,1537405067.50872
"43","DEU",6243953095.90892,6736519463.79549,7428720139.22218
"44","DJI",463235.581032271,558929.920319211,624626.874452606
"45","DNK",420234402.803646,460449756.415549,511005878.41764
"46","DOM",19573565.3115337,24344061.6647106,30216422.5051489
"47","DZA",13657333.4675389,18081988.8972922,23080902.9104961
"48","ECU",34045980.0608863,40832906.6934943,51436187.0279066
"49","EGY",95317740.2988037,112832514.812892,127850594.225345
"50","ERI",0,0,0
"51","ESP",2067507215.50569,2307821042.76709,2663301816.4701
"52","EST",39548526.3562029,45359675.0776599,50055072.3208306
"53","ETH",6502708.55950044,7974368.95207736,8886933.62191987
"54","FIN",416164626.63478,448391200.274334,477622236.282987
"55","FJI",2762104.67497392,3133932.93995602,3602257.03453014
"56","FRA",3837984989.30627,4576003720.89169,5898350417.91517
"57","FSM",1.82894126008143,160.814828669286,26804.9990622002
"58","GAB",1601891.02108438,1880586.2842546,2128530.8761433
"59","GBR",4634945897.58153,6150546519.08556,9579064017.00285
"60","GEO",11590940.2477003,12654927.0877111,14729908.2917001
"61","GHA",6952462.89166514,7631604.98913797,8488605.89031693
"62","GIN",1609267.43926167,1860663.82088027,2185311.91056501
"63","GMB",215043.478893129,240502.919645527,267513.220622121
"64","GNB",123537.443320587,149217.935775156,174949.879447202
"65","GNQ",778342.407598852,1491760.18764879,1808852.73989373
"66","GRC",292920765.329918,319506417.94005,342026450.50463
"67","GRD",65060.4452478905,91405.1994830143,390538.151870557
"68","GTM",26509571.602522,30360423.3641772,35101370.8896468
"69","GUY",4105309.38598167,4671539.17256152,4995049.1703658
"70","HND",9086597.79925841,11778997.0080008,12959599.8444249
"71","HRV",67353684.9377513,78776724.3425717,86206404.0407106
"72","HTI",106932.713348737,128856.207547003,157424.879990255
"73","HUN",135172329.207726,156225931.452716,202589149.997649
"74","IDN",617626947.85877,720117735.496651,831367684.217967
"75","IND",2049273667.71107,2354301791.15629,2443262553.72277
"76","IRL",574844865.315724,614716363.840059,640550535.612295
"77","IRN",166601704.998829,188108872.127412,226625220.730401
"78","IRQ",10803242.8723039,13357079.672675,16629147.6380975
"79","ISL",27943002.1742896,45217489.666815,57758632.1876269
"80","ISR",297496770.113234,330259592.811191,365323487.283872
