"","iso3c","friction_costs_total_low","friction_costs_total_med","friction_costs_total_high"
"1","AFG",1976518.48227272,2175408.25626893,2314232.55072862
"2","AGO",11535509.846525,12266653.075898,13222207.8409393
"3","ALB",11292888.4196652,13719385.0269382,15224126.4284804
"4","ARE",130062353.988986,144930200.88742,169666536.833531
"5","ARG",267960926.386922,314901628.792534,372552220.93667
"6","ARM",5171753.94435089,5860289.9257042,6245625.6815261
"7","ATG",1282008.59497783,1489430.60518125,2237629.44245778
"8","AUS",1196237567.40767,1541979130.77379,2464422442.81857
"9","AUT",610157121.51032,653139707.593701,711866928.024158
"10","AZE",50567438.8744892,56189301.4894256,58711128.1688616
"11","BDI",1.86830168820806,7.03215806880775,11.7790843127602
"12","BEL",1422548779.80451,2141845434.05699,2900357073.21782
"13","BEN",749833.946628979,883469.659395291,1038041.81703284
"14","BFA",468277.462666069,543145.395913532,679094.450798607
"15","BGD",114236454.218494,131147596.147139,162255334.17365
"16","BGR",90765160.4077848,109234296.531083,119527485.82843
"17","BHR",14844466.8893289,16562771.9194135,20367873.7695322
"18","BHS",6233690.7344601,7311904.27601134,7992234.19987162
"19","BIH",13773507.7467565,16638334.9147425,19181661.7645716
"20","BLR",44175305.3635508,50734765.4011319,61814741.101112
"21","BLZ",1758306.95675723,2192772.40754705,2390251.67168133
"22","BOL",17595925.5630238,20247522.6719047,22594459.1569876
"23","BRA",1523932284.13521,1745854478.91321,1859504511.06973
"24","BRB",2218818.22427169,3155792.09441161,4186381.76111395
"25","BRN",11399622.5829246,13074435.8319032,16366595.8637646
"26","BTN",3408050.7822395,3652280.51025933,3900268.2882964
"27","BWA",3302426.66371274,4275886.07958733,4897355.6605475
"28","CAF",163798.677159194,199143.90658616,227877.054764036
"29","CAN",5779152302.9398,6348488183.5119,9063617204.31732
"30","CHE",490838212.275459,618432904.112563,912659632.048341
"31","CHL",484359681.35597,515853233.712981,578125607.287303
"32","CIV",9400958.54098086,10845559.4930738,11827807.1503903
"33","CMR",2755412.80744027,3394951.82404407,3982344.37603085
"34","COD",84658.7894505888,97845.3258330278,113443.17519652
"35","COG",1674089.35938567,1931743.85626043,2182538.52033801
"36","COL",126562885.35845,151670290.531168,187431825.092819
"37","COM",444736.912333454,515223.202725714,579252.591276037
"38","CPV",1193187.725086,1357215.53122052,1468848.11304162
"39","CRI",50496413.8173902,58168823.2414429,64048796.98972
"40","CUB",0,0,0
"41","CYP",36418590.9969069,47107474.1564128,57190159.0361535
"42","CZE",1841236000.8931,2217908638.27873,2530861830.29861
"43","DEU",7633831268.82127,8236040876.00201,9082322563.13282
"44","DJI",556764.992709278,671780.462800512,750741.936587978
"45","DNK",621392151.261207,680857785.031098,755614104.839073
"46","DOM",25485423.7918566,31696766.4534094,39342772.804081
"47","DZA",16414812.4190675,21732826.2957176,27741044.2264595
"48","ECU",44328982.3009153,53165783.2987555,66971601.9426959
"49","EGY",114562834.02123,135613922.719794,153664221.999372
"50","ERI",0,0,0
"51","ESP",3057181296.48571,3412528514.856,3938170778.38701
"52","EST",58479609.7314626,67072438.3557582,74015427.7314355
"53","ETH",7815635.5685221,9584431.01795141,10681246.7258886
"54","FIN",505185831.540311,544305947.378702,579789754.237124
"55","FJI",3596350.84762506,4080483.43972241,4690256.76574626
"56","FRA",5675151137.32272,6766444577.91522,8721772017.30268
"57","FSM",2.19821298067342,193.284088221542,32217.052658566
"58","GAB",2085714.63046894,2448585.00066619,2771416.98863615
"59","GBR",5702013442.00252,7566539006.5906,11784377421.8062
"60","GEO",17139289.9953123,18712585.9154392,21780818.8482287
"61","GHA",8356197.38570946,9172461.42161408,10202494.7783642
"62","GIN",1934185.99687701,2236340.47358433,2626536.51785973
"63","GMB",258461.754365475,289061.574252591,321525.380233982
"64","GNB",148480.225928322,179345.72888122,210273.071290965
"65","GNQ",1013427.33411691,1942320.67448881,2355185.57398885
"66","GRC",433136038.608636,472447707.900527,505747626.680179
"67","GRD",84710.8328421059,119012.566618671,508493.478265034
"68","GTM",34516331.3927658,39530266.6438756,45703135.7629394
"69","GUY",5345247.42085587,6082497.16789387,6503717.79192022
"70","HND",10921224.026407,14157231.1191383,15576203.1422921
"71","HRV",99594537.9521786,116485556.351306,127471674.146535
"72","HTI",128522.923984643,154872.873313362,189209.693186171
"73","HUN",193888266.370607,224087098.217799,290589496.450682
"74","IDN",742328692.358556,865512845.235616,999224674.432122
"75","IND",2463031523.01029,2829646238.89125,2936568591.90085
"76","IRL",850011529.557943,908968711.732344,947169181.438061
"77","IRN",200239361.713807,226088925.607105,272381903.580308
"78","IRQ",14066176.424424,17391355.6708613,21651695.4427582
"79","ISL",41318754.7662334,66862191.6512204,85406526.6182982
"80","ISR",387350548.679893,430008818.023541,475663158.262856
"81","ITA",3977101687.67932,4393511501.73245,4868193149.17145
"82","JAM",2413962.77133015,2940927.04550114,3383200.47707443
"83","JOR",18851618.6832594,20997220.3574658,22623425.9338865
"84","JPN",2325001506.18586,2900190624.87244,3522248808.86144
"85","KAZ",133429259.096791,148554930.954956,166183459.839863
"86","KEN",13908258.6548242,16263887.2890826,17660179.685746
"87","KGZ",1255580.12256142,1697415.18104508,2247162.25324299
"88","KHM",26956514.390505,28562791.6672445,30269712.1662321
"89","KOR",2264443390.43239,2609364824.17186,3002688681.67766
"90","KWT",58286240.7297118,65518121.7790729,74221373.8255857
"91","LAO",14123395.2167627,14906836.0553288,15840343.9604053
"92","LBN",11078088.2269719,12813842.3960069,14437291.1405401
"93","LBR",272345.558744283,310772.35767588,355035.699845213
"94","LBY",8512372.09883987,9746177.72042622,11174217.6817012
"95","LCA",947188.300753253,1058458.85156757,1210141.65237728
"96","LKA",112228482.297268,119636865.750812,133295120.442278
"97","LSO",442990.71835292,517815.084458121,586140.124074709
"98","LTU",140142184.302019,154664400.810211,160785333.40423
"99","LUX",172802968.614498,205879575.387546,271980434.057936
"100","LVA",67070308.2102194,79590175.0271932,85868131.469722
"101","MAR",128999278.024397,147351214.879638,168669286.541522
"102","MDA",10566292.4011618,12345122.6777616,13471391.0390509
"103","MDG",566857.851751585,718511.92781527,823848.448519484
"104","MDV",3896298.42344633,4290001.59527456,4908829.95379889
"105","MEX",622381468.899897,743109526.998945,834641396.268525
"106","MKD",12665337.1759161,15063793.0453724,17399493.7022522
"107","MLI",630493.682036575,881242.110305378,1078500.23500757
"108","MLT",26849928.2546113,30731287.6568835,35691502.174217
"109","MMR",22065745.8721072,25305082.537921,29518945.5680969
"110","MNE",5108145.35762632,6057909.9256698,7444025.40645635
"111","MNG",14824348.6913441,15881184.6959622,17176806.1006609
"112","MOZ",1542793.64459176,1917733.92709015,2388501.47832572
"113","MRT",2095326.22587148,2685459.20008819,3174545.02386754
"114","MUS",9899541.37013694,11090785.5443013,12190813.4394276
"115","MWI",1635665.4106442,1769541.23956697,1874789.6345975
"116","MYS",360542799.639512,400004860.94951,471688691.75509
"117","NAM",1456551.05534612,1929810.0968979,2278510.28368521
"118","NER",1261530.27544119,1577447.0634767,2134749.91964173
"119","NGA",41718429.0960477,46047598.3321228,48988079.1531971
"120","NIC",1978710.50879964,2395984.6133217,2721659.25142196
"121","NLD",1405541462.70298,1568821534.75033,1787081297.98813
"122","NOR",767422435.268325,858208832.417384,923346834.146218
"123","NPL",15364140.474068,17567210.0133619,23131674.6382677
"124","NZL",246140578.578696,365375674.16246,465713450.367634
"125","OMN",16349162.6429522,20887368.4855846,34640658.0267605
"126","PAK",108483186.222403,122924957.980597,150547584.681946
"127","PAN",34868535.1720989,43416389.6160875,52879047.506005
"128","PER",52701610.3972628,72249437.7750455,95215426.9839621
"129","PHL",285285131.749551,334087263.93683,395091459.36271
"130","PNG",898772.285697567,1140144.74645119,1405727.79829108
"131","POL",414269346.69963,460188665.114019,495095236.580026
"132","PRK",0,0,0
"133","PRT",344085153.86337,368991115.827367,487001567.755152
"134","PRY",5770821.96347708,7303265.71641868,8074256.53127713
"135","QAT",83560786.1062576,110805262.586225,137781687.405836
"136","ROU",270896449.398223,322033990.318386,361228447.807621
"137","RUS",2304124874.75887,2494745844.35819,2666800890.34546
"138","RWA",3368390.57950475,3815185.50150605,4324564.23527481
"139","SAU",464937800.80871,518672116.727471,581906645.252695
"140","SDN",2291409.45607704,3113817.60497218,4040609.88458125
"141","SEN",3617758.29731067,4158659.96299628,4664176.63079803
"142","SGP",1407328678.68271,1657247455.03244,1724881023.30673
"143","SLB",12371.6987380946,140486.124182936,582059.395805727
"144","SLE",237378.278718805,342615.440370659,414466.00340947
"145","SLV",25872949.7294893,30424500.7953722,32317822.3161441
"146","SOM",527779.148093497,599990.124408766,676522.804900242
"147","SRB",88055219.9909407,103024316.308452,121388055.915611
"148","SSD",0,0,0
"149","STP",214838.604359279,262804.109220242,351369.159566481
"150","SUR",2006251.43537053,2327431.39487115,2463546.81601563
"151","SVK",116425544.501777,136936349.663973,147752350.556128
"152","SVN",71102521.397431,79570888.738827,89520855.0441724
"153","SWE",555275307.401949,627880373.241246,724217990.958867
"154","SWZ",1269716.82495932,1500897.38106119,1753161.18124402
"155","SYC",960455.47797446,1227605.94232353,1609607.87953283
"156","SYR",348820.079437003,441505.187565504,558202.344742063
"157","TCD",139458.163846727,194254.027440791,246975.117013483
"158","TGO",1390054.60728106,1497117.59059399,1611270.5733375
"159","THA",480365846.484168,587480754.318158,686513902.858651
"160","TJK",1771429.10383987,2472613.34172301,3081838.05081548
"161","TKM",14513557.5511491,21424620.129096,26289472.0389077
"162","TLS",2303426.59671452,2564926.73787761,2705557.6605942
"163","TTO",14383462.4070647,17085757.3321859,21155626.3033393
"164","TUN",30030957.060522,34691587.260392,38103776.1042437
"165","TUR",721954524.469688,845070897.644855,938974452.572357
"166","TZA",1702265.84373216,2273363.73923497,2720584.18227557
"167","UGA",4593962.04954696,5582987.14303164,5919473.45958348
"168","UKR",180077941.436329,214797949.697947,246092052.479469
"169","URY",118874118.086275,160664302.445726,200070362.639142
"170","USA",28428245092.029,31121630757.2176,33853566512.6549
"171","UZB",19887125.1919577,27511775.2587383,33725509.821898
"172","VCT",187860.872899067,269068.65096739,496432.085588129
"173","VEN",0,0,0
"174","VNM",472826439.865906,570645362.632118,689777713.767185
"175","VUT",692.860359484027,3396.82166274681,130614.318102457
"176","YEM",876532.123302417,1044224.03433014,1184612.54971385
"177","ZAF",127265681.372949,150496492.222552,174119830.255416
"178","ZMB",1838738.43589241,2207778.88046777,2451265.63850275
"179","ZWE",6122825.47426306,7036319.44805335,8168186.91266326
