"","iso3c","friction_costs_total_low","friction_costs_total_med","friction_costs_total_high"
"1","AFG",1312458.73269638,1444526.62028081,1536709.49598279
"2","AGO",7659873.03936975,8145370.80974169,8779883.56901836
"3","ALB",3981395.97975699,4836876.30313176,5367384.63227115
"4","ARE",69721177.2692771,77691229.7666047,90951380.8448885
"5","ARG",143643034.874214,168806050.406312,199710205.461821
"6","ARM",1823342.23071526,2066090.96657494,2201944.09573668
"7","ATG",687233.052223211,798423.618127985,1199502.80950447
"8","AUS",641254666.976595,826592761.279022,1321077381.21277
"9","AUT",324623983.867608,347492156.407791,378737000.703661
"10","AZE",17827945.3723201,19809976.9290011,20699066.6135912
"11","BDI",1.2406000186654,4.66953248850752,7.82161270339992
"12","BEL",501530678.640123,755124329.889388,1022543530.23276
"13","BEN",497908.883803498,586646.408796725,689286.267691365
"14","BFA",310948.19032215,360662.409374924,450936.052594576
"15","BGD",75855922.0548917,87085352.0365416,107741684.265916
"16","BGR",31999965.9361077,38511404.0711763,42140348.3203705
"17","BHR",7957519.4183127,8878633.37581775,10918394.8631598
"18","BHS",3341629.94447992,3919616.69590374,4284314.1027112
"19","BIH",4855957.69055809,5865974.87530738,6762644.61282861
"20","BLR",15574348.7974879,17886937.6456629,21793269.5838132
"21","BLZ",1167560.70881932,1456056.86003582,1587188.13306165
"22","BOL",11684143.7973862,13444871.9728909,15003297.7162155
"23","BRA",816918575.359348,935882104.832405,996805298.943704
"24","BRB",1189418.87485636,1691692.74037657,2244150.25510158
"25","BRN",6110877.45631795,7008677.2257644,8773471.31214292
"26","BTN",2263032.72685804,2425207.50144204,2589877.71718041
"27","BWA",1770297.61324327,2292129.90688596,2625274.66009607
"28","CAF",108766.503409826,132236.638112152,151316.182058814
"29","CAN",3313718279.25985,3640170778.79521,5197003372.08317
"30","CHE",314371563.520788,396093283.155918,584539321.336145
"31","CHL",259645671.250652,276528093.253473,309909798.749298
"32","CIV",6242476.47744712,7201728.39026294,7853965.91147916
"33","CMR",1829664.44976023,2254334.68420021,2644378.33483655
"34","COD",56215.5975319629,64971.7943418456,75329.1645319075
"35","COG",1111638.07409145,1282727.23792914,1449261.29765814
"36","COL",67845253.4123359,81304319.7226908,100474634.684124
"37","COM",295316.663911634,342121.360245321,384638.508911419
"38","CPV",792307.111509805,901225.762408909,975352.646715134
"39","CRI",27069088.8735043,31181957.8254391,34333974.3734176
"40","CUB",0,0,0
"41","CYP",12839658.5882319,16608107.7978461,20162837.0711338
"42","CZE",395729703.329922,476686490.495072,543948304.718837
"43","DEU",4854074922.99657,5236998051.58898,5775117715.31154
"44","DJI",369706.169355264,446079.377837911,498511.812317234
"45","DNK",219076654.346086,240041727.800001,266397651.996206
"46","DOM",13661706.8312108,16991356.8760118,21090072.2062167
"47","DZA",10899854.5160103,14431151.4988669,18420761.5945327
"48","ECU",23762977.8208573,28500030.088233,35900772.1131172
"49","EGY",76072646.576377,90051106.9059898,102036966.451317
"50","ERI",0,0,0
"51","ESP",1077833134.52567,1203113570.67819,1388432854.55319
"52","EST",20617442.9809433,23646911.7995616,26094716.9102258
"53","ETH",5189781.55047877,6364306.8862033,7092620.51795113
"54","FIN",327143421.729249,352476453.169967,375454718.32885
"55","FJI",1927858.50232278,2187382.44018963,2514257.30331402
"56","FRA",2000818841.28983,2385562863.86816,3074928818.52766
"57","FSM",1.45966953948943,128.34556911703,21392.9454658344
"58","GAB",1118067.41169981,1312587.56784302,1485644.76365044
"59","GBR",3567878353.16054,4734554031.58053,7373750612.19953
"60","GEO",6042590.50008824,6597268.259983,7678997.73517142
"61","GHA",5548728.39762081,6090748.55666186,6774717.00226968
"62","GIN",1284348.88164634,1484987.16817621,1744087.3032703
"63","GMB",171625.203420784,191944.265038463,213501.06101026
"64","GNB",98594.660712851,119090.142669091,139626.687603439
"65","GNQ",543257.481080799,1041199.70080877,1262519.90579862
"66","GRC",152705492.051201,166565127.979572,178305274.32908
"67","GRD",45410.0576536752,63797.8323473576,272582.825476079
"68","GTM",18502811.8122783,21190580.0844789,24499606.0163541
"69","GUY",2865371.35110747,3260581.17722917,3486380.54881138
"70","HND",7251971.57210981,9400762.89686329,10342996.5465576
"71","HRV",35112831.9233241,41067892.3338371,44941133.9348866
"72","HTI",85342.5027128299,102839.541780645,125640.06679434
"73","HUN",76456392.0448459,88364764.6876337,114588803.544616
"74","IDN",492925203.358984,574722625.757686,663510694.003812
"75","IND",1635515812.41186,1878957343.42132,1949956515.54468
"76","IRL",299678201.073504,320464015.947775,333931889.786528
"77","IRN",132964048.283851,150128818.647719,180868537.880493
"78","IRQ",7540309.32018377,9322803.67448868,11606599.8334367
"79","ISL",14567249.5823458,23572787.6824095,30110737.7569556
"80","ISR",207642991.546574,230510367.59884,254983816.304887
"81","ITA",1402158250.57099,1548966781.56785,1716319502.37283
"82","JAM",1294027.98841852,1576512.26190139,1813597.19369361
"83","JOR",10105591.7236409,11255762.1618083,12127505.3203207
"84","JPN",1246339445.60044,1554675111.3589,1888135390.89047
"85","KAZ",47041527.0219827,52374200.7268209,58589276.2170896
"86","KEN",9235438.82429798,10799636.3765855,11726810.1752799
"87","KGZ",649856.339804841,878538.929425563,1163074.03295058
"88","KHM",17899813.7544318,18966422.8744054,20099861.6633707
"89","KOR",1672007527.31188,1926688759.78618,2217109113.50297
"90","KWT",31244900.6006775,35121620.0753652,39787082.1413947
"91","LAO",9378294.9938562,9898519.71188902,10518392.7932932
"92","LBN",5938515.86864871,6868983.60511165,7739248.93734433
"93","LBR",180844.403981489,206360.779507283,235752.768749736
"94","LBY",4563139.03203322,5224532.41620753,5990046.98851874
"95","LCA",507749.409408623,567397.059633623,648708.085611594
"96","LKA",74522577.4357248,79441933.184722,88511362.9947554
"97","LSO",294157.146528271,343842.435886314,389212.006528277
"98","LTU",49408221.213166,54528142.0229912,56686124.5972059
"99","LUX",90733032.0378999,108100446.765243,142807786.434002
"100","LVA",23646160.8001211,28060137.593285,30273480.1512305
"101","MAR",85658813.9565333,97844968.5529008,112000712.386227
"102","MDA",3725228.88065243,4352369.38259804,4749444.08652906
"103","MDG",376408.085429794,477110.26366084,547056.402647171
"104","MDV",2088648.28863632,2299696.66499307,2631425.56548325
"105","MEX",333633579.521077,398351017.595526,447417557.508168
"106","MKD",4465263.50394543,5310857.84627942,6134327.34846835
"107","MLI",418663.901360179,585167.259331751,716151.690128986
"108","MLT",14393162.5877358,16473802.670219,19132773.4257839
"109","MMR",14652218.597018,16803220.8433022,19601333.4751565
"110","MNE",1800916.52685174,2135763.44044907,2624449.27507331
"111","MNG",9843745.99630288,10545512.084366,11405837.7742679
"112","MOZ",1024454.36749199,1273424.28728693,1586025.95999113
"113","MRT",1391350.10760467,1783213.4685646,2107978.9419029
"114","MUS",5306744.47742433,5945322.3878698,6535002.93358516
"115","MWI",1086123.59116467,1175020.55941594,1244908.1807051
"116","MYS",193272439.532785,214426457.491266,252853265.261945
"117","NAM",780798.218830787,1034493.28522267,1221417.37809958
"118","NER",837688.309729249,1047465.12233251,1417528.44675403
"119","NGA",27702101.9902245,30576780.8865604,32529335.2221553
"120","NIC",1313914.29427264,1590994.95267271,1807251.22683662
"121","NLD",495534616.214095,553100280.397201,630049463.954568
"122","NOR",270560771.080673,302568224.195719,325533135.259657
"123","NPL",10202181.5209022,11665075.9393035,15360022.5108833
"124","NZL",131946027.316259,195863148.45816,249650179.578621
"125","OMN",8764126.06625623,11196875.0080864,18569458.3016135
"126","PAK",72035605.2247,81625310.3702117,99967439.704874
"127","PAN",18691614.0396767,23273773.7244982,28346322.6054551
"128","PER",28251205.7347132,38730006.8330774,51041146.4956332
"129","PHL",189436610.803962,221842472.493527,262350815.69189
"130","PNG",596807.743337102,757085.21951038,933439.146260718
"131","POL",264964795.146224,294334582.927661,316660667.711466
"132","PRK",0,0,0
"133","PRT",277013358.580207,297064453.766537,392071376.526898
"134","PRY",3093504.68267778,3914985.91285054,4328282.96328131
"135","QAT",44793564.0267428,59398227.9899162,73859200.2793973
"136","ROU",95506658.2156577,113535597.51516,127353909.507392
"137","RUS",812337213.679384,879542124.754083,940201474.508901
"138","RWA",2236697.33971819,2533380.57459021,2871621.05823897
"139","SAU",249234385.163573,278039182.637349,311936660.559513
"140","SDN",1521554.37846111,2067654.3853869,2683068.12003099
"141","SEN",2402283.8706929,2761456.38591411,3097132.35916232
"142","SGP",754412089.841798,888383456.454737,924639081.994202
"143","SLB",8215.12381125339,93286.3730646976,386502.298776783
"144","SLE",157625.23733079,227505.39936972,275216.007570563
"145","SLV",17180299.1561387,20202645.2648696,21459859.0911131
"146","SOM",350458.8285225,398408.760340253,449228.414064007
"147","SRB",31044555.2847268,36322027.0602692,42796306.8307071
"148","SSD",0,0,0
"149","STP",142658.318118743,174508.637904559,233318.092397977
"150","SUR",1075470.40078988,1247642.01082839,1320607.99303336
"151","SVK",41046734.6877527,48277979.1824862,52091244.7411971
"152","SVN",25067749.0401263,28053338.061747,31561276.3654528
"153","SWE",319661904.189749,361459321.237885,416919137.142191
"154","SWZ",843124.38761169,996634.178897135,1164143.78250703
"155","SYC",514861.407512094,658069.986406713,862845.803270921
"156","SYR",231625.438114052,293170.716159863,370660.607800595
"157","TCD",92603.7811576528,128989.633521135,163997.782965497
"158","TGO",923031.747293896,994124.301528961,1069924.79639343
"159","THA",257504737.609664,314924715.398996,368012388.297113
"160","TJK",916846.653558614,1279761.78272616,1595080.99848583
"161","TKM",5116868.02691614,7553417.09577716,9268558.61812752
"162","TLS",1529534.0666417,1703176.83646604,1796559.35945378
"163","TTO",7710393.52643014,9158984.74233414,11340677.1944371
"164","TUN",19941322.1777674,23036099.6162532,25301880.1216664
"165","TUR",254530704.145237,297936342.719358,331042774.145901
"166","TZA",1130347.97904246,1509571.56177128,1806537.35347694
"167","UGA",3050508.08463512,3707245.99649478,3930681.50117243
"168","UKR",93203762.7854997,111173956.070226,127370987.805317
"169","URY",63723615.6784002,86125646.4158092,107249644.436494
"170","USA",19263876608.4144,21088999789.4303,22940245728.9701
"171","UZB",10293070.2344358,14239395.2006058,17455466.1841891
"172","VCT",100704.629892107,144236.841302221,266117.199788479
"173","VEN",0,0,0
"174","VNM",313968827.318116,378923089.349526,458030011.949148
"175","VUT",460.076967404999,2255.57630483576,86731.2418002977
"176","YEM",582039.707715935,693391.417808629,786612.976138687
"177","ZAF",68221993.9833635,80675093.8364647,93338611.6659268
"178","ZMB",1220969.26437873,1466021.54117006,1627702.96471611
"179","ZWE",4065712.43049151,4672295.7505665,5423884.64361548
