"","iso3c","friction_total_low","friction_total_med","friction_total_high"
"1","AFG",12355313.718543,13050124.8839163,13937972.0040938
"2","AGO",91470599.6033517,104449120.515078,119968566.543059
"3","ALB",46288063.5961689,55010839.8804536,59856525.3409519
"4","ARE",3285107026.21748,3603669216.04932,3955164156.5623
"5","ARG",2339481849.3073,2687284023.35672,3165467479.8862
"6","ARM",17754891.845774,20355924.7324458,23194457.4085787
"7","ATG",8077234.7107564,9156313.61999272,10970119.3132259
"8","AUS",13009586565.8199,14926354592.021,16581492412.9009
"9","AUT",2793032944.30138,2962599325.25203,3187527365.51011
"10","AZE",240259153.838461,257717523.232116,276002405.857214
"11","BDI",71.6222868649516,148.669345174876,339.259527757016
"12","BEL",6395727338.58422,7486569681.45471,8658009272.29189
"13","BEN",4456737.17977541,5550186.12400001,6772511.31348638
"14","BFA",3231974.46419504,3662587.56709684,4749739.43694871
"15","BGD",614586132.363149,753653166.723013,958979940.251233
"16","BGR",238738619.139336,278688792.598611,302307271.477506
"17","BHR",194957274.370009,215344814.077841,247500155.529821
"18","BHS",35811911.5826847,40773373.8218296,46152135.1935886
"19","BIH",51851630.6294678,59051382.1163238,65034196.204865
"20","BLR",165294475.695309,184256018.479337,213594370.957678
"21","BLZ",9988618.96980072,11548101.1724988,12583482.3008264
"22","BOL",104524958.462249,117424298.683307,124830862.079142
"23","BRA",12149124074.1986,13045848471.2572,14005365514.8442
"24","BRB",16064548.9141292,20689372.5747738,26890292.3315645
"25","BRN",78802037.7174336,99343152.4670582,135238304.072423
"26","BTN",25461660.1517568,27978226.8789139,30061315.9742624
"27","BWA",19968704.5216176,25450506.9889403,30610177.2011006
"28","CAF",1580517.33451033,1926037.43703692,2485936.60574838
"29","CAN",20663560729.2398,21930767777.4774,24847247141.2191
"30","CHE",4044601083.39111,4809569891.93489,6611756983.41127
"31","CHL",3694203816.05545,3825176721.20947,3952057592.90155
"32","CIV",75602872.0474388,83502751.2644247,95132556.5620622
"33","CMR",19996090.9936768,22609347.0324561,25490793.8117862
"34","COD",701035.201785527,808902.070704407,955293.950920229
"35","COG",12864664.4293343,13922672.3822214,15720144.4234109
"36","COL",985527383.776349,1161229553.25925,1511806800.02361
"37","COM",4559780.29666491,5275493.1793448,5991245.57223937
"38","CPV",9101510.32007719,9742911.28043472,10350714.9088628
"39","CRI",369440259.495396,403118042.210608,423348343.400411
"40","CUB",0,0,0
"41","CYP",239576725.923307,285315704.55343,324577536.343053
"42","CZE",1607971305.01974,1832376077.63746,2046753680.34873
"43","DEU",38286171149.5334,40814563924.3695,43329661355.2666
"44","DJI",1381089.53963241,1690421.72601901,2095052.30366309
"45","DNK",3401678315.44187,3591408569.44229,3806928090.28688
"46","DOM",332983181.392724,390788322.07401,451734790.479056
"47","DZA",140131807.695966,173906874.884197,237904980.784654
"48","ECU",578311087.055697,729084203.13814,933794763.252255
"49","EGY",633289532.504408,712850646.589401,815678091.323889
"50","ERI",0,0,0
"51","ESP",14936469671.9915,16191196318.4178,17342828281.2764
"52","EST",240081575.261109,266120661.41488,288889175.201717
"53","ETH",43630812.5259515,48899641.2369216,53378673.923195
"54","FIN",2281331296.25972,2438688424.49793,2585428592.55834
"55","FJI",22293597.2312036,24234971.7852496,25607495.2242576
"56","FRA",25894446900.7589,28523488748.7232,32565410603.3739
