"","iso3c","health_costs_total_low","health_costs_total_med","health_costs_total_high"
"1","AFG",20478842.7846776,22354225.6031813,23654728.5621624
"2","AGO",30877875.0466906,33001351.7628347,35847954.5699948
"3","ALB",27375299.0166161,32853304.5464016,35588592.2909299
"4","ARE",1409382930.26128,1716860974.66102,1870546932.91961
"5","ARG",694943432.037589,810127771.619534,941985686.160212
"6","ARM",12086681.102082,13670128.4244412,14872892.6882645
"7","ATG",8262960.85251163,9259377.43996537,10192610.8534091
"8","AUS",6694299008.7311,7649479973.00243,8334286665.88408
"9","AUT",3034704708.94905,3268203291.4741,3674334479.72104
"10","AZE",146099926.584931,161796235.857549,169886401.267002
"11","BDI",95.0266884992023,149.242343412982,251.102253720006
"12","BEL",3934523574.05398,4986229407.07648,5951806606.74662
"13","BEN",2373072.38861995,2800815.17662504,3326066.86274229
"14","BFA",2231073.524659,2566026.76865205,3264127.03710365
"15","BGD",184287474.347914,211344213.62802,263335021.483113
"16","BGR",155974029.81897,185088429.818549,202607547.578263
"17","BHR",75084756.8479696,87196915.2891468,106316927.82581
"18","BHS",40299797.6265897,46808386.5649981,50695209.6504966
"19","BIH",28217557.951529,34071814.55741,39110434.2803619
"20","BLR",114611422.384974,128767860.606559,155270952.373749
"21","BLZ",2671482.95130136,3287417.69831839,3528876.88756537
"22","BOL",27682292.9018326,31870427.1728995,35042230.8669568
"23","BRA",4123644924.46019,4607098921.64938,4918610427.97928
"24","BRB",25189158.8576761,32193589.3068086,39141770.7431511
"25","BRN",94739381.6878978,129570720.861327,153956832.26346
"26","BTN",5116029.21875406,5785148.90214481,6172675.61491901
"27","BWA",10193815.1226519,12972689.4695067,14704720.3125702
"28","CAF",1229118.01097369,1493269.97618303,1739036.36794441
"29","CAN",15044065473.8232,18031924883.6083,18687994531.0329
"30","CHE",2909711495.55826,3347515540.73633,4264437716.01884
"31","CHL",3149287759.48004,3375587941.4128,3514838328.97611
"32","CIV",14583999.4260845,16765511.4093664,18223759.8278626
"33","CMR",6600318.27681683,7999460.16347099,9323381.35685969
"34","COD",552888.014137024,643056.384256285,745049.62544449
"35","COG",2886108.74252522,3305057.16130869,3714684.27626316
"36","COL",417225817.281677,486331992.167728,589735441.469377
"37","COM",1113424.83184541,1281800.39441014,1443290.61910743
"38","CPV",1925756.7889763,2143245.67728853,2289630.59346077
"39","CRI",86971506.1655785,97087665.4269709,104149374.918182
"40","CYP",219362231.808905,262070388.971748,298152844.700631
"41","CZE",1901142395.80622,2161449943.83658,2398162374.56701
"42","DEU",36826082064.5348,38965816716.8533,42193232277.8666
"43","DNK",2512534452.49786,2661449614.47283,2876436138.71029
"44","DOM",84718350.7206242,99738678.7402292,114843580.557641
"45","DZA",98218821.7470385,116510521.489678,144958742.467412
"46","ECU",148447443.488448,172212453.586522,200538076.629038
"47","EGY",142501314.32949,168303293.253552,190591003.157218
"48","ESP",16555047148.9973,19481783972.8496,20313388520.4768
"49","EST",208891782.17404,234148564.892353,256161397.306943
"50","ETH",37514540.9089773,43743380.5880669,47403754.1213374
"51","FIN",1546876938.78664,1892846868.61263,2027962517.38775
"52","FJI",7872399.11778949,9258342.15306908,10487387.6324705
"53","FRA",25865271318.5037,27635077961.5359,30152308612.023
"54","FSM",3.96083635907964,532.200648840038,58957.130237954
"55","GAB",5420319.82735485,6150856.09276238,6803427.64411623
"56","GBR",16436211499.7967,19899381852.0031,23727513774.7248
"57","GEO",42279750.901772,46016656.8441216,53519586.0954293
"58","GHA",15394491.8268196,16328995.2935102,17990165.1922427
"59","GIN",7188097.38273957,8258346.14956927,9617098.55375478
"60","GMB",1385584.70244629,1539082.9741111,1698345.10708191
"61","GNB",763594.813434419,915282.117172562,1093340.48885228
"62","GNQ",6597757.33478875,8553915.67621798,9215425.26949373
"63","GRC",3211131050.17227,3504087767.75863,3778936310.54197
"64","GRD",186555.560141331,259637.730101207,397271.52309045
