"","iso3c","health_costs_total_low_low","health_costs_total_low_med","health_costs_total_low_high"
"1","AFG",20478842.7846776,22354225.6031813,23654728.5621624
"2","AGO",30877875.0466906,33001351.7628347,35847954.5699948
"3","ALB",27375299.0166161,32853304.5464016,35588592.2909299
"4","ARE",236336805.319981,287897227.373622,313668540.20671
"5","ARG",694943432.037589,810127771.619534,941985686.160212
"6","ARM",12086681.102082,13670128.4244412,14872892.6882645
"7","ATG",1521770.64369259,1705278.4127285,1877149.88079434
"8","AUS",1206315582.47801,1378439606.18595,1501842069.01752
"9","AUT",491300473.478438,529102492.176604,594852693.338409
"10","AZE",146099926.584931,161796235.857549,169886401.267002
"11","BDI",95.0266884992023,149.242343412982,251.102253720006
"12","BEL",746467930.309806,946000265.469297,1129192054.82474
"13","BEN",2373072.38861995,2800815.17662504,3326066.86274229
"14","BFA",2231073.524659,2566026.76865205,3264127.03710365
"15","BGD",184287474.347914,211344213.62802,263335021.483113
"16","BGR",155974029.81897,185088429.818549,202607547.578263
"17","BHR",14332797.2278878,16644865.8582884,20294651.4364389
"18","BHS",7453204.9562803,8656929.2971224,9375773.82714822
"19","BIH",28217557.951529,34071814.55741,39110434.2803619
"20","BLR",114611422.384974,128767860.606559,155270952.373749
"21","BLZ",2671482.95130136,3287417.69831839,3528876.88756537
"22","BOL",27682292.9018326,31870427.1728995,35042230.8669568
"23","BRA",4123644924.46019,4607098921.64938,4918610427.97928
"24","BRB",4382675.9184645,5601380.71227772,6810298.70871571
"25","BRN",17953956.5023523,24554805.4555213,29176190.7292583
"26","BTN",5116029.21875406,5785148.90214481,6172675.61491901
"27","BWA",10193815.1226519,12972689.4695067,14704720.3125702
"28","CAF",1229118.01097369,1493269.97618303,1739036.36794441
"29","CAN",2440693496.33804,2925432747.31535,3031871058.44876
"30","CHE",477627900.230719,549493247.406933,700005631.16859
"31","CHL",591703082.336256,634221431.058056,660384452.614185
"32","CIV",14583999.4260845,16765511.4093664,18223759.8278626
"33","CMR",6600318.27681683,7999460.16347099,9323381.35685969
"34","COD",552888.014137024,643056.384256285,745049.62544449
"35","COG",2886108.74252522,3305057.16130869,3714684.27626316
"36","COL",417225817.281677,486331992.167728,589735441.469377
"37","COM",1113424.83184541,1281800.39441014,1443290.61910743
"38","CPV",1925756.7889763,2143245.67728853,2289630.59346077
"39","CRI",86971506.1655785,97087665.4269709,104149374.918182
"40","CYP",39314543.4014655,46968785.813796,53435556.5978405
"41","CZE",331504070.95444,376894154.33935,418169933.894715
"42","DEU",6636185926.28152,7021773428.11809,7603364749.36497
"43","DNK",426473743.300461,451750374.432234,488241857.229436
"44","DOM",84718350.7206242,99738678.7402292,114843580.557641
"45","DZA",98218821.7470385,116510521.489678,144958742.467412
"46","ECU",148447443.488448,172212453.586522,200538076.629038
"47","EGY",142501314.32949,168303293.253552,190591003.157218
"48","ESP",2892737924.89889,3404139827.31319,3549449834.0917
"49","EST",40260730.1795594,45128592.8768989,49371233.238851
"50","ETH",37514540.9089773,43743380.5880669,47403754.1213374
"51","FIN",280069256.51219,342708719.673327,367172035.627402
"52","FJI",7872399.11778949,9258342.15306908,10487387.6324705
"53","FRA",4571550443.59666,4884354444.15807,5329261700.50056
"54","FSM",3.96083635907964,532.200648840038,58957.130237954
"55","GAB",5420319.82735485,6150856.09276238,6803427.64411623
"56","GBR",2822779920.13198,3417550054.98488,4074999244.12488
"57","GEO",42279750.901772,46016656.8441216,53519586.0954293
"58","GHA",15394491.8268196,16328995.2935102,17990165.1922427
"59","GIN",7188097.38273957,8258346.14956927,9617098.55375478
"60","GMB",1385584.70244629,1539082.9741111,1698345.10708191
"61","GNB",763594.813434419,915282.117172562,1093340.48885228
"62","GNQ",6597757.33478875,8553915.67621798,9215425.26949373
"63","GRC",552874832.490644,603314504.254859,650636410.361269
"64","GRD",186555.560141331,259637.730101207,397271.52309045
"65","GTM",67096115.3124857,82615691.8687645,93425557.7412774
