"","iso3c","hccosts_pgdp_low","hccosts_pgdp_med","hccosts_pgdp_high"
"1","AFG",0.143544973209154,0.156690333973408,0.16580611577652
"2","AGO",0.0464293131248639,0.0496222648813605,0.0539025404144374
"3","ALB",0.152673933224827,0.183225148389712,0.198480037047013
"4","ARE",0.150221821335167,0.182994966843422,0.199375883674142
"5","ARG",0.142434752817177,0.166042793674057,0.193068229988381
"6","ARM",0.0870866825711844,0.0984957015703482,0.107161831566407
"7","ATG",0.241989031023029,0.271170082318935,0.298500751490498
"8","AUS",0.206338028974101,0.235779521985433,0.256887282940416
"9","AUT",0.280087481318282,0.301638187612036,0.339121986699783
"10","AZE",0.266482132794852,0.295111756845642,0.309867989674553
"11","BDI",3.42339985251468e-06,5.3765549920561e-06,9.04612621914512e-06
"12","BEL",0.31614058156188,0.400645576239336,0.478230099931002
"13","BEN",0.0134165699757469,0.0158348868692441,0.0188044869688724
"14","BFA",0.0113583013504375,0.0130635342087589,0.0166175332743462
"15","BGD",0.0442716717350519,0.0507715550497928,0.0632613891350734
"16","BGR",0.185591693128625,0.220234580772276,0.241080376260914
"17","BHR",0.0903781088746162,0.104957286063933,0.127971685354343
"18","BHS",0.166911108740207,0.193867963613524,0.209966157373423
"19","BIH",0.119315319506156,0.14406949910602,0.165374834002353
"20","BLR",0.164497284992922,0.184815466236663,0.222854315671556
"21","BLZ",0.11018354780004,0.135587369151996,0.14554619374685
"22","BOL",0.0685101627961348,0.0788752637558127,0.0867250754823139
"23","BRA",0.249975444312035,0.279282436054933,0.298166270291296
"24","BRB",0.226298291246451,0.289225785203252,0.35164794051216
"25","BRN",0.326921062911354,0.447114990951926,0.531265143906515
"26","BTN",0.184827386574761,0.209000751717691,0.223000974642025
"27","BWA",0.054404542063596,0.0692354355488981,0.0784793097729362
"28","CAF",0.0488423916785562,0.059339198032565,0.0691054029540319
"29","CAN",0.331410480217811,0.397230980902492,0.4116837468312
"30","CHE",0.159421506024563,0.183408550902545,0.233646216840903
"31","CHL",0.477330880903717,0.51163072056285,0.532736607111862
"32","CIV",0.0203088440496609,0.0233466929528704,0.0253773663540181
"33","CMR",0.0146694857761299,0.0177791376359731,0.020721608332174
"34","COD",0.000999282803932062,0.00116225197565375,0.0013465932697868
"35","COG",0.019466919115421,0.0222927429874819,0.0250556942917092
"36","COL",0.130992181544707,0.152688750241036,0.185153288249541
"37","COM",0.085906478671864,0.0988975232943885,0.111357328524956
"38","CPV",0.0963906700277025,0.107276727804054,0.114603790199763
"39","CRI",0.13388321202215,0.149455943310307,0.160326680069202
"40","CYP",0.348080755623598,0.415849429811249,0.47310453863876
"41","CZE",0.310181971396349,0.352652597792099,0.391273549373607
"42","DEU",0.39174113141418,0.41450277280075,0.448834728646596
"43","DNK",0.278406550478467,0.294907401449158,0.318729425681622
"44","DOM",0.0898931144293905,0.105830913665898,0.121858452634345
"45","DZA",0.0600829632885378,0.0712724634736703,0.088674967252748
"46","ECU",0.139825785551352,0.162210551011173,0.188891054225494
"47","EGY",0.0335556180604066,0.0396313609688307,0.0448795783939648
"48","ESP",0.534095333679326,0.628517081105254,0.655346126311632
"49","EST",0.274940364480847,0.308182979264042,0.337155953233314
"50","ETH",0.0337172987264091,0.0393156518740153,0.0426055204124835
"51","FIN",0.247902206222752,0.303347281871671,0.325000890240055
"52","FJI",0.1828650702843,0.215058632470919,0.243607678906517
"53","FRA",0.399329837943148,0.426653603128135,0.465516729493465
"54","FSM",NA,NA,NA
"55","GAB",0.02680944731068,0.0304227531929534,0.0336504377539598
"56","GBR",0.235704060033885,0.285367774364535,0.340265232732115
"57","GEO",0.226952177451162,0.247011400186812,0.287286143876821
"58","GHA",0.0193581939567288,0.0205333090280763,0.0226221892234407
"59","GIN",0.0446692688999901,0.0513201568067394,0.0597639039180144
"60","GMB",0.0679736326272185,0.0755039085523465,0.0833169463975765
"61","GNB",0.0466027835265379,0.0558603772862943,0.0667274177696569
"62","GNQ",0.054504424281458,0.0706643523892694,0.0761291183254223
"63","GRC",0.692956807038158,0.756176385575176,0.815488249728465
"64","GRD",0.01661520842014,0.0231241298629504,0.0353822161640942
"65","GTM",0.0779706113973227,0.0960054986197047,0.108567356296226
"66","GUY",0.0795678767101016,0.090402535661047,0.095901178228534
"67","HND",0.0660691776153162,0.0815255850379729,0.0877057187863644
"68","HRV",0.360769724428982,0.419530657121085,0.45748351670068
