"","iso3c","hccosts_pp_gdppc_low","hccosts_pp_gdppc_med","hccosts_pp_gdppc_high"
"1","AFG",1.63304861443861,1.78259765612523,1.88630393374881
"2","AGO",0.476686993068418,0.509468838617664,0.553414172632827
"3","ALB",0.446415009429318,0.535746047923133,0.580350985517581
"4","ARE",0.167098800150352,0.203553911950413,0.221775176500714
"5","ARG",0.211956477406513,0.247087490586394,0.287303913673186
"6","ARM",0.478498255885629,0.541185173463452,0.588801272342894
"7","ATG",0.414364779149023,0.464332332737903,0.5111314237851
"8","AUS",0.277709325671737,0.317334484502602,0.34574331485924
"9","AUT",0.440389121569626,0.474273879893139,0.533210670911608
"10","AZE",0.592182517321892,0.655803904101426,0.688595532610118
"11","BDI",0.0342339985251468,0.0537655499205611,0.0904612621914512
"12","BEL",0.419841409776733,0.532065838299251,0.63509973430412
"13","BEN",0.196148683855948,0.231504193994797,0.274919400129714
"14","BFA",0.737552035742692,0.848281442127204,1.07906060223027
"15","BGD",0.186015427458201,0.213325861553751,0.26580415602972
"16","BGR",0.702998837608428,0.834221896864682,0.913183243412554
"17","BHR",0.135702866178102,0.157593522618518,0.192149677709224
"18","BHS",0.463641968722799,0.538522121148677,0.583239326037287
"19","BIH",0.505573387737948,0.610463979262795,0.700740822043869
"20","BLR",0.528930176826116,0.594261949314029,0.71657336228796
"21","BLZ",0.227182572783587,0.279561585880404,0.300095244838865
"22","BOL",0.188733230843347,0.217287227977445,0.238912053670286
"23","BRA",0.386958892123893,0.432325752407016,0.461557693949375
"24","BRB",0.468526482911907,0.598811149489135,0.728049566277764
"25","BRN",0.398198614995559,0.544598040136329,0.647095181372125
"26","BTN",0.25528644554525,0.288675071433276,0.3080123959144
"27","BWA",0.178962309419724,0.227748143252954,0.25815562425308
"28","CAF",0.686953469459299,0.834587876688678,0.971946595696651
"29","CAN",0.432650757464505,0.51857830405025,0.537446144688251
"30","CHE",0.241914273178397,0.27831343080811,0.354546611291203
"31","CHL",0.563554759036266,0.604050437500413,0.628968839565363
"32","CIV",0.378896344210091,0.435572629717732,0.473458327500338
"33","CMR",0.649092290979198,0.786687506016509,0.916885324432477
"34","COD",1.42754686276009,1.66035996521964,1.92370467112399
"35","COG",0.817937777958868,0.936669873423609,1.05276026435753
"36","COL",0.260940600686668,0.304160857053857,0.368831251493109
"37","COM",0.312387195170415,0.35962735743414,0.404935740090751
"38","CPV",0.214678552400228,0.238923669942213,0.255242294431544
"39","CRI",0.208216503922473,0.232435370622561,0.249341648630174
"40","CYP",0.52819538030895,0.63103100123103,0.717912805218149
"41","CZE",0.515252444179982,0.585801657461959,0.649956062082404
"42","DEU",0.569391179381075,0.602474960466207,0.652376059079354
"43","DNK",0.362508529268837,0.383994012303591,0.415012273022945
"44","DOM",0.174549736756098,0.205496919739608,0.236618354629795
"45","DZA",0.488479376329575,0.579450922550165,0.720934693111773
"46","ECU",0.212824635542393,0.246895815846534,0.287505409780052
"47","EGY",0.204607427197601,0.241654640053845,0.273655965816859
"48","ESP",0.662649297368891,0.779797867376246,0.813084523959841
"49","EST",0.457471488320877,0.512783659341168,0.56099160271766
"50","ETH",2.74124379889505,3.19639446130205,3.46386344816939
"51","FIN",0.337741425371597,0.413279675574484,0.442780504414244
"52","FJI",0.278757729091921,0.327833281205669,0.371353169064812
"53","FRA",0.564025194834955,0.602618083514315,0.657509504934272
"54","FSM",NA,NA,NA
"55","GAB",0.39195098407427,0.444777093464231,0.491965464239178
"56","GBR",0.344596578996908,0.417204348486162,0.497463790544027
"57","GEO",0.872892990196778,0.950043846872353,1.10494670721854
"58","GHA",0.464225274741698,0.492405492280008,0.542498542528554
"59","GIN",0.739557432119042,0.849671470310255,0.989468607914147
"60","GMB",0.742881230898563,0.825179328440946,0.910567720192093
"61","GNB",4.56890034573901,5.47650757708768,6.54190370290754
"62","GNQ",0.397842513003343,0.515798192622405,0.555686995076075
"63","GRC",1.07103061366021,1.16874248156905,1.26041460545358
"64","GRD",0.0539454818835713,0.0750783437108778,0.114877325208098
"65","GTM",0.3332077410142,0.410279908631217,0.463963061094981
"66","GUY",0.221637539582456,0.251817648080911,0.267134201193688
"67","HND",0.170281385606485,0.21011748721127,0.226045666975166
"68","HRV",0.762726690124697,0.886956991799334,0.967195595561692
"69","HTI",0.248346876439144,0.302475707684408,0.376344844715015
"70","HUN",0.60178556938525,0.648621487520212,0.808231171830211
"71","IDN",0.222319723684295,0.259130202895433,0.2955669182892
"72","IND",0.474541542686031,0.540537134083812,0.56054694679039
"73","IRL",0.260210397856112,0.272815453812732,0.284446220480796
"74","IRQ",0.233680708852137,0.27387968237504,0.336479574917197
"75","ISL",0.284684170356742,0.383874045075966,0.416528143329478
"76","ISR",0.214632923316595,0.233371317246953,0.24790811365958
"77","ITA",0.618395462025487,0.714335268991387,0.795804993654059
"78","JAM",0.291456176684023,0.333901373365528,0.371038135956437
"79","JOR",0.352234318322444,0.389825397013387,0.42098291644145
"80","JPN",0.192908775721684,0.231482462153321,0.269190873705191
"81","KAZ",0.353224825249801,0.388551614405631,0.431041384765671
"82","KEN",0.519739582538547,0.604606226289063,0.651791041054824
"83","KGZ",0.359575162088524,0.427320224289831,0.50642584799793
"84","KHM",0.302666434363157,0.323720525660024,0.344574215826465
"85","KOR",0.518792020765209,0.575327604012882,0.643574436135718
"86","KWT",0.223953361238608,0.248637684220727,0.288510720752827
"87","LAO",0.312338116133212,0.330031828719745,0.349339208927964
"88","LBN",0.897946015110738,1.01990904011997,1.16065255221548
"89","LBR",0.386071842163968,0.444773391689954,0.507417577606441
"90","LBY",0.841946604737024,0.898906591110001,1.00199643351774
"91","LCA",0.343435177091725,0.378236935733798,0.431949951710174
"92","LKA",0.575015094917691,0.621664069920668,0.684693746142565
"93","LSO",0.257518765663562,0.297643467352693,0.332502592665365
"94","LTU",0.549836427796093,0.605709473967592,0.626872834036652
"95","LUX",0.372715960616006,0.439004342717079,0.499944286016776
"96","LVA",0.532934250309755,0.61212850016561,0.656877097899683
