"","iso3c","averted_hosp_monqalys_low","averted_hosp_monqalys_med","averted_hosp_monqalys_high"
"1","AFG",1212649.81913035,1309198.59916491,1402135.34720581
"2","AGO",14134618.7985401,16253242.1269231,18903509.9699895
"3","ALB",9026002.22447687,10420583.1986886,11375073.5734253
"4","ARE",1102601495.80806,1206142025.93302,1327749999.11274
"5","ARG",563779967.214727,639074319.229845,759066809.740117
"6","ARM",3440214.1392711,4043237.60214488,4840200.34352544
"7","ATG",2231569.55230459,2556532.29634659,3047797.3880189
"8","AUS",3983434219.16459,4529909325.48463,4948907910.94067
"9","AUT",750731143.526207,796109864.271682,861013771.967587
"10","AZE",50476768.2204764,54273652.1235882,58868290.4302763
"11","BDI",8.50404489990708,17.7041531975774,41.1868499240396
"12","BEL",1719921584.59494,1947083999.25249,2211648092.68199
"13","BEN",673618.523754646,844977.81513583,1051952.17769394
"14","BFA",327646.569621911,370960.941639054,483623.198973418
"15","BGD",85849986.714741,106667230.080528,136677147.282677
"16","BGR",32543691.7299188,38338858.1959675,41502015.929642
"17","BHR",60586212.6943571,66685610.1972221,76419876.741277
"18","BHS",9616703.87132414,10946526.9450269,12549572.9682338
"19","BIH",9651950.03363784,10616903.7740502,11488650.6052434
"20","BLR",30868339.5596816,33958073.7118994,39132406.4666739
"21","BLZ",1409875.9273889,1615126.83168058,1759653.46924744
"22","BOL",14936921.0351751,16708566.8974442,17820756.1801624
"23","BRA",2740161801.86958,2931142625.26199,3147008732.20996
"24","BRB",4180644.88888685,5318490.84824637,7039617.71064384
"25","BRN",22843708.1550771,29839853.9433281,41722275.1702111
"26","BTN",3830019.83557361,4235000.9556618,4571163.45238344
"27","BWA",3874497.54654409,5040189.99553917,6277939.5816199
"28","CAF",159001.594365636,193534.527856245,256705.323426234
"29","CAN",5826000195.16088,6159994568.79391,6834128563.69417
"30","CHE",1110432681.47741,1335290550.19217,1812845690.17306
"31","CHL",1083487313.34002,1118395962.37817,1151062152.80311
"32","CIV",12454707.3975002,13713396.4228182,15782136.845648
"33","CMR",2984764.41309365,3316060.6902497,3687552.10513797
"34","COD",77089.9783883272,88798.1771222641,105969.687181664
"35","COG",1968188.40530747,2149442.38870603,2391908.45628977
"36","COL",228380538.386677,271002355.955176,362403720.081556
"37","COM",723471.469969346,834842.644145852,955618.733336946
"38","CPV",1129705.73712806,1216742.4116168,1308463.29425935
"39","CRI",84397814.5432317,90921534.0898042,95773147.8210401
"40","CUB",0,0,0
"41","CYP",67195879.6506779,78868349.0557193,88737001.6431487
"42","CZE",412816822.612818,465750492.264228,522337611.07354
"43","DEU",9949003483.14402,10740309758.5157,11343387815.5801
"44","DJI",137150.719383131,171111.829934517,244892.769386622
"45","DNK",936085519.976967,983893038.054076,1034448173.54657
"46","DOM",86114449.6374319,100477817.317972,115101487.469725
"47","DZA",17633888.3324106,22798995.5187465,32690186.6234077
"48","ECU",145744179.407977,185865304.195743,239703951.021209
"49","EGY",90271887.6558408,102597471.975224,119994591.200086
"50","ERI",0,0,0
"51","ESP",4023293308.33936,4347577059.8664,4594287504.88417
"52","EST",62047073.9157192,68032876.4278187,73389720.9658316
"53","ETH",4216356.05673685,4729959.04139002,5288409.19598673
"54","FIN",629025359.033073,670619321.722315,710439922.559992
"55","FJI",4773931.50912277,5380742.97058949,5793275.33070423
"56","FRA",6880185544.72622,7498246196.15227,8507951625.07392
"57","FSM",0.399931106798236,191.311675714995,48650.7720636075
"58","GAB",3719459.85671698,4094087.63719713,4628841.38596463
"59","GBR",5596615649.14733,6715827300.78443,8814950329.24807
"60","GEO",9486499.95309352,10165144.5877,11205233.8103115
"61","GHA",7944359.43785806,8785503.32174253,9900615.11454069
"62","GIN",2028838.61381803,2376463.54661444,2890864.02541276
"63","GMB",195735.086402382,223097.027700014,251039.057258848
"64","GNB",131237.853552076,156480.873696923,219107.895832717
"65","GNQ",6355741.33792283,8881718.50794417,9841457.00661443
"66","GRC",407583369.49543,440551999.09954,471305890.03752
"67","GRD",46922.4310323548,75580.9275153027,257772.429855562
"68","GTM",39889885.9376241,44596875.4457714,50344913.7889145
"69","GUY",6943471.59918145,7538117.67121467,8106724.16759003
"70","HND",7766041.34466761,9256531.02771319,10636999.6255808
"71","HRV",68784604.2694384,80778036.2347376,92191587.2042399
"72","HTI",51643.3309399735,68882.4135394172,90604.5597010365
"73","HUN",300215099.027746,335763705.175374,401315152.43839
"74","IDN",525478407.704375,667976593.62994,774374112.097389
"75","IND",1614051199.79589,1761868542.68423,1885699076.16546
"76","IRL",1553534827.73504,1619394094.05141,1680776958.28281
"77","IRN",144102072.938307,169046239.480655,207340796.612745
"78","IRQ",22849127.6118169,29025237.8736318,33964204.9238228
"79","ISL",74394016.7230587,96179266.5339109,103549841.552613
"80","ISR",972655778.032622,1099974202.18963,1261141949.46638
"81","ITA",4803543940.03347,5366716844.59923,5746284464.8191
"82","JAM",3308237.05458766,3751817.85175896,4344394.18831266
"83","JOR",34527276.743233,39790496.4208145,45042343.7942686
"84","JPN",4675374465.52503,5559502566.22531,6435964818.50993
"85","KAZ",118314179.773612,129112710.231718,140363382.444987
"86","KEN",7983870.16301932,9150435.10593541,10859476.6586791
"87","KGZ",1208981.32366027,1471252.79052082,1787625.09931822
"88","KHM",32774175.3366977,35169534.2452502,38269129.5913658
"89","KOR",5711485563.22961,6274604347.39451,6749884687.45175
"90","KWT",172169302.126737,193012836.45061,264082494.431908
"91","LAO",16096577.5857211,17021716.7314261,18272199.1107279
"92","LBN",19958305.5867833,23504116.7741281,27731693.8166474
"93","LBR",200940.796574585,234019.228465462,310635.384475382
"94","LBY",16271158.8565197,17973469.5379059,19411178.93409
"95","LCA",914104.34831379,1003787.79981309,1186190.65815907
"96","LKA",85475217.2089971,92889153.8094019,106446351.127553
"97","LSO",407252.409848635,494281.683113822,592208.874163251
"98","LTU",113656177.07049,125208708.850892,130893060.398675
"99","LUX",206479343.461165,223439146.665949,249147657.85937
"100","LVA",54158211.6107066,61596574.1335635,66284168.6541246
"101","MAR",103699022.843642,108848572.630019,115989704.809731
"102","MDA",9426671.12290683,10359121.5230904,11263242.879624
"103","MDG",334989.936101573,405426.488911591,463392.392604482
"104","MDV",12102672.9262775,13126540.3397785,14686594.7084807
"105","MEX",916397744.720066,989693884.615422,1059979664.10802
"106","MKD",7737715.66270602,8904554.22335046,10180434.4242269
"107","MLI",625235.975848485,780921.044576509,938209.785217384
"108","MLT",43417858.1745854,47082446.6354827,53900602.8723471
"109","MMR",13335348.0138839,17629780.3519459,23114892.959669
"110","MNE",3555858.24333723,4076023.1525166,4956898.30099893
"111","MNG",14446412.5954236,15931542.4777299,17784344.6729274
"112","MOZ",1103738.82694074,1478789.15019677,2043462.4110341
"113","MRT",2407986.84403771,3084339.98158267,3669560.20162726
"114","MUS",13489031.0245721,16065750.6716841,19090694.5573138
"115","MWI",685917.210331789,835544.12593863,978946.281754979
"116","MYS",674991033.33209,714982443.802215,752676639.480633
"117","NAM",1599214.03456651,1904811.91656033,2333070.68206133
"118","NER",834398.367353015,960729.906462546,1093609.02487587
"119","NGA",39046377.0712128,42474197.7774523,47136055.7288641
"120","NIC",1594445.15248601,2005220.74628165,2530061.57367498
"121","NLD",1981569699.15531,2102221983.77233,2289410052.08767
"122","NOR",1177043263.23331,1284235599.81792,1393996761.83923
"123","NPL",12319360.054401,13933419.480101,16350883.6825144
"124","NZL",850400304.01739,959669688.695145,1024731049.57543
"125","OMN",51891970.5725562,118988279.755559,285504686.208791
"126","PAK",93507172.3472684,117467098.940145,145228404.659591
"127","PAN",94091953.0875068,113682107.981184,135559240.071304
"128","PER",123954678.851352,184912432.552638,241088230.692607
"129","PHL",142697453.347645,159640140.192001,178013677.406262
"130","PNG",823012.204098129,995182.494855459,1244552.97347164
"131","POL",802411850.281148,883472730.230758,955481883.784097
"132","PRK",0,0,0
"133","PRT",770528134.156533,830496233.810683,905017196.613872
"134","PRY",5008265.58338406,5995250.96818581,6881451.68434039
"135","QAT",424021688.916434,584342809.065516,760966559.900269
"136","ROU",133021161.229814,155182682.028579,178873491.931259
"137","RUS",954595082.070702,1021117848.76634,1144876111.78203
"138","RWA",2727847.77665333,3257614.00611999,4055889.9120882
"139","SAU",1464377898.71038,1801877293.82941,2120301784.53669
"140","SDN",269575.023306464,369173.702996389,444473.112828784
"141","SEN",3929672.27007088,4508463.94466505,5626312.50045105
"142","SGP",1908910912.30518,2078529057.81886,2114629788.41077
"143","SLB",36976.2787647648,625572.216839375,2070311.50614117
"144","SLE",239457.539686016,301815.060492897,372772.1902803
"145","SLV",20054523.7903567,21985355.3449426,23759299.9587892
"146","SOM",338073.262096617,404391.425975731,508057.9128108
"147","SRB",58123888.2175794,72943338.0524666,83849912.8342659
"148","SSD",0,0,0
"149","STP",305545.422624713,362746.491873814,434589.243018676
"150","SUR",1785727.90983645,1937576.51498446,2081339.17118852
"151","SVK",106152853.708337,124023122.251444,135448863.55862
"152","SVN",82187854.2605404,94782306.6266409,107798277.484064
"153","SWE",927271912.457692,1023982963.94109,1130107963.50506
"154","SWZ",808319.399915516,933383.748292075,1100851.58042499
"155","SYC",2611889.4507083,3269718.35438144,4321049.69772099
"156","SYR",174371.548478409,211236.045473684,253773.996419335
"157","TCD",82881.266897164,111766.723733909,152254.108063497
"158","TGO",1025396.60132193,1148591.38113373,1302499.23775025
"159","THA",787577155.461057,920654321.013767,1028758097.81097
"160","TJK",3290714.28596755,4404797.18149515,5974169.83901021
"161","TKM",53005279.5779515,63458280.7742995,69065125.5296821
"162","TLS",1681932.66168403,1886438.17400325,2081533.09075777
"163","TTO",25480771.272532,27692806.2039413,31427201.491365
"164","TUN",17784063.5338385,21421397.375688,27186295.6082583
"165","TUR",874372848.166512,971447102.100317,1051874624.36593
"166","TZA",1517671.58142627,1984973.44790779,2576782.18378535
"167","UGA",3218258.21966063,3663414.92300248,4293113.94111277
"168","UKR",46318655.5452968,53687826.3317871,63323876.062479
"169","URY",157335799.570727,183444858.56028,201747577.003607
"170","USA",44955196442.0681,50678767045.6853,57852919056.9937
"171","UZB",18906747.2279095,23282882.9126935,28567919.7375564
"172","VCT",282759.495055023,333787.906893139,411582.362477308
"173","VEN",0,0,0
"174","VNM",369201249.220111,412454330.784403,456821792.032924
"175","VUT",519.225581347489,7707.37763484167,788202.400100802
"176","YEM",528119.815997568,582976.721710547,648648.243297726
"177","ZAF",156259989.273446,218013396.028638,295549907.614179
"178","ZMB",984483.883107327,1279221.96438314,1524104.2568935
"179","ZWE",6458403.42655027,7886070.16259213,9492801.49769321
