"","iso3c","hosp_pp_low","hosp_pp_med","hosp_pp_high"
"1","AFG",0.0139371535637911,0.0152134707174116,0.0160985456037253
"2","AGO",0.0165195487836487,0.0176556009617938,0.019178522920298
"3","ALB",0.0209285480600981,0.0251165096941979,0.027207650360271
"4","ARE",0.00658984836973286,0.00802752272076292,0.00874611178533567
"5","ARG",0.0115680924415925,0.0134854615779565,0.0156803805803418
"6","ARM",0.0200985059075112,0.0227315633278139,0.0247315966254271
"7","ATG",0.0162032531079354,0.0181571762180213,0.0199872002828474
"8","AUS",0.0161642853443972,0.0184706982551262,0.0201242561220597
"9","AUT",0.0236609604809831,0.0254815002907375,0.0286480205676093
"10","AZE",0.0202119658619066,0.0223834472212188,0.0235026685028119
"11","BDI",0.000221257753998897,0.000347492122756289,0.000584660178730904
"12","BEL",0.0230760159639016,0.029244280084162,0.0349073989992202
"13","BEN",0.00590450219636508,0.00696877998383037,0.00827567215837854
"14","BFA",0.0153930683110824,0.0177040446678978,0.0225205175458603
"15","BGD",0.0103172042035696,0.0118319566587939,0.0147426253477407
"16","BGR",0.043100803251189,0.0511460786577086,0.0559871925827139
"17","BHR",0.00728087443824522,0.00845537520895295,0.0103094187775962
"18","BHS",0.0197870492232055,0.02298274193837,0.0248911574700625
"19","BIH",0.0254735144720394,0.0307584682809094,0.0353071025976066
"20","BLR",0.0222431606993081,0.024990565135446,0.0301341408536319
"21","BLZ",0.0133315698204866,0.0164052847699761,0.017610244748731
"22","BOL",0.010885343183117,0.0125322182811881,0.0137794477589532
"23","BRA",0.0185744787912739,0.0207521410735139,0.0221553084105561
"24","BRB",0.0164364532124633,0.0210069906411888,0.0255408244121147
"25","BRN",0.00982341841806721,0.0134350402448743,0.01596360831894
"26","BTN",0.0154288226613485,0.0174467409516526,0.0186154365693419
"27","BWA",0.00818888020382964,0.0104212013568122,0.01181257376376
"28","CAF",0.00927059302962721,0.0112629528726761,0.0131166399702842
"29","CAN",0.024049057269931,0.0288253727004541,0.0298741488142933
"30","CHE",0.0181378311473027,0.0208669044108093,0.0265825843384857
"31","CHL",0.0238618578898094,0.0255765131370038,0.0266316002592061
"32","CIV",0.0226220596656162,0.0260059252847272,0.0282678962137378
"33","CMR",0.0249341711024365,0.030219740939418,0.0352211478682391
"34","COD",0.0221917546447786,0.0258109221710081,0.0299047149934247
"35","COG",0.0445356422502069,0.0510004495616269,0.0573214195163607
"36","COL",0.0110768403991049,0.0129115256896573,0.0156567620992682
"37","COM",0.010874803509271,0.0125193250847595,0.0140965976693311
"38","CPV",0.0127831007926594,0.0142267838145723,0.0151984813563733
"39","CRI",0.0146079383040072,0.0163070721569106,0.017493173457399
"40","CUB",0.0286056347229369,0.0323388868718664,0.0344793504487538
"41","CYP",0.0178683362818726,0.0213471653759781,0.0242862923511318
"42","CZE",0.0244294732351565,0.02777439694605,0.0308161259631473
"43","DEU",0.0318119646228067,0.0336603600872621,0.0364483414280447
"44","DJI",0.0232971693368458,0.0282391525663215,0.0312730391876053
"45","DNK",0.0253173887483154,0.0268179226186034,0.028984220240655
"46","DOM",0.00900910139146353,0.0106063900179608,0.0122126723738334
"47","DZA",0.0128886071004396,0.0152889060145243,0.0190219781117729
"48","ECU",0.0100752653684511,0.0116882185968483,0.013610704846349
"49","EGY",0.0151446617756235,0.0178868276692179,0.0202555063711124
"50","ERI",NA,NA,NA
"51","ESP",0.0281934525501992,0.0331777220015367,0.0345939549571448
"52","EST",0.0300628125687295,0.0336976607999403,0.0368656535668138
"53","ETH",0.0591728817387931,0.068997829206362,0.0747714531120778
"54","FIN",0.0210157737437612,0.0257160996617823,0.0275517724504184
"55","FJI",0.0109887154038053,0.0129232887597418,0.0146388561222953
"56","FRA",0.0316956110543683,0.0338643531606558,0.0369489975337808
"57","FSM",NA,NA,NA
"58","GAB",0.02110114830035,0.0239451048501742,0.0264855470233858
"59","GBR",0.0188990958978276,0.0228812050716888,0.0272829634889461
"60","GEO",0.0331398890059472,0.036068966058526,0.0419499430582601
"61","GHA",0.0241644027540393,0.0256312727487225,0.0282387754144438
"62","GIN",0.0186771425675764,0.0214580159665442,0.0249885207741096
"63","GMB",0.0132620200255549,0.0147312172165405,0.0162555827735811
"64","GNB",0.0845336717385649,0.101326196406766,0.121038126971325
"65","GNQ",0.0167173634819027,0.0216738673911019,0.0233499969842966
"66","GRC",0.03408585219696,0.0371955600287906,0.0401130512988401
"67","GRD",0.00327191485294091,0.0045536704714586,0.00696756824650717
"68","GTM",0.0157451512053351,0.0193870621920343,0.0219237660217482
"69","GUY",0.0217451303057483,0.02470613769275,0.0262088634670016
"70","HND",0.00953304940116781,0.0117632375288706,0.012654962270357
"71","HRV",0.031983503152608,0.0371928662137205,0.0405575205120703
"72","HTI",0.00985164682198786,0.0119988778883146,0.0149291851243264
"73","HUN",0.0260783316155061,0.0281079625451542,0.0350246360053278
"74","IDN",0.0147396603193066,0.0171801723475311,0.0195959040655952
"75","IND",0.0190842036914252,0.0217382880985402,0.0225430044556332
"76","IRL",0.0266835581982303,0.0279761573679084,0.0291688469830594
"77","IRN",0.00894403124865616,0.0102046357825903,0.0121887724756186
"78","IRQ",0.00760111706478966,0.00890870084067294,0.0109449370100748
"79","ISL",0.0249162818289855,0.03359763165602,0.0364556012928154
"80","ISR",0.0197640083609676,0.0214894928234068,0.0228280822690579
"81","ITA",0.0284503888140823,0.0328642711572476,0.0366124314940609
"82","JAM",0.0131706079851859,0.0150886632232201,0.0167668357275347
"83","JOR",0.0150012523448524,0.0166022129214474,0.0179291756478679
"84","JPN",0.0096782232908642,0.0116134631421386,0.0135052921974913
"85","KAZ",0.015855443447973,0.0174411811074442,0.0193484483856841
"86","KEN",0.0184654301813856,0.0214805922693866,0.023156985470811
"87","KGZ",0.0119952170130025,0.0142551526491129,0.0168940699698091
"88","KHM",0.0110142610557241,0.0117804354031461,0.0125393170014695
"89","KOR",0.0278103578541536,0.030841003543908,0.0344994422780831
"90","KWT",0.00815577607610927,0.0090547123980251,0.0105067806127274
"91","LAO",0.0152379664214826,0.0161011854278685,0.0170431300580723
"92","LBN",0.0214715389069107,0.024387898902525,0.0277533348474479
"93","LBR",0.00634087074703079,0.00730498907306146,0.00833386153297193
"94","LBY",0.0266224155855666,0.0284234946806516,0.0316832033270054
"95","LCA",0.0237495377365622,0.0261561801986647,0.0298705909083597
"96","LKA",0.0183653410820458,0.019855257337514,0.0218683549280595
"97","LSO",0.00668788515612422,0.00772994279463916,0.00863525090348074
"98","LTU",0.0356705376065508,0.0392952912494508,0.0406682603600102
"99","LUX",0.0209442350497024,0.0246692149338338,0.0280936470248956
"100","LVA",0.0306469323225143,0.0352010791319078,0.0377743932799222
"101","MAR",0.0102278103970687,0.0114185826539781,0.0126693964012267
"102","MDA",0.0228036424379424,0.0261206051230101,0.0287348475092891
"103","MDG",0.0203288099297965,0.0237780097339142,0.0270824568907089
"104","MDV",0.0140088170556043,0.0152131700577235,0.0167353182493553
"105","MEX",0.0109977717250704,0.0128802264662897,0.0140475270583752
"106","MKD",0.0253170606684778,0.0288761429430047,0.0335883254495356
"107","MLI",0.0238779816935996,0.0284696302468927,0.0342228792178645
"108","MLT",0.0260993686516789,0.0308319643056866,0.0337497424787345
"109","MMR",0.0121718199574905,0.0140388934071698,0.0165385695712371
"110","MNE",0.0208008407250736,0.0246529146118493,0.0301532426026066
"111","MNG",0.0120417469179609,0.0130110383741469,0.0141411099964802
"112","MOZ",0.00650677629453688,0.00813264432662328,0.0101197791558088
"113","MRT",0.0136443479687845,0.0176120858255746,0.0206565557098153
"114","MUS",0.0149417603227918,0.0168590986213114,0.0187941841676756
"115","MWI",0.0357178435307971,0.0385497768433418,0.0408578158157963
"116","MYS",0.0128689321809186,0.0146445314316376,0.0161939687016457
"117","NAM",0.0129933431478394,0.016815615219612,0.0194456717725873
"118","NER",0.0230496004579097,0.0287787937869116,0.0352306345128608
"119","NGA",0.0464339319951001,0.0509530124938061,0.0541038771449051
"120","NIC",0.00340600046445047,0.00414342572301535,0.00480323203653597
"121","NLD",0.0251395925765412,0.0268890098057434,0.0293565905643585
"122","NOR",0.0264381778509057,0.0290181925319103,0.0315657000037637
"123","NPL",0.0122575955844116,0.0137700160661284,0.0169390981852285
"124","NZL",0.0118736997996982,0.0135023268438685,0.0179025761720191
"125","OMN",0.00563226976780611,0.00788480732052495,0.0133940090490251
"126","PAK",0.01067268158971,0.0129359427944724,0.0153501463832782
"127","PAN",0.0150899170642281,0.0183730767971972,0.0205303529777561
"128","PER",0.00666070458268287,0.00881694632522865,0.011360257055949
"129","PHL",0.0101675064694677,0.0140025125079893,0.0170413202861819
"130","PNG",0.0177686169636723,0.0208990880502784,0.0249920727281528
"131","POL",0.0240859055733073,0.0265100208099727,0.0282377982435378
"132","PRK",NA,NA,NA
"133","PRT",0.0292912909836254,0.0371102745449906,0.0428049495694858
"134","PRY",0.00418894983560465,0.00523932365987765,0.00575501720820309
"135","QAT",0.00879627484719,0.0113717806595021,0.0128326356101118
"136","ROU",0.0284408949046536,0.033668236804424,0.0370895430229788
"137","RUS",0.0320787251713456,0.0345964387597138,0.0374617335210394
"138","RWA",0.0089013096954143,0.0101606531109431,0.0115510019541484
"139","SAU",0.0121782447572896,0.0139017942988868,0.0157519933928395
"140","SDN",0.0220689980763984,0.0294667353566228,0.0384617465159573
"141","SEN",0.0278140880124043,0.0306612819136118,0.0346334108845021
"142","SGP",0.0193371709330924,0.0235577810435395,0.0312268844541565
"143","SLB",NA,NA,NA
"144","SLE",0.0149085572113577,0.0183156957984102,0.0209274402676184
"145","SLV",0.0117597613669751,0.013746356299587,0.0146010331835873
"146","SOM",0.0124505173086604,0.0142788833024117,0.0160946435273542
"147","SRB",0.0265267006178916,0.0304990304700121,0.035442640211653
"148","SSD",0.0126939487848002,0.016669482430816,0.020278798830899
"149","STP",0.0174667552585575,0.0205896688240169,0.022913817361696
"150","SUR",0.0207607514854047,0.0237175428940798,0.0250732653777131
"151","SVK",0.0254235178971336,0.0294657761617138,0.0317777937835015
"152","SVN",0.0233662137997477,0.0263473924442925,0.0298358963881866
"153","SWE",0.0159253156060342,0.0174914252807427,0.0190369331496255
"154","SWZ",0.0102326412933083,0.0117575258618851,0.0133843662750743
"155","SYC",0.0118355365827288,0.0159797214622728,0.0212456663531357
"156","SYR",0.0106734115306967,0.0129276154578646,0.0160147669526688
"157","TCD",0.0250071645587498,0.0354300151978192,0.0436051197728912
"158","TGO",0.0165414506936824,0.0178890306730728,0.0192783111963723
"159","THA",0.0238097479123169,0.0281195402882755,0.0321809506991933
"160","TJK",0.00954517926129607,0.0122083888938826,0.0147127341687902
"161","TKM",NA,NA,NA
"162","TLS",0.0144644978254517,0.015955362722466,0.0165646932494867
