"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"1","AFG",557440.803713857,608489.33788201,643889.454104841
"2","AGO",3348783.70277379,3579080.12730075,3887801.40667874
"3","ALB",4315658.62238265,5179254.73447367,5610467.12533033
"4","ARE",85341573.6941194,103960119.173877,113266178.762697
"5","ARG",122943223.809245,143320614.813607,166647746.708161
"6","ARM",1770890.29251806,2002890.41465221,2179114.43686336
"7","ATG",522997.1401803,586064.487946824,645132.709987769
"8","AUS",610721880.2012,697863179.636935,760338194.646807
"9","AUT",238303666.736049,256639410.648563,288531327.858732
"10","AZE",16385324.0644584,18145688.4948832,19053012.5782522
"11","BDI",1.91162265698298,3.00226230709792,5.05134678490539
"12","BEL",343058324.772338,434758484.763564,518948931.287155
"13","BEN",218915.990627801,258375.274136842,306829.756076245
"14","BFA",144692.538414874,166415.370310814,211689.494535745
"15","BGD",32656080.992053,37450585.1895761,46663452.4132752
"16","BGR",31740645.3161314,37665412.6960036,41230545.325506
"17","BHR",7278573.55180158,8452703.15927552,10306160.8170162
"18","BHS",2600877.41662814,3020930.19557443,3271778.85936107
"19","BIH",4685154.03822037,5657176.2814257,6493772.75737148
"20","BLR",16084739.5675403,18071475.4203887,21790959.2199873
"21","BLZ",511947.435498722,629981.583542346,676253.41644039
"22","BOL",5069001.79613893,5835905.75954234,6416705.86447555
"23","BRA",644955655.099749,720569922.375335,769291650.680401
"24","BRB",1312237.78929656,1677135.97346321,2039103.84619664
"25","BRN",3645554.86380103,4985858.7128879,5924232.02129839
"26","BTN",1008173.93221593,1140031.86216173,1216398.57414689
"27","BWA",1392270.22351757,1771808.59668519,2008369.19151615
"28","CAF",48230.8037902177,58596.1726897588,68240.0885004812
"29","CAN",1199581023.7322,1437826427.2632,1490139992.41397
"30","CHE",317594102.481619,365380277.503921,465462047.036358
"31","CHL",206149713.126778,220963131.635628,230078344.230145
"32","CIV",2746228.85103675,3157016.79557384,3431611.1480455
"33","CMR",813006.938010245,985348.939320396,1148425.48661122
"34","COD",26372.9304137081,30673.9897419419,35539.0991017886
"35","COG",488179.18158481,559043.419371296,628330.978355803
"36","COL",57472624.2979341,66991961.4563342,81235729.091672
"37","COM",134779.396725301,155161.155867627,174709.449061034
"38","CPV",356273.487042021,396509.889206326,423591.743381049
"39","CRI",19813885.8853849,22118553.6327964,23727355.3218026
"40","CUB",0,0,0
"41","CYP",15295154.9759528,18273005.2519843,20788874.769427
"42","CZE",138787159.565602,157790126.036875,175070602.221833
"43","DEU",3098274112.23492,3278295556.51218,3549826425.98096
"44","DJI",152391.692745759,184718.246198321,204563.537749898
"45","DNK",256301802.716218,271492529.525165,293423147.697177
"46","DOM",14016994.8819429,16502169.0996305,19001336.3953339
"47","DZA",8451245.26902284,10025155.8307939,12472984.9604224
"48","ECU",22887951.1347898,26552092.3086647,30919398.7494121
"49","EGY",32456347.363317,38333050.9892502,43409338.5868063
"50","ERI",0,0,0
"51","ESP",1064243487.60524,1252389167.69217,1305848980.64889
"52","EST",22003869.1865302,24664323.0216329,26983071.4177384
"53","ETH",2542852.70266054,2965062.90245594,3213174.44817385
"54","FIN",150241667.196974,183844274.976393,196967491.069005
"55","FJI",988513.743730634,1162542.48870442,1316870.07421934
"56","FRA",2101631610.53503,2245433758.97298,2449966371.09705
"57","FSM",0.811454684069538,109.031696898087,12078.5195735787
"58","GAB",911439.2654953,1034280.62142423,1144012.03108153
"59","GBR",1351329066.18335,1636059081.86482,1950794989.00633
"60","GEO",5672642.42503555,6174020.28878382,7180682.67149015
"61","GHA",2491581.52622274,2642829.88180282,2911688.39809293
"62","GIN",578817.422686757,664998.591341701,774411.35007096
"63","GMB",74394.4537236377,82636.043030928,91187.1040814043
"64","GNB",44327.9344202778,53133.6318061082,63470.2130451814
"65","GNQ",781845.772820269,1013653.95438967,1092043.9970873
"66","GRC",153387174.150336,167380935.960997,180509718.510875
"67","GRD",33567.5081387534,46717.4047865263,71482.2708823633
"68","GTM",10907046.0396824,13429885.6292377,15187121.5616784
"69","GUY",2016258.41439423,2290809.81855608,2430146.00299186
"70","HND",3336119.92458293,4116581.11127163,4428642.92403766
"71","HRV",36337917.135689,42256512.1795527,46079249.4357031
"72","HTI",40384.6103494282,49186.7011582717,61198.8365980367
"73","HUN",94681550.736362,102050450.199521,127162538.610762
"74","IDN",208970637.086162,243570847.830945,277819737.236616
"75","IND",683604622.095717,778675100.145121,807500396.189933
"76","IRL",339107155.911202,355534111.600785,370691369.87474
"77","IRN",57558613.1589033,65671134.9846717,78439891.398124
"78","IRQ",5846443.99679267,6852179.76584543,8418362.81857035
"79","ISL",14683508.6445977,19799547.8717567,21483788.8093056
"80","ISR",182822039.867013,198783204.395003,211165492.872562
"81","ITA",1509917335.78821,1744170635.86178,1943092777.37806
"82","JAM",1182248.46522789,1354421.06834073,1505060.80113402
"83","JOR",7726640.86460214,8551241.84653153,9234715.74538124
"84","JPN",1251735185.76808,1502029867.13045,1746710003.44005
"85","KAZ",43935359.4185175,48329431.0344238,53614459.7156849
"86","KEN",3828100.13464418,4453178.58024064,4800714.54214628
"87","KGZ",491527.905366589,584133.268677361,692268.161249242
"88","KHM",7846482.22135769,8392299.44550845,8932921.3664194
"89","KOR",1335071699.74881,1480561711.54859,1656189729.16982
"90","KWT",27150254.4254212,30142777.7149903,34976655.0927324
"91","LAO",4128349.92345837,4362217.75203665,4617414.34024554
"92","LBN",5078331.83143105,5768093.46714097,6564068.10872774
"93","LBR",79021.3141388745,91036.366983784,103858.399967423
"94","LBY",3693348.7650916,3943213.892104,4395435.8501331
"95","LCA",401969.531935813,442702.827663877,505570.574857747
"96","LKA",33099259.4933759,35784487.3115162,39412627.9072872
"97","LSO",138594.303450881,160189.060118226,178949.930531564
"98","LTU",50902923.6208848,56075555.4400133,58034823.4089885
"99","LUX",38991648.1545091,45926401.5451201,52301628.4706596
"100","LVA",25996894.5010185,29860043.7682936,32042910.742381
