"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"1","AFG",9881113.87446917,10667828.6167735,11425111.2024202
"2","AGO",78976484.0885616,90814187.2462142,105622427.85897
"3","ALB",30433309.4765272,35135470.33609,38353761.252079
"4","ARE",3170964677.72176,3468736234.34227,3818467836.32927
"5","ARG",1900918013.55683,2154790797.95485,2559373968.63649
"6","ARM",11599498.7550571,13632735.5315203,16319884.6310323
"7","ATG",6417756.78079534,7352315.08390877,8765141.25820034
"8","AUS",11455933311.3747,13027537618.0831,14232533003.5853
"9","AUT",2159022954.02081,2289527330.39901,2476184068.60613
"10","AZE",170194408.379699,182996503.925,198488417.846864
"11","BDI",69.2940655446944,144.259910022305,335.605504416737
"12","BEL",4946311622.047,5599606575.59429,6360464780.89139
"13","BEN",3763810.21528249,4721271.78832407,5877730.81168302
"14","BFA",2669783.98375143,3022725.31565997,3940738.55947832
"15","BGD",479682558.575988,595997877.218722,763676806.675199
"16","BGR",109728783.27456,129268562.918197,139933900.222339
"17","BHR",174239506.422898,191780725.177362,219775440.849415
"18","BHS",27656617.9240768,31481047.7025258,36091237.6357674
"19","BIH",32543841.129255,35797411.7668586,38736713.1806051
"20","BLR",104079935.666176,114497707.933022,131944199.319158
"21","BLZ",7877612.07665368,9024441.36211193,9831976.80787519
"22","BOL",83459308.1907842,93358291.9020753,99572594.561524
"23","BRA",9239106091.27826,9883043280.50492,10610887111.5673
"24","BRB",12023090.2308389,15295414.238683,20245192.1115497
"25","BRN",65696076.0014641,85816247.4859746,119988827.642547
"26","BTN",21400046.5746057,23662858.5713548,25541149.910648
"27","BWA",13063788.3713634,16994197.224855,21167563.8240219
"28","CAF",1295603.09609885,1576990.0578228,2091728.78512951
"29","CAN",16754957164.0262,17715489473.6364,19654227171.7144
"30","CHE",3193486335.12618,3840153659.5522,5213551470.36696
"31","CHL",3115994321.08783,3216387884.37231,3310332375.09449
"32","CIV",69590062.14642,76622924.8785049,88181909.7662936
"33","CMR",16677223.668964,18528325.2468938,20604015.1706993
"34","COD",628157.315507376,723559.997410972,863479.736495423
"35","COG",10997155.4585619,12009903.1343141,13364670.3057161
"36","COL",770039207.866523,913748785.180457,1221930185.07992
"37","COM",4042361.08882284,4664642.02123707,5339472.45156069
"38","CPV",6312174.9829055,6798488.10077973,7310974.00024779
"39","CRI",284567269.679084,306563539.008656,322921906.58615
"40","CUB",0,0,0
"41","CYP",193248205.875675,226816986.913877,255198182.559283
"42","CZE",1187217292.78558,1339448899.00502,1502187436.58235
"43","DEU",28612276278.8927,30887988998.3139,32622377373.5616
"44","DJI",766322.867385383,956078.89443639,1368326.2478125
"45","DNK",2692082434.55032,2829571773.83419,2974962968.68891
"46","DOM",290355312.467107,338784816.789809,388091992.695889
"47","DZA",98528479.6961019,127388260.871064,182654802.404882
"48","ECU",491411103.832576,626689001.715349,808218781.99765
"49","EGY",504389711.580499,573258304.908433,670463848.915816
"50","ERI",0,0,0
"51","ESP",11570563814.1809,12503169407.0091,13212682417.6033
"52","EST",178440787.982558,195655319.620551,211061034.99339
"53","ETH",34356409.966566,38541434.7755127,43091890.7140146
"54","FIN",1809010057.09533,1928629871.68428,2043149686.12494
"55","FJI",16096443.5221262,18142452.4352019,19533403.2318246
"56","FRA",19786682152.5668,21564158876.3086,24467964342.0068
"57","FSM",2.23459529703299,1068.94453457931,271833.784875372
"58","GAB",12541041.9906636,13804188.4976453,15607237.7242277
"59","GBR",16095271596.9473,19314005316.9075,25350859976.3258
"60","GEO",31985986.9011154,34274198.412249,37781106.1669465
"61","GHA",44388715.7963266,49088565.6832336,55319197.7233412
"62","GIN",16531718.4398979,19364293.4276461,23555816.510322
"63","GMB",1594921.0130242,1817876.10980749,2045557.97772928
"64","GNB",1069373.99002702,1275063.34292333,1785371.2055728
"65","GNQ",21429890.9172907,29946822.6700255,33182808.8818794
"66","GRC",1172166438.01998,1266980711.66733,1355425632.37313
"67","GRD",158210.116670055,254839.041736387,869140.948252468
