"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"1","AFG",10496096.5866439,11269771.2907957,12060728.1976431
"2","AGO",82172376.3806769,94371091.5854907,109426453.734803
"3","ALB",34634736.2207043,40374690.5601991,43985619.036296
"4","ARE",3256452810.19516,3572524338.53153,3923068909.2122
"5","ARG",2021973754.01256,2295442959.86198,2722582804.61952
"6","ARM",13416897.1242839,15642058.8994258,18354523.679429
"7","ATG",6958884.93967245,7946497.51849682,9346321.26302382
"8","AUS",12071196520.8575,13750530109.6635,14945142837.8112
"9","AUT",2400587815.29272,2548861454.88714,2761899142.13004
"10","AZE",186928639.117979,201190842.292166,217182139.088684
"11","BDI",71.2070777268325,147.119867317026,340.656851201642
"12","BEL",5463516870.7342,6048396609.25025,6776555329.77446
"13","BEN",3975737.94091726,4980382.66375269,6171616.50372448
"14","BFA",2814869.63742778,3189662.70382852,4153812.15021204
"15","BGD",512466494.232648,635463621.503249,812958480.33236
"16","BGR",142124724.266939,166869345.285785,180476305.934857
"17","BHR",181456365.572957,200089156.765181,229819958.915828
"18","BHS",30309686.2884248,34518261.0613175,39362048.904532
"19","BIH",37405773.2447647,41473496.4621008,45045834.6229631
"20","BLR",120608794.511113,132406426.813714,153107766.239763
"21","BLZ",8400729.97287774,9653777.2671562,10507943.897493
"22","BOL",88554928.7602966,99206559.9121294,105853765.991511
"23","BRA",9931819615.62416,10603119493.6772,11382458103.4374
"24","BRB",13353613.1820217,16950268.2049878,22190563.4705542
"25","BRN",69312648.5468561,90969118.1353382,125747588.066827
"26","BTN",22403628.1703509,24804348.0701596,26751728.9725088
"27","BWA",14589615.772039,18766851.2991461,23007813.342511
"28","CAF",1343308.24807305,1637167.38986076,2155988.7988505
"29","CAN",18159543935.4714,19167759373.7473,20979596475.9514
"30","CHE",3514458321.79807,4193798898.44295,5671491717.01671
"31","CHL",3328214074.91356,3435845736.17469,3533450736.63661
"32","CIV",72363323.0061676,79806163.9703834,91591241.0381972
"33","CMR",17487494.03538,19543635.7522946,21786625.6322098
"34","COD",654424.695603179,754207.376245702,898990.694055168
"35","COG",11519288.663021,12543427.0591032,14008770.94741
"36","COL",828582981.999304,980149208.03633,1300733067.8369
"37","COM",4175396.17900532,4818773.03314046,5510374.70909408
"38","CPV",6710093.76919665,7201503.00065795,7701228.96342722
"39","CRI",304695222.540586,328596205.580974,345862227.887208
"40","CUB",0,0,0
"41","CYP",208292094.038516,245248223.245185,276341143.679646
"42","CZE",1325603888.46841,1497920284.47333,1673781009.737
"43","DEU",31795552783.2469,34169554685.5096,36136675866.3092
"44","DJI",926603.497778777,1144029.35324683,1555666.62913591
"45","DNK",2950749383.35649,3104021163.83109,3267662077.67553
"46","DOM",304258257.769279,355114661.979214,407287971.077667
"47","DZA",107903066.549367,137362038.462601,193171869.24771
"48","ECU",514038477.982389,654053962.468162,839415767.727249
"49","EGY",540948558.040692,612985236.55495,710775540.659099
"50","ERI",0,0,0
"51","ESP",12655843829.6171,13745253946.8124,14464687915.1361
"52","EST",200446598.548554,220496251.132152,238320106.507567
"53","ETH",37043718.6748022,41576247.418384,46132271.7936446
"54","FIN",1964890254.24358,2110171903.43479,2240087924.63359
"55","FJI",17133743.8173413,19323653.2098027,20762274.1564496
"56","FRA",21959893448.3816,23856521413.8024,26778957960.0479
"57","FSM",3.04604998110253,1175.13420079866,283912.304448951
"58","GAB",13503313.3607373,14851135.6649279,16638805.3293693
"59","GBR",17669938786.4841,20897997079.7393,27196733008.0144
"60","GEO",37761993.5784479,40390508.4139285,44792282.9586338
"61","GHA",46897721.1970859,51755838.4911603,58147921.2819547
"62","GIN",17108663.6729694,20008676.7845775,24343111.1909193
"63","GMB",1675437.09915161,1900369.48816394,2134694.20870656
"64","GNB",1115540.8911838,1331221.59631026,1848334.43334331
"65","GNQ",22211736.690111,30956013.4568729,34260054.7855954
"66","GRC",1333861419.34294,1433697641.70555,1533151891.95827
"67","GRD",193936.946556839,301867.941475939,929345.13383436
"68","GTM",145940920.385936,163878151.895443,184159797.596515
"69","GUY",25572906.1053006,27654906.2926775,29670040.8758712
"70","HND",46609322.1457212,55885454.4511999,63523375.8234682
"71","HRV",233967901.414574,275895004.857586,311819469.67349
"72","HTI",329235.950822918,433446.092949983,566183.832577441
"73","HUN",960639885.378061,1064837424.70837,1281240276.4375
"74","IDN",3149112673.22312,3986559733.23968,4602556403.5862
"75","IND",9782748846.90663,10621386848.9204,11319407691.2675
"76","IRL",4807215010.44694,5012264644.48152,5204427208.34962
"77","IRN",863734385.748429,1009234173.0585,1234225396.10987
"78","IRQ",82737787.0396528,104644634.444043,122521306.520722
"79","ISL",228632791.463027,296240811.514469,317260253.760906
"80","ISR",2982779216.56581,3359224603.58277,3840167896.57956
"81","ITA",15313336595.0252,17164887411.1128,18442952318.945
"82","JAM",12447314.7554564,14004901.6278365,16116637.4651329
"83","JOR",124145496.408635,142727900.063081,161031764.811536
"84","JPN",14700671576.442,17462365877.7545,20250494744.7204
"85","KAZ",444908292.843734,483844544.656598,525045521.035635
"86","KEN",48698377.1598527,55570502.2614963,65298148.8706661
"87","KGZ",7245151.07921501,8810569.25435402,10656368.798151
"88","KHM",191016110.26169,204848019.751566,222757799.331695
"89","KOR",17785454064.1834,19532827363.3396,21036398873.8896
"90","KWT",523000728.409461,585499431.719723,794314091.00463
"91","LAO",94050794.4223714,99462887.5700307,106696582.832914
"92","LBN",72477438.7166009,84913085.8661057,100042877.764112
"93","LBR",1718479.68307343,1997218.31724583,2637922.2657643
"94","LBY",58742952.222149,64565069.0356747,69569544.5742645
"95","LCA",3504998.50168428,3833194.28580028,4494359.09489288
"96","LKA",510845398.215524,554616951.902643,633480014.243862
"97","LSO",2419467.96749375,2922777.25658672,3486974.95856486
"98","LTU",377690407.364333,416303194.78503,434059126.664859
"99","LUX",635592197.507013,687629937.546196,766855510.724811
"100","LVA",181898896.845699,207361524.267831,222077773.939571
"101","MAR",611403658.916134,638986920.046377,681949966.13805
"102","MDA",35595855.314402,39288670.2290762,42578826.2022893
"103","MDG",2925135.93107569,3519000.76998987,4015234.22468087
"104","MDV",42672866.2082242,46151087.0225081,51345548.0411079
"105","MEX",3324581391.34509,3621260140.20262,3861871440.1099
"106","MKD",30629854.0514807,35216773.208471,40325682.2729629
