"","iso3c","averted_inf_monqalys_low","averted_inf_monqalys_med","averted_inf_monqalys_high"
"1","AFG",1215098.40543852,1311842.13707174,1404966.54328501
"2","AGO",14122889.8991204,16239755.1949536,18887823.847125
"3","ALB",9077068.47880454,10479539.5493112,11439430.1274844
"4","ARE",1078418690.94228,1179688318.61951,1298629125.19668
"5","ARG",568393456.43711,644303952.518581,765278358.126814
"6","ARM",3241247.75202325,3809395.07202439,4560265.10202006
"7","ATG",2252592.68706113,2580616.83492618,3076510.02891901
"8","AUS",3977562713.2394,4523232325.69455,4941613315.24169
"9","AUT",752566363.836139,798056016.372134,863118586.687307
"10","AZE",50476768.2204764,54273652.1235882,58868290.4302763
"11","BDI",8.23232696933204,17.1384769898375,39.8708637362919
"12","BEL",1713466244.23359,1939776055.65792,2203347167.03185
"13","BEN",652791.667885042,818852.893465391,1019428.04776884
"14","BFA",330136.489421886,373780.025002785,487298.448740998
"15","BGD",86720568.0744822,107748913.4419,138063153.050182
"16","BGR",32689469.0346774,38510594.5638545,41687921.4524229
"17","BHR",61258200.5823796,67425249.1408872,77267482.645171
"18","BHS",9760269.75565472,11109945.4969797,12736923.0795882
"19","BIH",9738915.29751265,10712563.3905035,11592164.7684921
"20","BLR",30868339.5596816,33958073.7118994,39132406.4666739
"21","BLZ",1424215.1369639,1631553.55525232,1777550.10779892
"22","BOL",15114742.2408137,16907479.2103097,18032908.8950282
"23","BRA",2838333261.85569,3036156333.12156,3259756250.11905
"24","BRB",4464644.5994414,5679786.74915011,7517833.2600085
"25","BRN",22522687.2973652,29420516.7918528,41135955.2754766
"26","BTN",3841224.03750571,4247389.87476063,4584535.76912954
"27","BWA",4179268.97100317,5436655.82524528,6771767.89509115
"28","CAF",169733.805395499,206597.625762935,274032.292470105
"29","CAN",5823963829.74042,6157841462.11525,6831739826.54693
"30","CHE",1110432681.47741,1335290550.19217,1812845690.17306
"31","CHL",1081883683.36774,1116740665.39032,1149358507.78071
"32","CIV",11704589.8886882,12887471.0571128,14831616.1472041
"33","CMR",3017367.15064146,3352282.19433308,3727831.42934536
"34","COD",74559.3052294382,85883.152781881,102490.96467307
"35","COG",1949354.1342435,2128873.63600121,2369019.46247979
"36","COL",229854925.759489,272751902.805556,364743339.177486
"37","COM",726523.021718662,838363.951670604,959649.465906837
"38","CPV",1320289.82072738,1422009.79220383,1529204.20905166
"39","CRI",85965165.7477189,92610037.2428862,97551750.2576938
"40","CUB",0,0,0
"41","CYP",69224219.9596041,81249028.5307081,91415571.1962484
"42","CZE",426267475.853494,480925863.09449,539356738.435272
"43","DEU",10111297555.1724,10915512089.936,11528427915.5566
"44","DJI",135231.400977105,168717.252012074,241465.684192316
"45","DNK",942292907.658321,990417447.836996,1041307825.48268
"46","DOM",86071072.9743364,100427205.69067,115043509.761398
"47","DZA",19827188.6372626,25634731.0569872,36756186.9822172
"48","ECU",148448138.815862,189313621.925625,244151125.214401
"49","EGY",88893015.7444453,101030331.019602,118161715.25585
"50","ERI",0,0,0
"51","ESP",4066689801.89484,4394471378.87351,4643842919.52035
"52","EST",62069424.3349318,68057383.0356641,73416157.2008701
"53","ETH",4152300.0510008,4658100.24213077,5208066.27303756
"54","FIN",624257429.904642,665536115.851181,705054881.794733
"55","FJI",4815066.92213969,5427107.08034058,5843194.09744688
"56","FRA",6888660119.66824,7507482058.89317,8518431178.74018
"57","FSM",0.389356835352203,186.253350529936,47364.4343391474
"58","GAB",3523753.78484537,3878669.85067982,4385286.56890486
"59","GBR",5599852458.35725,6719711407.3628,8820048466.08637
"60","GEO",9600438.56926478,10287234.1374002,11339815.4621889
"61","GHA",8021159.53009463,8870434.96043944,9996326.81539501
"62","GIN",2124020.4070209,2487953.96300707,3026487.24352898
"63","GMB",198203.976308221,225911.045410558,254205.519674092
"64","GNB",148616.299166815,177201.986391818,248122.044940068
"65","GNQ",5960589.47395812,8329520.5129309,9229589.73991362
"66","GRC",414486923.899464,448013968.652799,479288762.00024
"67","GRD",50108.0156583977,80712.1501612222,275272.714293071
"68","GTM",38973588.8739493,43572455.7198306,49188457.8204045
"69","GUY",6850536.67954242,7437223.70916744,7998219.68992506
"70","HND",7663562.10084751,9134383.55797706,10496635.7477999
"71","HRV",68710826.0888381,80691393.931432,92092702.7570176
"72","HTI",51974.6911704075,69324.385271446,91185.9077131507
"73","HUN",300248003.660054,335800506.06013,401359137.992659
"74","IDN",519774954.454586,660726489.310022,765969187.210963
"75","IND",1615123352.08867,1763038884.36723,1886951673.72139
