"","iso3c","averted_infections_qalys_low","averted_infections_qalys_med","averted_infections_qalys_high"
"1","AFG",-87632826163.5566,-32943030354.3911,-8581588559.64791
"2","AGO",-966042877807.104,-408722595849.396,-53663087473.6364
"3","ALB",-54693106482.9339,-21146106685.8053,-929082730.348215
"4","ARE",-31348955966295,-4639190572638.17,-162066321455.733
"5","ARG",-36234482467677.1,-26385454137397.9,-8064701182103.98
"6","ARM",-14550116485.6706,-9584927481.92165,-3539594765.03373
"7","ATG",-356908281.573857,-206013588.335641,-46575871.5255441
"8","AUS",-147157592630221,-101106992001773,-23924866777732.5
"9","AUT",-9898035065977.95,-6658178549959.4,-434605035511.638
"10","AZE",-952383186022.104,-469353637265.52,-55537229881.5522
"11","BDI",-597780.638203835,-145533.201271546,-6026.21602426436
"12","BEL",-24684645226463.6,-19402302079469,-7575868568258.44
"13","BEN",-21338179222.8056,-6931294186.68899,-2533854939.0889
"14","BFA",-15200868721.2619,-5015572808.30513,-1933982721.32987
"15","BGD",-23706542176974.7,-16261468751103.8,-4829823859427.35
"16","BGR",-748953781830.504,-110243819080.296,-15304522092.7753
"17","BHR",-242786664543.433,-52750184696.1698,-6818219575.53289
"18","BHS",-7298467555.89537,-3744600633.59253,-847547813.62301
"19","BIH",-54285572760.0889,-29389443882.314,-5731427865.08234
"20","BLR",-525476089379.487,-267725397529.285,-53007956400.0946
"21","BLZ",-1839242127.90837,-761237985.533912,-157637047.844898
"22","BOL",-243897843340.711,-166454082052.828,-54350781906.8589
"23","BRA",-750551538505668,-527601007297319,-172699666443200
"24","BRB",-2085176691.44441,-1215221836.76283,-500664497.860917
"25","BRN",-22840079148.3727,-10414284385.2056,-1871949784.86083
"26","BTN",-4656493536.41527,-2949792987.17445,-531189972.971326
"27","BWA",-18789845924.2197,-10500557994.3282,-3262770053.32735
"28","CAF",-2291467665.93503,-641173383.995894,-104244269.999824
"29","CAN",-267473345847390,-204060965814812,-69470011705872.9
"30","CHE",-18389287095799.6,-10138986093822.5,-918621353708.133
"31","CHL",-25670006089081.7,-17997738980565.7,-6020334451613.36
"32","CIV",-678053209094.576,-255159272805.525,-35882438531.3862
"33","CMR",-162539307655.791,-56659804730.2063,-14986119562.4263
"34","COD",-16883203609.9644,-5550658537.01941,-690115002.103872
"35","COG",-21200795863.6493,-9425824651.40448,-1416231295.40769
"36","COL",-19210523219066.4,-11951070712940.7,-3860183695414.07
"37","COM",-1180052094.641,-550734151.415484,-46555973.5921198
"38","CPV",-1081723523.33504,-586366377.631641,-105534847.612809
"39","CRI",-610126515391.06,-387598025608.636,-128309747474.616
"40","CUB",NA,NA,NA
"41","CYP",-109414540078.459,-55031700394.6949,-16315688956.815
"42","CZE",-7496634298373.68,-4115495214007.29,-372644674040.567
"43","DEU",-1119678355344964,-774133842839464,-299858370399871
"44","DJI",-312960437.535754,-146735342.312009,-51139925.5044517
"45","DNK",-7016261482956.57,-5741239146883.58,-818363152566.248
"46","DOM",-1873948469602.5,-901267286154.731,-146533988672.821
"47","DZA",-1608562652094.56,-856506916401.379,-252635608956.021
"48","ECU",-5328137711018.19,-2726511442611.49,-496463621495.148
"49","EGY",-14889426248623.2,-9600629396399.24,-2554567281590.8
"50","ERI",NA,NA,NA
"51","ESP",-271220606447765,-155765367189236,-77304744145129.2
"52","EST",-122477409177.017,-81136977188.9818,-12548490776.3685
"53","ETH",-957972644264.645,-360167950912.342,-166923943343.915
"54","FIN",-4557977757095.21,-3513029773045.38,-366870285109.253
"55","FJI",-7247452512.9422,-4048558748.83105,-316239130.63904
"56","FRA",-588770901666900,-447744742769060,-168966612235532
"57","FSM",-6017618.9345239,-16419.046286366,-20.1566995970141
"58","GAB",-13603876244.0441,-7575904809.88461,-2530043133.96433
"59","GBR",-618512716464396,-418735880852466,-82140956935621.2
"60","GEO",-60401667937.9182,-28987456347.8016,-4976875196.28771
