"","income_group","age_group","lg_total_low","lg_total_med","lg_total_high"
"1","HIC","0-5",388047.069133337,413182.023715673,461586.511929327
"2","HIC","10-15",756100.933051593,800461.246270869,879319.15458369
"3","HIC","15-20",891633.935939661,947782.319991418,1030387.47305579
"4","HIC","20-25",1275841.51485613,1351611.01562149,1473302.11938263
"5","HIC","25-30",1917927.03072794,2023855.43588007,2199771.36205402
"6","HIC","30-35",2965190.46799223,3105570.06695161,3360066.00530989
"7","HIC","35-40",4515388.29629671,4698041.99193032,5018780.62158281
"8","HIC","40-45",6666117.00510084,6894432.73420113,7293198.67090492
"9","HIC","45-50",9818092.15651725,10127729.6869353,10680835.3824211
"10","HIC","5-10",564771.490655358,600788.720751474,664510.284644743
"11","HIC","50-55",13350391.2978441,13802266.0883677,14546127.8521471
"12","HIC","55-60",17022667.9304866,17622144.6877564,18557448.3194814
"13","HIC","60-65",18586555.8513114,19242275.6820563,20256797.7131135
"14","HIC","65-70",15961922.1637887,16579742.0748882,17509868.7920944
"15","HIC","70-75",14754201.4738939,15365033.5648997,16260948.9594025
"16","HIC","75-80",9885360.01165322,10298195.7985316,10847017.0959534
"17","HIC","80+",22702725.0346729,23589327.3492771,24525238.9245641
"18","UMIC","0-5",319519.701117138,332893.806172314,344644.43182732
"19","UMIC","10-15",581121.780836753,604629.75189746,627452.369374285
"20","UMIC","15-20",630828.589222598,658430.958643209,686310.351704916
"21","UMIC","20-25",792795.410273388,836520.226299284,875224.208766289
"22","UMIC","25-30",1110563.93804996,1168151.60568907,1219594.96396179
"23","UMIC","30-35",1630092.49924248,1711267.87654947,1780746.02563254
"24","UMIC","35-40",2511302.53013059,2617170.54049075,2713716.8946301
"25","UMIC","40-45",3460096.38668866,3617365.6602683,3740172.46176988
"26","UMIC","45-50",5151730.80210472,5368269.52611744,5535130.10375369
"27","UMIC","5-10",442872.646724929,462020.509422924,478005.597670249
"28","UMIC","50-55",6900715.34050136,7207515.25601506,7410339.01258518
"29","UMIC","55-60",8756408.05367889,9111861.74119157,9383014.30446101
"30","UMIC","60-65",9198803.20537724,9584900.30110878,9865837.05230587
"31","UMIC","65-70",8970175.21488734,9317755.39640958,9645946.45245137
"32","UMIC","70-75",7092449.03704805,7364809.90762809,7609624.09856362
"33","UMIC","75-80",4835896.28637109,5045578.24803597,5228719.73870195
"34","UMIC","80+",9562685.68905067,10020619.1728599,10333819.0239452
"35","LMIC","0-5",744823.774693854,792129.11534103,833850.019236244
"36","LMIC","10-15",1451534.79438096,1544614.11668161,1633430.01984079
"37","LMIC","15-20",1575178.45679156,1657466.51818603,1767037.79315059
"38","LMIC","20-25",1906173.02777482,2019383.57145432,2167396.68282377
"39","LMIC","25-30",2517235.01550983,2694768.79888579,2894328.60538365
"40","LMIC","30-35",3622870.60646844,3877683.77302595,4134380.11709329
"41","LMIC","35-40",5139669.01703875,5537539.01303465,5862321.29673291
"42","LMIC","40-45",7048993.36892309,7607532.876488,8010466.5881632
"43","LMIC","45-50",9688439.61047999,10411195.5781058,10919347.5730307
"44","LMIC","5-10",1086819.3765696,1159402.71791333,1225952.57778455
"45","LMIC","50-55",12375655.3523632,13281755.1975322,13868131.6877979
"46","LMIC","55-60",14261217.3039169,15268904.1087766,15886951.3930726
"47","LMIC","60-65",13918911.0955012,14932948.5318562,15587105.234267
"48","LMIC","65-70",15248649.1213577,16764976.0738608,17448445.2535985
"49","LMIC","70-75",11011011.0022133,12079791.5610996,12525941.6327983
"50","LMIC","75-80",7023859.67501312,7728834.72327956,8024413.84561675
"51","LMIC","80+",9592850.01146905,10486790.7320126,10891496.3579053
"52","LIC","0-5",36868.4112062385,38857.6942591444,41354.8219775382
"53","LIC","10-15",80036.1835959612,84454.2138394129,90123.1044207073
"54","LIC","15-20",69363.0346793567,73287.126009688,78643.9892836768
"55","LIC","20-25",62062.1173910507,65434.9693935231,70370.0214849262
"56","LIC","25-30",64907.180318982,68374.3622120873,73333.2916306554
"57","LIC","30-35",81915.9393643822,86191.2413528225,92001.0560858721
"58","LIC","35-40",107228.57049533,112673.904769103,119170.06491983
"59","LIC","40-45",127727.298225253,134072.14691308,141442.705418209
"60","LIC","45-50",144311.589787054,151658.92111969,160069.389414192
"61","LIC","5-10",59229.7103938489,62521.3101747241,66696.7171369422
"62","LIC","50-55",171608.05725094,179849.849587327,189710.137498388
"63","LIC","55-60",201369.762556943,211990.259130256,224115.220923189
"64","LIC","60-65",201596.319293458,211099.994289858,222385.34234962
"65","LIC","65-70",323283.516084872,340069.758785576,357529.073753675
"66","LIC","70-75",341507.916827508,360964.467749122,379408.458169645
"67","LIC","75-80",228558.639232298,243023.729084072,256482.11765338
"68","LIC","80+",260542.477446807,278484.573652244,295695.044670586
