"","iso3c","lg_total_low","lg_total_med","lg_total_high"
"1","AFG",250085.896103733,269244.020683867,283871.376466594
"2","AGO",350357.24797388,376910.411056609,411412.970461938
"3","ALB",114136.400798264,139125.162171473,154429.416546185
"4","ARE",405874.706840462,449063.405782143,529132.812080229
"5","ARG",2019950.7769955,2352223.09234343,2759588.1160753
"6","ARM",61084.1506878459,69365.8931541295,75203.0930919301
"7","ATG",6474.97235113346,7525.92054860104,11963.4299637765
"8","AUS",2160892.21088835,2728242.87614131,4369144.10690781
"9","AUT",760088.682363484,809966.058901343,883453.253635023
"10","AZE",611362.948688523,679081.71494755,714561.956406398
"11","BDI",0.559453963723243,2.33024317650195,3.95068951044194
"12","BEL",2034560.47103105,3202654.00391053,4282866.83409404
"13","BEN",27551.9873765574,32639.5900601039,38132.7853830335
"14","BFA",25247.1399169165,28452.6983051897,35274.7540342949
"15","BGD",2794834.80238169,3264754.73768377,4054787.52825159
"16","BGR",358439.791744132,425752.193838764,463455.456756346
"17","BHR",59176.196520773,66665.469132942,80697.6141140058
"18","BHS",18771.9080433439,22142.5489027785,24359.0494655983
"19","BIH",113665.598502802,135171.718262667,153251.94720746
"20","BLR",338594.01995951,392567.629607976,475100.159367401
"21","BLZ",20738.6454921363,25819.2227715734,28597.7984112049
"22","BOL",292174.795862739,335063.85556769,365145.099880681
"23","BRA",17218486.2868017,19561666.6941841,20865438.2157311
"24","BRB",8727.78494914777,12955.147351572,17823.4224523561
"25","BRN",33138.9908670225,39226.9609262265,50468.4913024278
"26","BTN",60095.5042903182,64702.2498829831,69932.2915078222
"27","BWA",26819.6019261267,34953.042556786,40999.9593779033
"28","CAF",16204.8422927512,19583.511782821,22406.9553051305
"29","CAN",5914149.12510603,6490920.89925214,9579036.39122744
"30","CHE",682701.225586012,869368.895650449,1298722.78064206
"31","CHL",2764773.1459103,2948715.73032086,3369113.02854162
"32","CIV",210492.103790065,236228.151873308,256456.94765971
"33","CMR",89866.7955717343,107527.535579827,123360.683912187
"34","COD",7499.84802190223,8591.32269368101,9835.01376972825
"35","COG",36635.4593786536,40993.5367925839,46048.4831261197
"36","COL",1847542.92671735,2223233.3840784,2743054.67045964
"37","COM",19422.7090410808,22781.735549572,25659.6635118845
"38","CPV",22056.8220417467,25292.6859252243,27564.850927757
"39","CRI",403647.413772388,466812.83835022,516387.878338254
"40","CUB",1696696.60839581,2398758.21582944,2878399.1629111
"41","CYP",98006.995911611,125504.086706354,152288.113514649
"42","CZE",903684.923521083,1083621.23095302,1229038.69452388
"43","DEU",12536499.4168507,13491969.7942745,14678196.7194364
"44","DJI",7121.43600338407,8674.90322959449,9926.95772939025
"45","DNK",685562.134191593,750330.367351231,828560.453900864
"46","DOM",264961.682595581,333212.048239549,417908.655684353
"47","DZA",257200.757680666,328594.674471545,433059.275850597
"48","ECU",733862.355732376,893933.881107411,1145575.5411868
"49","EGY",1630052.23991559,1901117.20702217,2151177.2537355
"50","ERI",0,0,0
"51","ESP",8042964.21518485,8948122.66658187,10296444.0744318
"52","EST",143093.551065309,162906.974480494,178759.841304977
"53","ETH",406321.945708546,492788.306488898,555619.477802861
"54","FIN",737953.239931162,790777.1893721,865669.626665579
"55","FJI",60666.8905189486,70881.7064449583,83941.3836129371
"56","FRA",9885360.82522103,11826725.1329325,15707388.8858347
"57","FSM",0.0146891010915859,1.98948651572515,467.858768729169
"58","GAB",16460.4004271552,19358.3589612264,21540.6496569596
"59","GBR",7347482.4903358,10046240.2359192,15778798.6637299
"60","GEO",178978.249994608,192068.72612794,221641.401815373
"61","GHA",184646.954966397,206856.059511729,229742.225499152
"62","GIN",94500.7297806059,108441.263880373,126097.219175209
"63","GMB",18530.9748062555,20683.2200566978,22949.0606202717
"64","GNB",9789.2026973316,11534.2184761778,13725.3506766835
"65","GNQ",11893.3498367991,24364.7879339975,30034.258305497
"66","GRC",1509342.27702785,1639394.97347646,1754074.10063542
"67","GRD",497.479540377773,684.909428673142,3183.01339812515
"68","GTM",554250.678615172,632703.640237184,760711.005006771
"69","GUY",38050.7599205705,42788.650200025,45900.0207839261
"70","HND",218232.085392735,281965.380532232,313388.166165006
"71","HRV",351062.748880815,409289.745786508,448695.811115712
"72","HTI",2263.83242185725,2778.02562980578,3339.7580846055
"73","HUN",668464.099881371,810671.569905368,1091444.00842473
"74","IDN",9547807.29143596,11521177.9017451,13248430.2251295
"75","IND",63542174.5051442,71752243.551132,75196078.6416105
"76","IRL",689121.564926354,731071.521501083,760575.150852583
"77","IRN",3259567.82845061,3727195.05770043,4525986.16105626
"78","IRQ",208190.482361875,269899.77449576,331537.244725352
"79","ISL",50033.7602557342,78078.6135048805,98255.1305889616
"80","ISR",725121.892924294,803358.85471871,888062.238252476
"81","ITA",8436536.43012581,9226698.29985564,10065490.7063758
"82","JAM",33255.5677664895,41366.6426746945,48539.1817874513
"83","JOR",464064.31511067,518085.028436277,555672.723681488
"84","JPN",5203399.41125074,6565109.873747,8019470.46032856
