"","iso3c","lg_pp_low","lg_pp_med","lg_pp_high"
"1","AFG",0.0730860396013886,0.0786848817334983,0.0829596350108944
"2","AGO",0.109446469607843,0.117741288605116,0.128519382511224
"3","ALB",0.115967810854401,0.141357536937809,0.156907360343677
"4","ARE",0.0456476516368522,0.0505049700425387,0.0595101637731775
"5","ARG",0.0665079645037142,0.0774482089920463,0.0908609212457143
"6","ARM",0.113263819725871,0.128620041841665,0.139443529669752
"7","ATG",0.11321870581625,0.131595154138284,0.209187620296944
"8","AUS",0.114052848552454,0.143997868102331,0.230605362274938
"9","AUT",0.132695415608629,0.14140295114064,0.154232261816304
"10","AZE",0.133993577428039,0.148835627914621,0.156611899753272
"11","BDI",0.000470493875653116,0.00195970573884251,0.00332248109728195
"12","BEL",0.233134517706352,0.366983044845858,0.490761571348648
"13","BEN",0.033226120120335,0.0393614778198629,0.0459859570325463
"14","BFA",0.0784290707863927,0.0883869894485116,0.109579389595516
"15","BGD",0.0713039490308348,0.0832929034716478,0.103448820301985
"16","BGR",0.195400047619185,0.23209476421483,0.252648339847842
"17","BHR",0.0522179334943336,0.0588265761948811,0.0712087443044321
"18","BHS",0.13259873924162,0.156407865483094,0.17206451474217
"19","BIH",0.146803124211827,0.174579035411064,0.197930287949405
"20","BLR",0.115217458723371,0.13358370790452,0.161668044249353
"21","BLZ",0.10753982762032,0.133885058558837,0.148293306456671
"22","BOL",0.0689529037236978,0.0790746707156213,0.0861738085343985
"23","BRA",0.125395547839243,0.142460020637594,0.15195488223451
"24","BRB",0.0628802075883841,0.0933366666973727,0.12841064603099
"25","BRN",0.092264565452758,0.109214505608022,0.140512830875263
"26","BTN",0.107573288362542,0.115819542020029,0.125181519800247
"27","BWA",0.0375154945014599,0.0488926226220754,0.0573511029298096
"28","CAF",0.0471899261846132,0.05702890893793,0.0652510248337332
"29","CAN",0.204567569154801,0.22451782696844,0.331334254166891
"30","CHE",0.11970088581032,0.152430115847489,0.227710543703002
"31","CHL",0.170755350993598,0.18211584203792,0.208080029486945
"32","CIV",0.148875978001617,0.167078462842145,0.181385801228098
"33","CMR",0.149793839209945,0.179231520082734,0.205622892562368
"34","COD",0.119628189423175,0.137038027383202,0.156875830921994
"35","COG",0.278956026088331,0.312140049910991,0.350630293112761
"36","COL",0.0723301060500284,0.087038143535896,0.107388809399894
