"","income_group","age_group","lghat_total_low","lghat_total_med","lghat_total_high"
"1","H","0-5",146807.079192017,156044.40445492,174063.648994238
"2","H","10-15",312534.885625968,331276.587986421,363009.040493167
"3","H","15-20",386913.08277629,411014.272022366,446690.509866189
"4","H","20-25",582988.412979698,617743.089787017,672913.441093705
"5","H","25-30",924545.637154034,974547.212952871,1059364.29891157
"6","H","30-35",1507995.86457554,1579123.25705463,1707130.50507327
"7","H","35-40",2419425.1667822,2518100.62353937,2687028.6245487
"8","H","40-45",3785235.33844887,3916382.13752145,4138943.80836114
"9","H","45-50",5894231.84252353,6080125.16700468,6408841.29324482
"10","H","5-10",222602.720030963,236853.490470729,261450.50206028
"11","H","50-55",8456990.00385945,8743249.12510525,9213307.17525829
"12","H","55-60",11424470.3146911,11823834.4076168,12445542.4450494
"13","H","60-65",13179172.6727729,13633789.0960401,14349606.8451882
"14","H","65-70",11993080.3342916,12451700.3179749,13149185.0721435
"15","H","70-75",11835785.2025792,12305606.2781087,13014807.0186416
"16","H","75-80",8190734.43792782,8525094.48004918,8979901.28355682
"17","H","80+",19962963.2373005,20722515.9319877,21546100.6759384
"18","UM","0-5",141022.365978984,146594.831050686,152250.888700103
"19","UM","10-15",298311.791369307,309662.147260169,322035.316845178
"20","UM","15-20",341101.533555939,355273.459517133,368734.835515838
"21","UM","20-25",453100.765634905,476492.923218243,497546.207252399
"22","UM","25-30",655012.513480413,687790.022444164,716683.361110135
"23","UM","30-35",1011666.57658779,1060047.77019697,1102860.78366891
"24","UM","35-40",1650348.79879054,1729235.63331848,1800546.94496888
"25","UM","40-45",2426778.46672054,2541401.93368936,2655025.86314828
"26","UM","45-50",3801564.6630859,3957224.88380617,4118460.39532099
"27","UM","5-10",216537.626104438,225367.919695059,234249.817981086
"28","UM","50-55",5329770.09871214,5548116.1000825,5766596.45520776
"29","UM","55-60",7102051.77092466,7359605.92871763,7653770.52249613
"30","UM","60-65",7627283.08858509,7907889.93260535,8205713.12727826
"31","UM","65-70",7800346.25894644,8077395.75922766,8333210.06372042
"32","UM","70-75",6291373.77456952,6518103.0905168,6706839.3888581
"33","UM","75-80",4493381.5458384,4661022.78950008,4803834.64482757
"34","UM","80+",8724281.33572562,9120390.20023299,9385955.7343809
"35","LM","0-5",287511.210350267,307277.365082051,325579.871891956
"36","LM","10-15",594906.851633245,633822.388787119,675638.788175866
"37","LM","15-20",679158.719346032,716051.000356613,764596.313503182
"38","LM","20-25",855383.712393119,916454.518630717,988320.592061721
"39","LM","25-30",1191197.6259889,1289611.95733525,1394362.28000393
"40","LM","30-35",1806987.32195639,1961372.80919987,2099614.36200263
"41","LM","35-40",2703206.34863201,2924656.35534391,3102029.49866885
"42","LM","40-45",3880909.32906105,4196383.60491154,4423677.86770857
"43","LM","45-50",5609838.84684182,6050359.5624934,6336220.18239256
"44","LM","5-10",422451.397283914,452394.39875797,481985.424053298
"45","LM","50-55",7639387.56991879,8222604.01846039,8548190.34921259
"46","LM","55-60",9186300.51738184,9931050.16750737,10329868.3233788
"47","LM","60-65",9608284.56491372,10298030.4524679,10725928.1309625
"48","LM","65-70",10923126.7205522,12064920.2085356,12615476.7564699
"49","LM","70-75",8290153.16772413,9186262.01000764,9563460.64988182
"50","LM","75-80",5419309.83235868,6013801.85372401,6281770.78321096
"51","LM","80+",7961723.18728773,8789766.46432931,9144158.12029938
"52","L","0-5",15122.374423067,15915.8330232119,17069.1164932905
"53","L","10-15",35107.2633882536,37166.5554425241,39882.7043878028
"54","L","15-20",31880.0285627008,33776.570892851,36572.03105653
"55","L","20-25",30030.4033211671,31838.2999557842,34414.9586521567
"56","L","25-30",33163.9033796373,35061.1726096625,37807.4387903965
"57","L","30-35",44284.0177902803,46687.9960776539,50003.0755857426
"58","L","35-40",60824.9548164965,63937.3421283724,67967.3751074908
"59","L","40-45",76773.4006108354,80647.41697032,85382.7359682607
"60","L","45-50",91565.3424818074,96488.663722852,102058.45803062
"61","L","5-10",24889.8187969903,26290.875949856,28258.2997269404
"62","L","50-55",114332.184471008,120326.727870014,127404.839243193
"63","L","55-60",140925.84330838,148158.832678939,157219.826122842
"64","L","60-65",146733.339458133,154057.919499161,163224.450981029
"65","L","65-70",251035.832569055,262838.510865769,276832.092106618
"66","L","70-75",278155.839580216,294355.745674784,310006.044487197
"67","L","75-80",195802.062739369,208227.557820926,219652.979078126
"68","L","80+",235605.444920072,251435.577938221,267131.83880616
