"","income_group","age_group","lghat_total_low","lghat_total_med","lghat_total_high"
"1","HIC","0-5",145181.024875398,154511.339077357,172645.637435941
"2","HIC","10-15",309791.824915522,328136.751571356,360130.663286614
"3","HIC","15-20",383725.228275649,407930.915095433,443223.980965042
"4","HIC","20-25",579002.015172368,613641.382608009,668696.167239912
"5","HIC","25-30",918602.476083595,968508.446060908,1053263.46731434
"6","HIC","30-35",1497809.74756892,1568850.13379049,1696721.6908489
"7","HIC","35-40",2402772.75751426,2501709.77553747,2670786.42078689
"8","HIC","40-45",3756305.63171468,3887291.2193035,4109195.45213624
"9","HIC","45-50",5848344.81442189,6032431.9340182,6361709.47275081
"10","HIC","5-10",220436.582147884,234715.303578355,259388.83761307
"11","HIC","50-55",8388515.22630114,8673390.71883729,9139554.59355706
"12","HIC","55-60",11345077.4658476,11739719.8269811,12364734.8564242
"13","HIC","60-65",13062937.4587197,13522683.0748712,14231047.7920635
"14","HIC","65-70",11825056.7268334,12284920.4284435,12971558.1935622
"15","HIC","70-75",11666171.7823763,12143712.2225357,12844433.3973405
"16","HIC","75-80",8083423.02994224,8417577.97940506,8864619.79590051
"17","HIC","80+",19687851.6093783,20462093.6262399,21280177.8475568
"18","UMIC","0-5",125615.646235039,130836.048568618,135469.384054139
"19","UMIC","10-15",249458.592213283,259336.118912787,269412.124118922
"20","UMIC","15-20",284438.814211945,296948.699157062,309357.999356241
"21","UMIC","20-25",375628.313730154,396120.606139889,414559.665660174
"22","UMIC","25-30",555403.070487697,584033.397098424,609458.935946002
"23","UMIC","30-35",858569.032715586,901100.55618935,938162.118694711
"24","UMIC","35-40",1398196.92230631,1456727.93251159,1510682.1906712
"25","UMIC","40-45",2031506.75175573,2123263.1459658,2193119.25442142
"26","UMIC","45-50",3193499.81025114,3325616.24016737,3429316.03641366
"27","UMIC","5-10",181136.917594032,188900.502494463,195398.413789114
"28","UMIC","50-55",4522585.72554975,4721208.18211348,4853790.90288997
"29","UMIC","55-60",6083074.75052099,6328475.03138035,6516017.62762777
"30","UMIC","60-65",6725054.60074071,7005352.81788856,7209788.45544546
"31","UMIC","65-70",6925333.34216503,7190285.08258556,7442728.69621087
"32","UMIC","70-75",5712641.9777687,5928841.25194007,6125456.40729397
"33","UMIC","75-80",4043202.84757464,4214029.96079698,4365897.18455284
"34","UMIC","80+",8335902.8391414,8738304.45955744,9006870.23164637
"35","LMIC","0-5",304953.498401173,324219.714226312,341310.796782419
"36","LMIC","10-15",644857.463072678,686425.687904553,725818.221835027
"37","LMIC","15-20",737913.010659266,776470.02951103,828243.975727534
"38","LMIC","20-25",939603.700761981,995540.592669839,1068593.40097967
"39","LMIC","25-30",1304074.37164528,1396068.97303866,1499600.01278656
"40","LMIC","30-35",1984184.65131989,2124066.04079943,2264222.87616934
"41","LMIC","35-40",2966036.18801771,3195939.89921367,3383262.36572338
"42","LMIC","40-45",4287164.73583547,4626406.1688613,4870728.4412002
"43","LMIC","45-50",6245622.93889745,6712086.29885944,7037968.05871801
"44","LMIC","5-10",459921.966449915,490790.074663139,518753.682050766
"45","LMIC","50-55",8485300.04168012,9106624.71106809,9508175.05078798
"46","LMIC","55-60",10315685.9684474,11049733.8736762,11493808.0106904
"47","LMIC","60-65",10563550.8292296,11327730.5107365,11826573.9196913
"48","LMIC","65-70",11953127.6837495,13131081.5145141,13667500.4971399
"49","LMIC","70-75",9043566.61039437,9921641.73487046,10287955.2142052
"50","LMIC","75-80",5986180.8965654,6573243.75345594,6825079.31902142
"51","LMIC","80+",8604666.23333844,9410759.85386241,9780550.52023819
"52","LIC","0-5",15836.4545840949,16662.3028697722,17779.0723732901
"53","LIC","10-15",37084.7370368179,39134.9059429358,41795.0222999817
"54","LIC","15-20",33845.6414183773,35691.795869276,38353.763264654
"55","LIC","20-25",31850.0786867895,33519.9000407608,36092.2958733792
"56","LIC","25-30",35055.1519276133,36932.791850285,39603.8394708256
"57","LIC","30-35",46695.568765945,49056.2892062237,52432.364600399
"58","LIC","35-40",64148.942259948,67313.954545533,71275.2225749507
"59","LIC","40-45",80691.8262518353,84618.5175335829,89318.4090241945
"60","LIC","45-50",96236.9088979949,100979.638906069,106634.462313051
"61","LIC","5-10",26206.3269116015,27634.5783011846,29512.269438126
"62","LIC","50-55",120476.310101649,126143.895751141,133109.892129126
"63","LIC","55-60",148545.144305408,156358.912965015,165229.197892456
"64","LIC","60-65",155932.561324817,163212.387907547,171792.583788227
"65","LIC","65-70",261212.022384011,274467.358451621,288723.001761126
"66","LIC","70-75",287370.562959643,303948.072785797,319303.789953129
"67","LIC","75-80",200751.05146992,213351.782626522,224873.224653138
"68","LIC","80+",239596.4827292,255952.159681755,271671.770645558
