"","iso3c","lghat_total_low","lghat_total_med","lghat_total_high"
"1","AFG",189501.07264805,204450.489419771,215756.568997003
"2","AGO",248329.771608025,265640.381337607,289249.352398907
"3","ALB",83364.3018835693,101612.568861789,113047.548629178
"4","ARE",252544.550029574,279614.040214245,329101.8742965
"5","ARG",1455267.95410861,1701209.02866403,1998051.49578759
"6","ARM",46185.5480642918,52422.3063497303,56626.2926974216
"7","ATG",4562.93596236016,5297.81517482009,8295.03866241887
"8","AUS",1425360.126993,1808348.37335686,2888884.77018203
"9","AUT",541637.460232039,575038.434378194,625823.134625808
"10","AZE",446082.424084464,496376.821777167,520974.778732204
"11","BDI",0.382213930134674,1.55509695365315,2.63496944441433
"12","BEL",1455723.79920609,2257260.33203266,3026229.1572548
"13","BEN",20338.5418301398,24027.3198333321,28094.3839843962
"14","BFA",18444.7578083846,20885.4104635163,26002.7128736678
"15","BGD",1996418.05755252,2321016.08625574,2874921.68208766
"16","BGR",288364.498981114,344089.157061754,375384.047238681
"17","BHR",39151.1742346288,43974.0879599888,53543.286573789
"18","BHS",13535.0568434261,15953.9257083349,17516.5448071766
"19","BIH",86311.4689201413,103159.19590977,117811.146286187
"20","BLR",258404.037513289,299676.253645302,363493.011170405
"21","BLZ",14216.3290031982,17739.6184230709,19522.7316785559
"22","BOL",211323.542803111,242536.943248235,266243.584758348
"23","BRA",12050510.1118386,13739142.0375101,14653808.1008298
"24","BRB",6575.99069193824,9686.96698001048,13136.6579023911
"25","BRN",22963.1940604238,26948.8829926311,34294.9702874725
"26","BTN",41456.3401212488,44550.580698878,47969.9933086642
"27","BWA",20789.4630836733,26966.0988864751,31481.4226081289
"28","CAF",12213.9484444395,14793.2714750293,16902.716641042
"29","CAN",4109874.5142402,4509573.76767706,6582902.65558374
"30","CHE",465909.159392927,592585.940162905,882698.413170842
"31","CHL",1905449.70854202,2033473.63772242,2307320.13690177
"32","CIV",149654.13988729,169283.118613695,184000.564439438
"33","CMR",65163.1169819293,78664.4719778954,90880.6042589939
"34","COD",5331.92435244144,6112.46134319201,7015.19842525254
"35","COG",26196.4795646167,29573.3645634004,33174.7034307172
"36","COL",1287934.20615374,1545666.44376352,1913026.45646609
"37","COM",13275.2247929768,15539.4786283516,17475.897049514
"38","CPV",15300.7120874337,17555.0182007195,19074.0677115145
"39","CRI",273989.086120345,317403.535985466,349925.064336972
"40","CUB",1219492.00317944,1727994.70893916,2062885.01499893
"41","CYP",65885.3044140652,84739.6136335852,103031.639944832
"42","CZE",649235.301421415,781206.153011116,888809.683620085
"43","DEU",8896225.59329863,9587211.74424349,10465993.2520114
"44","DJI",5670.33075295474,6866.77223899627,7788.68893792939
"45","DNK",482384.522844409,528535.361672235,584886.105912843
"46","DOM",184610.079066684,231736.111946861,290173.95523851
"47","DZA",181420.999355914,231868.440882817,305798.013247719
"48","ECU",487716.29623948,593878.161957992,758264.777522353
"49","EGY",1187248.93853062,1387908.95994184,1570100.96923495
"50","ERI",0,0,0
"51","ESP",5652994.07412706,6284313.56880875,7251320.3281232
"52","EST",105734.542582424,120755.768925413,132732.285993422
"53","ETH",299422.254686004,364393.256900925,408810.296196227
"54","FIN",514098.591417252,552490.445059816,597976.357102248
"55","FJI",44060.7799052238,50950.620584343,59768.0401478874
"56","FRA",7051258.06789049,8437377.6066787,11075145.8623999
"57","FSM",0.0121681513457649,1.51763274518991,343.525048747946
"58","GAB",11957.7717160443,14090.3615783167,15753.759200056
"59","GBR",5149745.23037729,6955435.42027776,10928692.7566604
"60","GEO",138162.558082198,148887.916319414,172032.600841526
"61","GHA",135129.954432073,150554.744061803,167084.129390465
"62","GIN",66556.1251161996,76747.3900366155,89215.487612445
"63","GMB",13213.421359601,14759.2285625543,16379.5044071042
"64","GNB",7138.70736062602,8477.1056795119,10037.2975274096
"65","GNQ",8215.66344034961,16590.1448578444,20373.6088562373
"66","GRC",1095168.46639913,1192287.89188259,1276746.20444171
"67","GRD",389.993294437623,532.324757598911,2414.91116550409
"68","GTM",398292.284105051,454608.579303338,540140.699843538
"69","GUY",28490.7419864255,32171.458179709,34491.3746785352
"70","HND",156818.614029219,203094.108474655,225843.310976525
"71","HRV",265132.534513074,309172.38588136,339506.345141934
"72","HTI",1737.90894038422,2124.8757195306,2563.28909019421
"73","HUN",514882.610016757,617635.747366977,826191.408851254
"74","IDN",6884787.8050255,8257398.45065816,9503996.62305843
"75","IND",45796513.0863903,51839062.4034168,54201545.0272895
"76","IRL",478931.014405441,509630.982729978,530307.563206432
"77","IRN",2272790.83552338,2592780.08470273,3135381.18382061
"78","IRQ",152961.232778799,194460.604040187,240873.47048221
"79","ISL",34418.217584664,54296.5569125025,68679.9884252276
"80","ISR",488930.234946233,542824.735553191,600043.638068673
"81","ITA",5976549.14238157,6556900.36786793,7174838.24304181
"82","JAM",24888.0193655371,30688.7650009746,35889.6478596594
"83","JOR",310350.139053713,345946.294019005,372161.998995901
"84","JPN",3622397.08829813,4559011.10029914,5562949.89184605
"85","KAZ",638895.472681332,706491.94023581,786784.089281937
"86","KEN",251476.582699172,289046.678515353,316772.086701831
"87","KGZ",33042.7696204759,46090.4490675768,63305.6973557958
"88","KHM",742532.930892003,784001.59519806,830093.368416099
"89","KOR",5485595.35651688,6303819.38966497,7192717.38916936
"90","KWT",149346.033968329,168083.891474761,191450.045787393
"91","LAO",252304.650409624,266907.523036986,283361.659342861
"92","LBN",160342.32574737,188999.754851215,215308.01725483
"93","LBR",15637.1641606282,17708.4562110744,20174.6227812031
"94","LBY",93531.7791140599,108314.694008873,124216.291936183
"95","LCA",4694.41185537438,5228.62757653938,5981.79641352846
"96","LKA",1241406.52204886,1323774.19344929,1469225.25574494
"97","LSO",13193.9336930773,15322.6590823161,17485.0182872707
"98","LTU",263475.218131157,289829.048391752,300447.870559787
"99","LUX",47235.3334031445,55733.9998095316,75397.8058092264
"100","LVA",141084.166231583,165217.816321875,177007.526085794
"101","MAR",1514679.29629453,1751374.42265211,2024458.34888116
"102","MDA",94457.944887764,108216.9700369,117118.298576224
"103","MDG",37749.2055055399,48065.2589107352,55420.5553741909
