"","iso3c","new_welf_total_low","new_welf_total_med","new_welf_total_high"
"1","AFG",1067187981.66422,1173841390.83859,1248679423.32018
"2","AGO",4931357832.80539,5251264271.58812,5667989115.86898
"3","ALB",6604582242.15139,8022077904.30618,8899883009.98757
"4","ARE",88547219653.8884,98677140018.9056,115193881567.854
"5","ARG",174444229859.431,204934342844.8,242422435305.185
"6","ARM",2886301865.02164,3270778159.48996,3487647889.00138
"7","ATG",853656782.41677,991386348.434706,1484868741.35068
"8","AUS",778677600553.528,1001420174576.79,1591346095336.71
"9","AUT",328502174665.057,351625080401.65,383249746966.204
"10","AZE",27918279792.2371,31012310782.067,32411718234.6
"11","BDI",1077.25589317514,3725.37301617384,6331.46651224782
"12","BEL",850842140650.081,1278465673657.28,1729354480806.67
"13","BEN",352378075.552957,415483020.631657,488462556.638041
"14","BFA",219727475.33063,254749515.931485,318739440.971969
"15","BGD",60005883883.7279,68936794351.9054,85316777658.7816
"16","BGR",49839296676.8,59969476648.1416,65617858928.0994
"17","BHR",9671705347.44498,10790681229.8802,13251964098.2784
"18","BHS",4256164760.67329,4990881211.65323,5456614907.6218
"19","BIH",8042606484.43306,9711832151.24002,11193164218.3087
"20","BLR",25180578790.4459,28911123815.8635,35212510102.1874
"21","BLZ",878292507.024472,1094359685.965,1192857577.31332
"22","BOL",8714844695.79225,10025282528.7357,11180609143.6185
"23","BRA",1095991857261.55,1254605813236,1336398863911.53
"24","BRB",1598086365.42017,2269168777.22728,3008080602.79131
"25","BRN",7455034295.06157,8569386505.85793,10734067039.5938
"26","BTN",1578358319.71132,1692461966.72048,1807557277.38565
"27","BWA",2354403896.02016,3047783390.90213,3492064158.0336
"28","CAF",91568888.8540946,111331439.525234,127707028.039003
"29","CAN",2079158122634.11,2283884786888.22,3251076146912.06
"30","CHE",448891582459.675,565153720439.581,833245094702.222
"31","CHL",303642774738.161,323287035621.584,361849755693.281
"32","CIV",4143975687.94812,4776983683.74248,5213626904.82589
"33","CMR",1340528996.96049,1649508822.17881,1933815311.02089
"34","COD",40075444.3108566,46320357.8913192,53721364.046288
"35","COG",674405343.30933,777254016.149772,878133895.66539
"36","COL",88103221131.4118,105547572381.479,130499586380.289
"37","COM",225308679.632903,261002763.396798,293501229.138617
