"","iso3c","pop","region","income_group","pop_vac"
"1","ABW",106766,"latin_america_caribbean","H",73455.008
"2","AFG",38928341,"south_asia","L",1389741.7737
"3","AGO",32866268,"sub_saharan_africa","LM",9794147.864
"4","ALB",2877800,"europe_central_asia","UM",1441777.8
"5","ARE",9890400,"middle_east_north_africa","H",6804595.2
"6","ARG",45195777,"latin_america_caribbean","UM",22643084.277
"7","ARM",2963234,"europe_central_asia","UM",1484580.234
"8","ATG",97928,"latin_america_caribbean","H",67374.464
"9","AUS",25499881,"east_asia_pacific","H",17543918.128
"10","AUT",9006400,"europe_central_asia","H",6196403.2
"11","AZE",10139175,"europe_central_asia","UM",5079726.675
"12","BDI",11890781,"sub_saharan_africa","L",424500.8817
"13","BEL",11589616,"europe_central_asia","H",7973655.808
"14","BEN",12123198,"sub_saharan_africa","LM",3612713.004
"15","BFA",20903278,"sub_saharan_africa","L",746247.0246
"16","BGD",164689383,"south_asia","LM",49077436.134
"17","BGR",6948445,"europe_central_asia","UM",3481170.945
"18","BHR",1701583,"middle_east_north_africa","H",1170689.104
"19","BHS",393248,"latin_america_caribbean","H",270554.624
"20","BIH",3280815,"europe_central_asia","UM",1643688.315
"21","BLR",9449321,"europe_central_asia","UM",4734109.821
"22","BLZ",397621,"latin_america_caribbean","UM",199208.121
"23","BOL",11673029,"latin_america_caribbean","LM",3478562.642
"24","BRA",212559409,"latin_america_caribbean","UM",106492263.909
"25","BRB",287371,"latin_america_caribbean","H",197711.248
"26","BRN",437483,"east_asia_pacific","H",300988.304
"27","BTN",771612,"south_asia","LM",229940.376
"28","BWA",2351625,"sub_saharan_africa","UM",1178164.125
"29","CAF",4829764,"sub_saharan_africa","L",172422.5748
"30","CAN",37742157,"north_america","H",25966604.016
"31","CHE",8654618,"europe_central_asia","H",5954377.184
"32","CHI",173859,"europe_central_asia","H",119614.992
"33","CHL",19116209,"latin_america_caribbean","H",13151951.792
"34","CHN",1439323774,"east_asia_pacific","UM",721101210.774
"35","CIV",26378275,"sub_saharan_africa","LM",7860725.95
"36","CMR",26545864,"sub_saharan_africa","LM",7910667.472
"37","COD",89561404,"sub_saharan_africa","L",3197342.1228
"38","COG",5518092,"sub_saharan_africa","LM",1644391.416
"39","COL",50882884,"latin_america_caribbean","UM",25492324.884
"40","COM",869595,"sub_saharan_africa","LM",259139.31
"41","CPV",555988,"sub_saharan_africa","LM",165684.424
"42","CRI",5094114,"latin_america_caribbean","UM",2552151.114
"43","CUB",11326616,"latin_america_caribbean","UM",5674634.616
