"","iso3c","vsly_undiscounted_low","vsly_undiscounted_med","vsly_undiscounted_high"
"1","AFG",14003042301.8744,15075761847.8376,15894790369.5625
"2","AGO",84665125931.7188,91081796085.6422,99419467288.1416
"3","ALB",102589665223.863,125050410837.943,138806393345.028
"4","ARE",2606924545986.2,2884324633951.12,3398608715080.3
"5","ARG",2970441009670.57,3459064456899.19,4058115575460.81
"6","ARM",43653581713.5777,49572100959.76,53743636154.9603
"7","ATG",15675632958.1779,18219933892.3242,28962955648.7912
"8","AUS",18225620937792,23010828692071.3,36850687838035.7
"9","AUT",5952743084233.05,6343364882892.39,6918890345092.87
"10","AZE",442313516921.859,491307205090.063,516976720088.584
"11","BDI",18135.7967638578,75539.3998429366,128069.343832416
"12","BEL",15307385416732.5,24095749373060.4,32222926893293.5
"13","BEN",5399507839.54303,6396552088.97758,7473082460.63185
"14","BFA",3087734025.38592,3479774935.30302,4314114732.49022
"15","BGD",1058373287946.44,1236326813705.25,1535503566988.2
"16","BGR",583617221476.024,693216317296.805,754605354037.03
"17","BHR",215548556447.238,242828138362.007,293940051130.259
"18","BHS",77089457798.3262,90931464465.2421,100033833079.18
"19","BIH",115565376383.117,137430943954.363,155813361243.498
"20","BLR",351238041640.533,407227172681.49,492841691590.613
"21","BLZ",18457247281.325,22978924997.1627,25451837593.5996
"22","BOL",141640761026.882,162432558068.782,177015370814.646
"23","BRA",19916555466251.9,22626903041162.7,24134970439869.8
"24","BRB",21489687049.2157,31898364119.1734,43885106344.7086
"25","BRN",148053296138.816,175252194188.441,225475377885.246
"26","BTN",29133152765.0789,31366415047.9379,33901839343.374
"27","BWA",27267857925.9122,35537238812.942,41685222262.5923
"28","CAF",1146134671.44092,1385100912.26888,1584797179.30517
"29","CAN",42526701356285.2,46674077499663.5,68879700405493.9
"30","CHE",9135113811819.01,11632883476084.6,17377997821790.2
"31","CHL",6029354541385.07,6430492355643.15,7347285244406.13
"32","CIV",76609453858.7709,85976192813.0585,93338544984.5323
"33","CMR",21054551021.0435,25192218879.3902,28901707208.9405
"34","COD",618856695.754395,708920708.638926,811544994.839676
"35","COG",11984066778.1634,13409666228.4975,15063223067.9246
"36","COL",1693302411163.11,2037628677200.54,2514053135260.2
"37","COM",4521853580.36654,5303877653.93119,5973895869.87085
"38","CPV",10855229516.5171,12447754725.8548,13565997079.8625
"39","CRI",736329878098.061,851555661275.341,941989990607.324
"40","CUB",0,0,0
"41","CYP",425874321199.32,545358698495.49,661744565951.875
"42","CZE",3266361059050.04,3916739230033.47,4442349349169.86
"43","DEU",96149409850375,103477445362053,112575281608880
"44","DJI",3315921668.92302,4039255507.05694,4622243916.21662
"45","DNK",7048998067501.33,7714949594879.85,8519316845353.91
"46","DOM",316240651620.421,397699751265.119,498787991896.749
"47","DZA",139466424360.137,178179585183.137,234825236455.41
"48","ECU",644481528738.373,785057129292.555,1006050072336.18
"49","EGY",845461412148.067,986055047285.59,1115754031796.05
"50","ERI",0,0,0
"51","ESP",35660541080838.3,39673792822002.4,45651920993209.6
"52","EST",553897925401.828,630593304355.492,691957845107.888
"53","ETH",56279176934.0307,68255531321.4693,76958203290.5767
"54","FIN",5792434678165.88,6207067015314.93,6794922081784.43
"55","FJI",40137256241.4288,46895385441.2964,55535676783.7015
"56","FRA",63813914128502.4,76346188611428.9,101397408072986
"57","FSM",8701.0342279001,1178464.91499646,277134396.11819
"58","GAB",15619814345.3096,18369782335.6339,20440629619.4348
"59","GBR",49314717022003.1,67428196667505.5,105903891853090
"60","GEO",123950339197.466,133016071804.817,153496455217.575
"61","GHA",62033545152.045,69494862290.2022,77183643355.6488
"62","GIN",13785418697.7092,15819012511.0178,18394598295.513
"63","GMB",2020596468.64087,2255274848.92903,2502339533.28201
"64","GNB",1096252300.57355,1291669396.45397,1537045224.28517
"65","GNQ",9095386437.97027,18632863304.2669,22968565577.8065
"66","GRC",4450250214984.64,4833706670911.56,5171834621119.36
"67","GRD",616482601.718488,848747963.000263,3944428306.5207
"68","GTM",402626872034.998,459617818114.983,552606797403.913
"69","GUY",52367255672.8166,58887764386.2265,63169779757.2767
"70","HND",79748016098.065,103037917936.379,114520669475.773
"71","HRV",918190321869.453,1070480660849.51,1173545619816.47
"72","HTI",480348425.88687,589451862.89709,708642355.014544
"73","HUN",1747355647884.24,2119083951561.06,2853019111735.13
"74","IDN",5866638177345.29,7079173265990.7,8140481282896.8
"75","IND",20130294899452.3,22731262089003.2,23822276309028.1
"76","IRL",7744603557647.4,8216052717661.02,8547625439323.78
"77","IRN",1685841511325.99,1927697314421.96,2340830365116.98
"78","IRQ",143260794807.378,185724418205.562,228138619252.75
"79","ISL",465792368813.806,726877655252.144,914712182158.989
"80","ISR",5272878677699.2,5841795451112.37,6457734190960.62
"81","ITA",45274507212086.3,49514895381578.8,54016258372537
"82","JAM",25432047673.7727,31634956167.155,37120123581.4802
"83","JOR",287878926240.717,321390283267.22,344707536920.895
"84","JPN",33482660529839.9,42244949478313,51603420347030
"85","KAZ",1154950632089.17,1267426327461.94,1413844300608.54
"86","KEN",105804232406.486,121074511745.718,133302055816.681
"87","KGZ",8703143409.69899,12267130496.51,16975443465.0863
"88","KHM",247959768087.685,261771657903.75,276779945114.83
"89","KOR",41638685540134.7,47747474434201.7,54215528826346.1
"90","KWT",1206747398781.82,1356887315925.12,1548518107175.04
"91","LAO",134993056462.088,142814999706.187,151632049216.494
"92","LBN",165021361158.405,195105465051.635,223460071964.02
"93","LBR",2023920290.23583,2290599439.1336,2605869842.05029
"94","LBY",156452920063.794,181748539150.093,208414964279.369
"95","LCA",9510214548.9441,10588813875.1136,12105350581.6927
"96","LKA",1021220694934.73,1087750086775.16,1206583932133.01
"97","LSO",2864231544.58311,3352836402.43927,3849177899.79728
"98","LTU",1104076916216.63,1212963371494.37,1257276592347.67
"99","LUX",902950915535.243,1065776319575.74,1453941188799.56
"100","LVA",555193492918.737,648580453938.508,691917429092.304
"101","MAR",1136591744487.1,1325303194873.07,1542635251819.87
"102","MDA",99559463858.6437,113502722803.554,122094326129.521
"103","MDG",3704356972.14035,4739299041.61552,5461993820.43038
"104","MDV",58984812992.2627,65305074413.3436,77811077059.3006
"105","MEX",8079585908134.02,9585866999289.45,10767033576783.9
"106","MKD",95139981132.9661,113577295960.447,131766169408.197
"107","MLI",4723191264.01537,6726598575.52751,8166463370.80328
"108","MLT",301328899931.413,342407259315.295,404305250566.961
"109","MMR",166752516945.555,200807042274.208,239620949571.026
"110","MNE",45897152892.2181,54028036355.9237,65464370349.0489
"111","MNG",111919249325.375,120057073487.341,130146326972.592
"112","MOZ",9476615881.03861,11955624391.9779,15099104462.4945
"113","MRT",17943762029.1031,23557993596.6376,28159467827.4703
"114","MUS",135687196620.681,152517721928.726,168268012793.39
"115","MWI",11817807650.9476,12653012989.8304,13317902408.9093
"116","MYS",4522569760705.75,5180865901537.84,6297653785744.51
"117","NAM",11018356194.1054,14767966538.2069,17463031507.4995
"118","NER",9772129833.98589,12905382445.8994,19792940590.7353
"119","NGA",365620796660.9,398327817743.104,420136191375.532
"120","NIC",15552086511.9956,18749252162.7391,21992214886.2498
"121","NLD",15923517558425.9,17849884921132.1,20382897483539.2
"122","NOR",8250695805691.05,9131460831380.83,9830597822150.64
"123","NPL",122892996672.904,139142766958.646,184096765303.405
"124","NZL",3651593398337.99,5262326835447.52,6670143866410.85
"125","OMN",175192378826.117,236114416751.485,449818506761.752
"126","PAK",851203548615.762,988966253602.652,1198917670745.88
"127","PAN",479303641008.854,601321791832.242,750208015501.344
"128","PER",665857570935.354,928463164164.596,1263744865506.78
"129","PHL",2314257727048.26,2817101256236.28,3546731769169.89
"130","PNG",5975618823.40135,7699570431.75675,9683761338.57838
"131","POL",6848782278948.98,7530311975665.35,8088932952551.06
"132","PRK",0,0,0
"133","PRT",7804147753057.15,8344548697059.69,11268949735811.2
"134","PRY",57531868436.9061,70744728721.9778,78628569165.2151
"135","QAT",1392741845948.97,1899171100262.93,2470202449146.89
"136","ROU",2025234763333.27,2387028589435.52,2697977955580.53
"137","RUS",18167341633582.1,19472512887584.3,20906946449467
"138","RWA",31348269160.6255,36286372557.2465,41768812244.4299
"139","SAU",7310086562481.53,8141081972871.93,9192050486773.93
"140","SDN",10405461369.8161,14100377657.7539,17888101212.0294
"141","SEN",27286999893.5342,31408018546.9799,35238722439.0722
"142","SGP",17855818741817.8,21714702685081.7,22718310774299.2
"143","SLB",91959342.786571,1269310875.97756,5749139929.3311
"144","SLE",1864268665.24328,2797548726.67614,3414275564.43354
"145","SLV",228470422497.332,267237604041.036,283710710976.514
"146","SOM",3387555575.6782,3851276509.33047,4341594636.20634
"147","SRB",702541759807.267,829141784861.27,963145425737.56
"148","SSD",0,0,0
"149","STP",1990927747.24567,2382611870.03664,3436043052.08576
"150","SUR",19603920432.4073,22471259746.3458,23838533025.0209
"151","SVK",1107884462701.63,1306478500190.55,1408284046672.35
"152","SVN",796339750131.148,886553985238.532,989334510011.866
"153","SWE",6646073545963.39,7500259830712.36,8590410111136.49
"154","SWZ",7262547290.64617,8749977044.53854,10248523600.1806
"155","SYC",12133904062.9595,15594378911.4171,20585718915.5117
"156","SYR",3252428817.31773,4196664682.3979,5218646121.69177
"157","TCD",819670718.872809,1115057362.98626,1364332968.10313
"158","TGO",11318538494.804,12209702934.8422,13390557138.8676
"159","THA",6499513631246.54,8016777457892.43,9366514626232.57
"160","TJK",19081974346.4519,27352529364.4269,34491792506.0142
"161","TKM",0,0,0
"162","TLS",18333692327.9544,20036794926.6117,21059090556.3365
"163","TTO",179388671277.395,212947948058.08,257800702710.854
"164","TUN",240814124532.45,277711386940.663,313276167348.354
"165","TUR",8707047609045.15,10129064666180.7,11129925127633.2
"166","TZA",12194459249.312,16699222674.9918,19716012701.5916
"167","UGA",38368260141.3027,43386477782.403,47356454736.2686
"168","UKR",932646809660.168,1101752570407.12,1256197771283.39
"169","URY",1368707390986.94,1851456569872.3,2267565490176.82
"170","USA",331690258075239,362816682734096,395030972735938
"171","UZB",170293549741.011,236964312530.183,294481337084.161
"172","VCT",2235103588.33445,3060474789.26504,5597225031.27591
"173","VEN",0,0,0
"174","VNM",4065973172367.34,4996753434920.77,6169230108175.3
"175","VUT",3621141.74621389,25138256.7249218,1425791712.87583
"176","YEM",0,0,0
"177","ZAF",1190580302728.4,1496627587898.01,1834553111493.43
"178","ZMB",12341696787.2279,14374198697.7225,15921757598.702
"179","ZWE",40812355545.3697,46762346650.2584,53292589259.3335
