"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"1","AFG",17556525.2943434,18896430.1366592,19925836.5131466
"2","AGO",182169342.492396,195826280.936881,213695971.158251
"3","ALB",320695348.596209,390184973.533786,433164960.198003
"4","ARE",8571362076.01689,9461889872.05156,11004139056.195
"5","ARG",9671125745.31211,11274659452.543,13220478001.2648
"6","ARM",129388095.758322,146784314.805416,158840619.709829
"7","ATG",56285596.974901,65241393.1759826,100999562.257016
"8","AUS",63360429589.5797,78882643818.9706,124256841102.329
"9","AUT",20613221422.7893,21853356366.7987,23768298370.0596
"10","AZE",1456079501.9175,1617507636.56466,1699135086.01856
"11","BDI",30.6148232075944,99.32561884409,175.701410369985
"12","BEL",53035862554.5759,81530112510.1452,108874761478.792
"13","BEN",10063382.4557367,11932074.5552299,14049209.3617663
"14","BFA",4302176.34008178,4872614.47687521,6107215.110999
"15","BGD",1830590974.57602,2135758604.20298,2644944213.30252
"16","BGR",2097396075.28976,2499988373.46132,2727006127.74117
"17","BHR",789805588.038798,885716213.793176,1071928651.07965
"18","BHS",274959224.567515,323321987.342616,355365910.877168
"19","BIH",376460752.88078,449323234.861356,511985978.208538
"20","BLR",1157876487.82805,1341827289.46198,1623805392.75823
"21","BLZ",32003029.9804003,39751631.8807186,43630110.9660891
"22","BOL",266532798.767632,305771663.363527,334039149.664102
"23","BRA",58814968099.7292,66758851691.8803,71297052716.9482
"24","BRB",88277608.1363005,129407356.722073,174427692.743093
"25","BRN",512689721.890676,596375190.393286,765268760.080871
"26","BTN",55977166.5981662,60114834.5674231,64448410.714349
"27","BWA",98767324.3828439,128284419.679763,149896566.111834
"28","CAF",1621482.02633767,1967296.36224366,2267945.10945626
"29","CAN",153002200811.702,167645069791.138,242527336970.01
"30","CHE",30938723988.0705,39109653159.8654,58043586957.8793
"31","CHL",22170404374.327,23618439952.0986,26666568478.1674
"32","CIV",141137595.529802,159209087.246147,172737434.232914
"33","CMR",41314903.0966319,49656692.7244919,57174963.608031
"34","COD",791795.938008859,909336.738575117,1041581.26815819
"35","COG",25173039.1917524,28199823.0133841,31681703.1997665
"36","COL",4902178436.70279,5875784320.18849,7245636089.97762
"37","COM",8126994.82393132,9492305.15849542,10675518.7512364
"38","CPV",22693100.8275121,25892971.5658293,28096144.9065914
"39","CRI",2132793183.88112,2462607033.92265,2712334999.86734
"40","CUB",0,0,0
"41","CYP",1585140601.82434,2031354425.68588,2463217072.06481
"42","CZE",12711661560.6279,15242194596.6531,17320830109.3051
"43","DEU",327763189986.208,352880496477.897,384984074593.284
"44","DJI",6172200.86038611,7465914.03932381,8453387.70091976
"45","DNK",23903800854.2451,26138926837.0949,28874240887.0651
"46","DOM",995567097.220095,1243050022.05262,1545741094.3825
"47","DZA",291459524.453876,364773490.71952,479517133.217865
"48","ECU",1882329120.46257,2279112496.93328,2913461217.40244
"49","EGY",1685574982.97653,1965434801.87185,2224926981.25191
