"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"1","AFG",21836706.2761141,23559511.5788375,24862240.7229754
"2","AGO",232152134.512459,248316789.466149,270388317.222626
"3","ALB",408036209.981664,497303705.218779,553209986.594725
"4","ARE",9938190082.03606,11005132849.9752,12948187293.5414
"5","ARG",11895205787.0049,13905608669.3398,16331378276.7949
"6","ARM",176353475.411516,200159376.290539,216188388.06285
"7","ATG",69591583.261055,80791163.9998841,126435657.589195
"8","AUS",76770566042.4628,97368743451.0731,155497548273.18
"9","AUT",25739271618.7168,27324511645.7112,29740451294.8371
"10","AZE",1851476423.59128,2060109657.97228,2162192788.42735
"11","BDI",27.583840163902,111.405399663173,188.990488833843
"12","BEL",67011151511.7338,103866803226.802,139245910238.169
"13","BEN",13434208.8694551,15869956.2697964,18559074.1749023
"14","BFA",5308667.28627144,6011821.90917268,7485180.83981879
"15","BGD",2377358596.81392,2763706288.23461,3423134867.11328
"16","BGR",2708742753.00512,3232424647.21639,3526684913.8738
"17","BHR",933217646.482368,1048124096.42475,1276067957.02785
"18","BHS",339569394.05857,400178339.555854,439386502.273597
"19","BIH",479071144.461692,572629889.46086,654005716.44427
"20","BLR",1486260396.89261,1723544558.82288,2090417074.97486
"21","BLZ",41699090.2777766,52028724.2816441,57250343.1458747
"22","BOL",342728256.366217,393344553.290524,431817257.359163
"23","BRA",71133482634.866,81097132579.2788,86499806905.9046
"24","BRB",102378033.931918,150775746.403352,204362754.294869
"25","BRN",641155936.531296,752338635.577583,957257705.977223
"26","BTN",71540163.6291965,76879340.4600363,82761288.5752565
"27","BWA",115704190.916967,150064103.168994,175173304.801986
"28","CAF",1825461.31078501,2210844.40808507,2526785.41575829
"29","CAN",191492881355.614,210107334731.072,306603256754.123
"30","CHE",38636919577.4001,49131666204.21,73174134687.7755
"31","CHL",27470088851.0641,29314534866.9633,33255332165.2785
"32","CIV",189700655.34394,214607026.40473,233255859.884296
"33","CMR",52297398.0736834,63135992.1379556,72947665.0016672
"34","COD",996219.746218245,1142256.83346655,1310948.46387595
"35","COG",32288629.6489558,36454492.4731842,40892555.8237803
"36","COL",6105370456.05457,7326358953.50118,9067286276.4027
"37","COM",10148975.2119313,11878850.1201306,13358267.4404125
"38","CPV",25193333.7535925,28900193.3151609,31398553.4221235
"39","CRI",2645655035.44325,3064618375.61228,3378414696.22073
"40","CUB",0,0,0
"41","CYP",1914282218.19014,2461990028.82828,2993273733.20725
"42","CZE",15466434380.1158,18609717436.0973,21173221480.7563
"43","DEU",406042008547.581,437561649587.347,477698088642.285
"44","DJI",8434449.04215724,10212457.4417606,11582187.2354643
"45","DNK",29666975361.8086,32503848779.2573,35968693488.6246
"46","DOM",1201163718.68316,1507492839.65165,1887212029.86033
"47","DZA",325801723.646519,416208060.541,548800592.960278
"48","ECU",2231869712.07213,2717171355.59063,3468993918.39595
"49","EGY",2237456709.13341,2615636556.30957,2958716994.77224
"50","ERI",0,0,0
"51","ESP",152946053420.554,170030755229.537,196179677502.442
"52","EST",2624028424.28581,2996889642.02261,3294146734.04692
"53","ETH",89640900.5981696,109073605.772265,122352028.188646
"54","FIN",24403153290.2121,26226817481.6256,28378999860.7904
"55","FJI",157399214.141682,181957406.651135,213389876.147675
"56","FRA",273345092435.258,327033633819.703,429176144130.547
