"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"1","AFG",12152567.1498939,13111189.9828368,13836210.6914556
"2","AGO",110224284.823738,117907915.305087,128388186.135426
"3","ALB",234169530.498173,285424459.178679,317540477.302121
"4","ARE",5604332861.04588,6205198167.59863,7302970559.77059
"5","ARG",6827587335.19834,7981420256.67074,9374001904.71429
"6","ARM",101167963.965475,114828781.982046,124036466.92991
"7","ATG",39231240.9074101,45548969.9103847,71313058.0320964
"8","AUS",43300753205.4491,54931867370.6295,87749908967.1645
"9","AUT",14508198123.1343,15402708705.1922,16763146925.5429
"10","AZE",1062617924.16019,1182414366.83619,1241011688.85118
"11","BDI",15.2606953645044,62.0091125105547,105.092427930045
"12","BEL",37776767454.0263,58573738856.5878,78526938751.4335
"13","BEN",6374254.92846552,7530376.70970603,8805259.6511263
"14","BFA",2954868.79633293,3345930.07760499,4165783.10376968
"15","BGD",1129810629.5105,1313509475.54969,1626963968.38066
"16","BGR",1552287489.50007,1852267803.46141,2020747338.25428
"17","BHR",526164358.869633,590977262.364546,719561953.060117
"18","BHS",191440778.056435,225646977.206664,247749699.029973
"19","BIH",274881769.800997,328539750.296923,375204186.022354
"20","BLR",852526676.806946,988684702.401098,1199213017.33568
"21","BLZ",19836362.0399904,24752047.2276439,27239492.5671994
"22","BOL",162769710.95369,186810636.712745,205070227.186645
"23","BRA",40852279719.1335,46576278965.8246,49677420528.9038
"24","BRB",57632216.3116341,84894114.1119242,115118843.940509
"25","BRN",361450332.160407,424181124.792034,539799588.107741
"26","BTN",33985304.1614407,36521912.9134636,39323779.6974083
"27","BWA",66300782.1442285,85997333.7117333,100397258.223164
"28","CAF",1015367.8787794,1229773.99043859,1405212.3489145
"29","CAN",108014666985.136,118518589272.154,173000192625.913
"30","CHE",21789388046.6018,27712836386.7862,41279313550.8467
"31","CHL",15488197790.0352,16528700604.0796,18754036409.6836
"32","CIV",90065776.2950292,101880029.446216,110736296.904253
"33","CMR",24824094.8224034,29967287.2451294,34621275.3012691
"34","COD",554533.782899033,635729.733616031,729611.379924044
"35","COG",15326172.8629751,17301711.4800169,19408682.3654021
"36","COL",3507202136.52965,4208982878.60604,5209281802.18321
"37","COM",4822139.7647689,5644549.36347052,6347862.65996424
"38","CPV",11971699.0356719,13735169.1292436,14923518.6375201
