"","iso3c","discqalys_averted_sum_low","discqalys_averted_sum_med","discqalys_averted_sum_high"
"1","AFG",205197.659422861,220858.237634265,232889.76297933
"2","AGO",270258.416205706,290519.248811935,317029.934480769
"3","ALB",86215.2800934372,104896.771745268,116451.450055658
"4","ARE",290704.291872141,320907.222286559,373213.781383073
"5","ARG",1552833.57296695,1810303.18318055,2122731.37912472
"6","ARM",47614.5900695529,54016.3678670613,58453.0667180083
"7","ATG",4773.42141101161,5532.93701778331,8565.48564627332
"8","AUS",1537378.60205783,1914009.88703176,3014970.22522458
"9","AUT",565037.925254356,599031.800419535,651523.103661866
"10","AZE",464212.434706994,515677.308236276,541700.940187703
"11","BDI",0.595828372162941,1.93308389823627,3.41951624602267
"12","BEL",1509877.55763547,2321080.13749919,3099554.73582769
"13","BEN",21801.4549065932,25849.8160536132,30436.4070153402
"14","BFA",20016.782121861,22670.8657752468,28415.1054221735
"15","BGD",2106555.63523724,2457727.79702044,3043673.99096951
"16","BGR",294620.927751828,351173.010494072,383062.162080678
"17","BHR",42783.5201005487,47978.9685083118,58066.037622878
"18","BHS",14097.5939934923,16577.2292742484,18220.1718765894
"19","BIH",88970.4829883768,106190.366240315,120999.704261113
"20","BLR",266543.883187627,308889.471424725,373801.005095688
"21","BLZ",14934.3506820701,18550.2688668788,20360.1777039318
"22","BOL",224979.965867131,258101.437064174,281961.983054979
"23","BRA",12719304.013902,14437245.4448706,15418675.1791546
"24","BRB",6943.44004683435,10178.4840118424,13719.5405792977
"25","BRN",24315.6821999277,28284.6895156146,36294.9190770536
"26","BTN",44791.9672522518,48102.8580929775,51570.5112925698
"27","BWA",21808.9129668337,28326.6126857102,33098.8126365411
"28","CAF",13724.7226581114,16651.8015738294,19196.5850533733
"29","CAN",4286033.57106899,4696222.62514582,6793891.21621
"30","CHE",486889.882740394,615477.692239882,913445.40449214
"31","CHL",2010507.43392522,2141821.51573192,2418238.89440262
"32","CIV",164191.102303131,185214.403245949,200952.479240218
"33","CMR",70585.8426110719,84837.6550476064,97682.4990510323
"34","COD",5912.09368013192,6789.73423223292,7777.16294972066
"35","COG",28584.3889897766,32021.3504741026,35975.0811661026
"36","COL",1358275.06008954,1628037.69867366,2007590.48708165
"37","COM",14657.9294631934,17120.4168909544,19254.4728068284
"38","CPV",16325.9080897607,18627.9643829909,20212.9749877773
"39","CRI",286430.571265097,330724.021840848,364262.071609107
"40","CUB",1270222.88597112,1786210.84747679,2127702.57181675
"41","CYP",69101.4666411701,88553.3875804926,107379.693725181
"42","CZE",674946.134847372,809308.860256848,919677.359160751
"43","DEU",9222207.18180691,9928927.80020535,10832219.7429945
"44","DJI",5839.95029871083,7064.02268985312,7998.34048596023
"45","DNK",504139.724104392,551279.331868164,608968.085171427
"46","DOM",202596.528014753,252958.961098378,314556.175878105
"47","DZA",200151.33663511,250497.566937879,329294.420324152
"48","ECU",534150.830514753,646746.533238724,826756.443403268
"49","EGY",1258291.84575379,1467208.88096528,1660921.35098201
"50","ERI",0,0,0
"51","ESP",5867848.49222535,6517384.90985856,7498306.71534088
"52","EST",109411.4943601,124847.077887491,137129.625799224
"53","ETH",320329.44322541,387202.079676126,432932.983795149
"54","FIN",533448.802464709,573059.654221284,617722.169183563
