"","iso3c","discqalys_averted_sum_low","discqalys_averted_sum_med","discqalys_averted_sum_high"
"1","AFG",193934.152589053,209082.449158929,220592.626929815
"2","AGO",254548.37466566,272579.042041347,297294.343446858
"3","ALB",84158.8039766748,102519.934118909,113993.271147701
"4","ARE",263683.836099423,291489.422792492,341656.329792498
"5","ARG",1482824.28714778,1732002.13826511,2032305.15983465
"6","ARM",46582.1311424023,52864.4981760298,57134.1229953599
"7","ATG",4622.12814047754,5364.04103937956,8370.66877196646
"8","AUS",1457114.45537776,1838214.12890391,2924396.6156539
"9","AUT",548238.473172959,581771.504694788,633031.216874283
"10","AZE",451109.707509345,501692.954578835,526774.744783805
"11","BDI",0.44316503360369,1.65664995547398,2.8586333029669
"12","BEL",1470888.02143245,2275012.71907297,3046557.02370439
"13","BEN",20751.3832101389,24543.0943683005,28756.5440603172
"14","BFA",18890.3224769197,21409.7826165312,26685.0378472833
"15","BGD",2027490.54712109,2360492.18299088,2922535.77021299
"16","BGR",290068.574398406,346008.264523179,377467.401979582
"17","BHR",40181.9452373668,45125.2143603406,54822.5262912828
"18","BHS",13697.0394655886,16124.683394672,17714.0038216943
"19","BIH",87049.8007492998,103999.38309743,118692.267642481
"20","BLR",260663.36764362,302232.011874202,366345.536401751
"21","BLZ",14418.8150385048,17967.9056767964,19758.3878001382
"22","BOL",215177.100833331,246836.77792336,270662.662744952
"23","BRA",12239082.5351941,13936361.3591442,14872210.8533373
"24","BRB",6679.35980181518,9825.05289001135,13300.1588264835
"25","BRN",23345.0242556696,27315.3514880256,34859.8041096676
"26","BTN",42401.9006761656,45571.0317874433,48988.6806843333
"27","BWA",21074.9546629405,27298.5625313093,31935.0027063793
"28","CAF",12642.3373578685,15289.6373411058,17553.0613837331
"29","CAN",4159417.37608333,4561989.38560397,6641956.58119557
"30","CHE",471811.775678457,599011.038702638,891313.480115105
"31","CHL",1935078.39010837,2064026.77432483,2338560.66865029
"32","CIV",153774.512888763,173836.520862949,188802.448649064
"33","CMR",66697.1764605916,80404.9735892396,92801.9099657467
"34","COD",5496.33881919182,6311.4133909137,7231.09582325743
"35","COG",26872.6836169199,30256.1187475833,33966.9553310237
"36","COL",1307771.61972923,1568892.40211998,1939660.58929186
"37","COM",13667.6939311771,15994.8165387429,17976.8680461158
"38","CPV",15588.5654748048,17860.2092498865,19395.503175822
"39","CRI",277493.031319049,321150.672309547,353957.036026239
"40","CUB",1233723.03687132,1744251.27714231,2080961.71026971
"41","CYP",66791.6808408772,85813.0786287636,104254.268343909
"42","CZE",656437.532237836,789191.387286638,897430.642749538
