"","iso3c","vsly_discounted_low","vsly_discounted_med","vsly_discounted_high"
"1","AFG",10610720467.9809,11447782128.411,12080842661.0317
"2","AGO",60009808580.7428,64192981502.6261,69898176755.7076
"3","ALB",74930659824.9286,91332820635.3094,101610967992.099
"4","ARE",1622088233958.17,1795954989438.18,2113814287449.17
"5","ARG",2140046015068.42,2501714953807.86,2938236995729.67
"6","ARM",33006345733.02,37463423950.126,40467788576.3861
"7","ATG",11046674098.1693,12825785448.5212,20081936168.1461
"8","AUS",12021920040027.3,15252159182306.3,24365731196121.4
"9","AUT",4241911135332.45,4503495635231.74,4901223269122.85
"10","AZE",322735105647.287,359122479093.203,376918796114.4
"11","BDI",12390.2136846185,50411.5157426959,85417.6990808014
"12","BEL",10952402532162.2,16982908289187,22768384979964.4
"13","BEN",3985850986.20336,4708760207.75437,5505804154.80117
"14","BFA",2255800318.86271,2554292990.59497,3180140861.76025
"15","BGD",756021623133.824,878943336648.627,1088701310956.44
"16","BGR",469519544269.289,560251295781.799,611206120754.171
"17","BHR",142607662973.509,160175065958.018,195030752345.998
"18","BHS",55583598157.4188,65517020420.6497,71934133630.2855
"19","BIH",87754056841.4804,104883372451.502,119780211796.922
"20","BLR",268053547133.017,310866980075.828,377066828908.499
"21","BLZ",12652431902.7584,15788134477.4962,17375092618.0157
"22","BOL",102445617655.505,117577278072.104,129069805122.458
"23","BRA",13938777720724,15892011637430.1,16950002280729
"24","BRB",16191505958.4628,23851399876.304,32345282203.8833
"25","BRN",102591433280.614,120398082437.952,153217803535.949
"26","BTN",20097241950.0603,21597270687.7258,23254936616.3864
"27","BWA",21136932877.7905,27416803399.1657,32007595092.1482
"28","CAF",863867079.633723,1046297213.83672,1195493867.44144
"29","CAN",29552756006261,32426861887541.9,47335488059153
"30","CHE",6234254513561.12,7929295867347.01,11811243577168.3
"31","CHL",4155361488002.32,4434553167779.6,5031751399363.92
"32","CIV",54467230447.2949,61611276769.9784,66967750797.2928
"33","CMR",15266819768.722,18430001072.8655,21292072416.9683
"34","COD",439968526.979215,504375237.835132,578865398.98339
"35","COG",8569303231.88697,9673938359.00053,10851996071.6293
"36","COL",1180412138284.91,1416627824030.58,1753319105341.92
"37","COM",3090641096.11728,3617788173.83402,4068610999.43989
"38","CPV",7530220861.41323,8639673991.7821,9387271766.99301
"39","CRI",499808356252.606,579004594073.43,638330065238.546
"40","CUB",0,0,0
"41","CYP",286294453098.592,368222952853.719,447708138744.816
"42","CZE",2346655179839.4,2823662640451.55,3212594637710.03
"43","DEU",68230118492387.4,73529676879382.5,80269542654491.6
"44","DJI",2640250169.31254,3197343745.2821,3626611600.45648
"45","DNK",4959911581657.61,5434437751476.66,6013840065933.1
"46","DOM",220338318838.556,276584819088.405,346332344318.497
"47","DZA",98375052671.6042,125730043190.76,165818156480.879
"48","ECU",428314849148.175,521546721552.508,665911855525.509
"49","EGY",615792021606.233,719868627809.222,814366405050.408
"50","ERI",0,0,0
"51","ESP",25063996558576,27863113174403.6,32150585223685.7
"52","EST",409285696970.269,467431057445.499,513790714523.841
"53","ETH",41472625900.3184,50471683341.97,56623835446.4471
"54","FIN",4035326830734.3,4336676960207.28,4693710658314.17
"55","FJI",29150642106.8474,33708965410.2983,39542576221.448
"56","FRA",45518659844387.9,54466609725427.5,71494447144576.2
"57","FSM",7207.75905139737,898964.094463435,203485780.965118
"58","GAB",11347122144.1292,13370806675.4259,14949259286.5261
"59","GBR",34563978764903.4,46683381684403.1,73351027569511.3
"60","GEO",95683670720.85,103111454775.937,119140170540.117
"61","GHA",45397933213.5821,50580008293.7304,56133180677.7955
"62","GIN",9708962605.41078,11195626828.1461,13014427019.9091
"63","GMB",1440776473.82376,1609329537.44524,1786002577.25837
"64","GNB",799434296.047503,949315985.243943,1124035413.93247
"65","GNQ",6282892108.58655,12687239559.4656,15580626839.8983
"66","GRC",3229071216791.46,3515424915826.55,3764447704987.13
"67","GRD",483284359.041376,659663212.02785,2992586824.9747
"68","GTM",289333297535.275,330243403115.911,392376895198.708
"69","GUY",39210306785.6161,44275882515.381,47468661337.334
"70","HND",57305841776.5309,74216182294.6964,82529367608.7275
"71","HRV",693443345893.904,808627783524.618,887965018551.218
"72","HTI",368756015.590327,450864073.341784,543888261.19808
"73","HUN",1345895818144.64,1614491057468.03,2159652589788.85
"74","IDN",4230349204483.08,5073748088698.31,5839718767282.5
"75","IND",14508431934777.9,16422724302697.7,17171163780631.2
"76","IRL",5382404247396.39,5727421869840.52,5959792944652.33
"77","IRN",1175482560492.65,1340980315973.01,1621612444256.98
"78","IRQ",105256241947.303,133812940810.121,165750731915.362
"79","ISL",320418513762.861,505477136506.24,639380576938.053
"80","ISR",3555360603351.15,3947265972460.38,4363345439897.91
"81","ITA",32073033701830.1,35187477165856.4,38503628647912.4
"82","JAM",19033002216.4866,23469096664.7832,27446448720.1302
"83","JOR",192523453927.142,214605270037.616,230867992151.02
"84","JPN",23309279650822.2,29336172174873.7,35796283939006.6
"85","KAZ",835973249822.616,924420955393.119,1029480533435.88
"86","KEN",77074459774.4326,88589229092.6152,97086723511.6272
"87","KGZ",6232123002.62507,8693016691.23302,11939946233.9196
"88","KHM",172871105930.3,182525538160.57,193256288917.871
"89","KOR",28452212039743,32696105760319,37306565103361.2
"90","KWT",766912966656.599,863134510056.234,983123010902.911
"91","LAO",93314381354.3561,98715225227.0569,104800755349.511
"92","LBN",117423270352.253,138409925183.262,157676218062.067
"93","LBR",1451603976.44712,1643882815.87898,1872818009.17914
"94","LBY",108601298295.828,125765985692.779,144229594492.288
"95","LCA",7110889138.94066,7920095677.80337,9060962791.24225
"96","LKA",731684101254.494,780231546874.145,865960297208.609
"97","LSO",2274624765.01015,2641615504.91428,3014404690.67607
"98","LTU",848283106891.843,933131728217.697,967320019337.166
"99","LUX",609775919468.962,719487903038.231,973334219341.037
"100","LVA",413903539489.312,484705270540.918,519293153300.404
"101","MAR",807939542464.201,934194223940.795,1079858922039.97
"102","MDA",73349762496.562,84034107027.586,90946287205.1148
"103","MDG",2725545898.1972,3470379509.06584,4001442291.38198
"104","MDV",38027500458.5169,42215131961.9031,49430974394.3314
"105","MEX",5681245068816.83,6766536324996.54,7598768585087.22
"106","MKD",72515551491.8203,86605952425.972,100099232088.504
"107","MLI",3370006555.32327,4785673558.58963,5813107983.8146
"108","MLT",213157044591.891,243094391093.847,285095108952.814
"109","MMR",124290936882.527,147652827278.179,176206143349.828
"110","MNE",34564055279.8708,40736116038.9563,49557117892.9736
"111","MNG",78914876394.0324,84623309864.8747,91690722795.2658
"112","MOZ",7098779735.27993,8924362169.05828,11278026294.1902
"113","MRT",12401541351.3296,16289502814.9539,19360843571.2562
"114","MUS",97903510640.0061,109948600922.4,121125237236.038
"115","MWI",8816228925.13213,9456624813.77509,9928287358.53027
"116","MYS",3184642267706.13,3612734585440.13,4341635836440.1
"117","NAM",8552992271.62186,11449239152.0829,13534057950.1966
"118","NER",7200843500.61084,9209141239.94373,13541797876.2986
"119","NGA",262174880646.561,286148277693.484,302238599118.887
"120","NIC",11082795218.434,13409477292.9519,15655772025.0574
"121","NLD",11255715551475,12589287499790.3,14394453841234.4
"122","NOR",5679782324627.42,6308004416454.26,6798341982998.73
"123","NPL",88865658874.9978,100752450740.604,132319839376.86
"124","NZL",2406006251458.53,3498188153535.04,4442535669043.43
"125","OMN",124267250875.771,164910151092.014,303140849052.94
"126","PAK",622798037936.637,716933062387.397,867400012415.231
"127","PAN",325389085023.192,407911829939.101,506209918290.49
"128","PER",464710206492.808,649424735769.335,873119370383.898
"129","PHL",1679098615015.04,2016030868270.03,2493326304232.17
"130","PNG",4390483161.0768,5637468899.86421,7071614299.84874
"131","POL",4929135968070.87,5439542008101.02,5842656787283.21
"132","PRK",0,0,0
"133","PRT",5646156803250.59,6036793960345.06,8106773831216.86
"134","PRY",43417046756.1958,53720693478.2663,59714008432.7175
"135","QAT",891166560500.201,1207415613814.27,1551945822172.03
"136","ROU",1552818321709.58,1831639709999.91,2061116560058.09
"137","RUS",14073014122114.4,15128583059636.6,16221851796417.5
"138","RWA",22203185984.4358,25544335012.4989,29263627136.8564
"139","SAU",4899518271340.38,5451501444388.58,6144208632440.65
"140","SDN",8499081779.9616,11514490100.0147,14699357831.0508
"141","SEN",19926152553.8582,22898930902.118,25641457048.5755
"142","SGP",12033505037191.3,14479442402123.5,15121251870053.3
"143","SLB",68814589.7318482,911828018.526777,4019474928.46099
"144","SLE",1365939950.12712,2023129928.61611,2465389927.48878
