"","iso3c","monqalys_averted_sum_low","monqalys_averted_sum_med","monqalys_averted_sum_high"
"1","AFG",860069277935834,925943793047109,976248009819387
"2","AGO",8184469268694941,8804499275512586,9610551939293836
"3","ALB",1190973201675582,1451640721019654,1611299020134542
"4","ARE",114908215738328480,127142592549609984,149791445718464544
"5","ARG",573541386015326080,667881324106012032,783550746460956416
"6","ARM",493502245522993,560389031502226,607517771554248
"7","ATG",7071619595844.69,8219139943696.74,13062244268314.5
"8","AUS",2297024268658897664,2899734568239452160,4643108040003985408
"9","AUT",248478337374863040,264783157693442560,288772297102684224
"10","AZE",19505619268203780,21666165750907840,22797813427914680
"11","BDI",375539377.767186,1559103628.01712,2644666419.35316
"12","BEL",833602817478279168,1311904277995803392,1754410828331648256
"13","BEN",171235199380189,202849709560630,237008958137219
"14","BFA",119520130486365,134706488294295,167009937721205
"15","BGD",408475419174856960,477169201052809216,592593902558423168
"16","BGR",17545908929682976,20841901386186264,22688315846214328
"17","BHR",1585513431852174,1786128982917177,2162004064333904
"18","BHS",147586530184150,174084589372451,191502041517570
"19","BIH",1564664786029089,1860786044752674,2109767276153668
"20","BLR",13732899191715082,15922216963178514,19269173046300664
"21","BLZ",29241944727405.3,36404364414818.9,40319324530765.8
"22","BOL",4146351135025747,4754968713372521,5182031564189450
"23","BRA",16524304316123553792,18772592907827470336,20024232678697795584
"24","BRB",29327299298274.7,43526202070942.6,59868628852566
"25","BRN",316557656970605,374675303499232,482022809030265
"26","BTN",58411971831906.8,62889663024149.1,67969138166439.1
"27","BWA",292692143137951,381419341199487,447399868016182
"28","CAF",9833388440744.53,11883348056791.8,13598566517839.1
"29","CAN",8095047432960203776,8884343253175527424,13109044699225706496
"30","CHE",378643134798757888,482132489579977344,720196532278348032
"31","CHL",596893295835874816,636594436183927296,727281522747147264
"32","CIV",5309751697212248,5959332317437060,6469518104410467
"33","CMR",1420503282968560,1699746634306615,1950095069253905
"34","COD",100001938515677,114564328771235,131147725954114
"35","COG",190810768265666,213518464216609,239840921846406
"36","COL",342310771790131392,411904190777342336,508200620031423296
"37","COM",8839501819128.26,10367708514413.4,11677300068953.8
"38","CPV",15471869377121.7,17740752205369.7,19333372144515.4
"39","CRI",15247597074407600,17633067671077444,19505142850899036
