"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"1","AFG",22743541.9104995,24440105.7991761,25753677.5500409
"2","AGO",250929617.839704,270889463.155598,295562035.207928
"3","ALB",435158457.430163,529672653.987123,587093272.474251
"4","ARE",13109917467.6251,14454585777.8289,16902014120.6046
"5","ARG",13187998822.652,15333540391.4135,18001087720.9464
"6","ARM",169849610.510409,192826891.854481,209320590.605724
"7","ATG",78831293.3032358,91471676.3721225,144255243.362005
"8","AUS",93674126391.4915,116794522386.487,185263197866.623
"9","AUT",28586511028.584,30423836449.2935,33133609607.6825
"10","AZE",1974721350.50418,2190298839.79559,2306345466.48174
"11","BDI",39.7217616266636,138.641665219008,243.305672090346
"12","BEL",73368042480.8297,114690134014.498,153015336171.563
"13","BEN",13393052.9602165,15911328.6002884,18682857.5724708
"14","BFA",5763802.0102848,6496357.80024767,8100040.72416033
"15","BGD",2524374617.45028,2955390863.58781,3670244344.50695
"16","BGR",2596259632.39504,3081782303.93947,3353983410.30266
"17","BHR",1159477706.29901,1303549274.28773,1573362837.13882
"18","BHS",376987620.034996,444007400.817516,488770518.542682
"19","BIH",492204265.461602,584641223.509191,661946618.517337
"20","BLR",1507160156.58821,1745484726.37276,2108630972.79181
"21","BLZ",45979793.6563562,57081967.1667872,63077199.0184531
"22","BOL",362316930.829326,415008021.573955,451194883.088253
"23","BRA",82712058187.2368,93698051622.8276,100067664760.479
"24","BRB",115635120.97527,171162993.078445,234014347.42409
"25","BRN",727243703.633644,856949987.09879,1106283168.92913
"26","BTN",79298333.4387922,85333603.5782722,92046577.7956039
"27","BWA",126076373.670716,164270652.101448,193003731.068659
"28","CAF",2092978.81394193,2533221.50744862,2918323.01984805
"29","CAN",217410932510.53,238371535097.132,349475490275.657
"30","CHE",44714466997.9692,56697431768.5193,84479262731.3405
"31","CHL",31646042516.255,33711059830.5026,38375243299.3703
"32","CIV",193433510.605114,216799070.997913,235020466.413397
"33","CMR",55774319.4514357,66512315.1529982,76186018.7120483
"34","COD",1082142.00629951,1240878.48397122,1419234.0010968
"35","COG",34366198.719306,38301964.2444691,43066019.1920402
"36","COL",6921873772.01793,8321184569.79558,10241307977.1033
"37","COM",11544038.3068866,13493421.6486005,15213288.2433544
"38","CPV",32144985.2070698,36648285.7513045,39898379.6473091
"39","CRI",3098243192.33627,3574951632.7688,3951835216.28458
"40","CUB",0,0,0
