"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"1","AFG",31359626.2725218,33660112.6006329,35459262.021194
"2","AGO",356580598.121369,385322313.050436,420452692.670064
"3","ALB",575986905.4224,700590726.202531,775853106.72285
"4","ARE",18187101442.1018,20054879796.4359,23368460862.1442
"5","ARG",17620879117.1899,20459995865.7807,24043233692.977
"6","ARM",239791368.903333,272185003.803772,295662759.790896
"7","ATG",103043712.238871,119430520.905489,187555960.96843
"8","AUS",124973647504.049,154787754492.522,244262283607.775
"9","AUT",37597867069.9764,39979603415.1152,43509969161.0008
"10","AZE",2635125836.66242,2920063317.75296,3076401352.93239
"11","BDI",63.4131976135688,207.003856485388,367.232900975708
"12","BEL",96874455471.8182,150860556630.208,200997141610.195
"13","BEN",19537343.3208366,23250224.2547828,27365141.0490205
"14","BFA",7903766.7342704,8914446.23106105,11132781.8911887
"15","BGD",3507120725.71779,4107649765.1782,5104674020.9325
"16","BGR",3428728366.99222,4068591057.75578,4427531443.74869
"17","BHR",1534949265.66529,1722133136.35998,2075563155.49835
"18","BHS",489387756.039688,575919001.449189,634172408.89741
"19","BIH",648866741.497543,770248261.868869,871489352.20937
"20","BLR",2006259293.00105,2322106776.66047,2802480700.71368
"21","BLZ",63703762.3344728,79000863.3091847,87145196.6926049
"22","BOL",504445849.848761,577445283.992343,627188060.898078
"23","BRA",107033067004.607,121065112768.798,129380609001.45
"24","BRB",143640508.319788,212285167.987156,289234649.020357
"25","BRN",977369371.912016,1149093925.67649,1485739468.98202
"26","BTN",111850269.990981,120325284.68228,129575515.947666
"27","BWA",156717898.822849,204066144.079142,240070168.372202
"28","CAF",2746980.8575317,3323309.01952768,3846012.10958861
"29","CAN",286514538838.699,313962724015.206,458624448167.152
"30","CHE",58936418594.2477,74555345790.4827,110927720725.103
"31","CHL",41932777195.0449,44640292820.1864,50713839369.2945
"32","CIV",293166998.590132,328200459.261344,356025663.795521
"33","CMR",78260812.3549492,93114900.0642397,106637960.030925
"34","COD",1555832.98049538,1783118.09703106,2040674.55906405
"35","COG",49332986.8970937,54870145.5235914,61727469.082679
"36","COL",9214439530.1971,11078243112.4797,13607735613.1989
