"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"1","AFG",16295501.2418815,17539020.1832531,18488826.6257055
"2","AGO",158070617.694498,170209531.396723,185921108.519378
"3","ALB",322492592.287763,392913383.611996,435977879.869351
"4","ARE",9226153323.39473,10217648626.7293,12007132073.4723
"5","ARG",9595393508.72836,11171906090.0183,13104645695.0978
"6","ARM",134515651.968148,152741807.897396,165656793.593871
"7","ATG",56123715.5197045,65204559.6259904,103406759.908652
"8","AUS",66543802578.7133,83704798283.8855,133675241710.173
"9","AUT",20515807561.2225,21857876373.7332,23826301090.3962
"10","AZE",1466886009.91158,1629012883.67081,1714128244.65587
"11","BDI",24.6973359381245,96.64720116749,166.174347906399
"12","BEL",53139519727.5254,83480191167.4873,111561177183.029
"13","BEN",8753260.95434584,10377444.33096,12143191.873908
"14","BFA",4110036.48030122,4632204.59665847,5752434.86480654
"15","BGD",1597524152.31021,1867351580.18035,2319180056.62081
"16","BGR",1936317255.50089,2299496767.14887,2502974272.23287
"17","BHR",808278641.053945,910437909.983599,1100562988.8538
"18","BHS",267459510.926004,315344838.720078,346987402.121546
"19","BIH",363951792.225461,432663864.776078,490341602.619892
"20","BLR",1123479775.89884,1302119774.68526,1575081762.14785
"21","BLZ",29192412.5305438,36310820.0268703,40194489.8869839
"22","BOL",227750980.193713,261154181.478327,284326155.406696
"23","BRA",58950489582.7132,66915627825.7014,71402226421.8875
"24","BRB",77305573.5015669,114655141.060889,157452742.625878
"25","BRN",527096688.447819,623803471.09867,802471294.593324
"26","BTN",49988809.2322517,53832773.1350734,58137657.6204437
"27","BWA",86331627.845219,112468162.765098,132032436.715639
"28","CAF",1380637.23089498,1668769.03027376,1913928.55818683
"29","CAN",156592238239.421,171812912826.678,253071591221.055
"30","CHE",32173786885.7336,40919913034.8983,61083030239.2396
"31","CHL",22691404387.9071,24192568569.4329,27611904242.9994
"32","CIV",128998654.914935,144745322.869199,157036712.867947
"33","CMR",34776116.7606352,41575471.7520055,47667180.9753934
"34","COD",795975.439579364,912692.913826234,1043841.91522073
"35","COG",21801534.7315463,24366721.0391515,27378402.64965
"36","COL",5080004902.04307,6108506394.49303,7534636835.48117
"37","COM",7190106.90727243,8425797.34614833,9493007.22090193
"38","CPV",17475343.1693742,20004896.5550354,21795308.9630287
"39","CRI",2257972470.04737,2609523786.84033,2886134771.10303
"40","CUB",0,0,0
"41","CYP",1619500917.68979,2072444365.13796,2513419384.32672
"42","CZE",12216141811.3532,14638950256.642,16598571811.2535
"43","DEU",324745017506.991,349331548207.957,380061355100.722
"44","DJI",5045162.90329787,6149575.33586673,7038988.82626824
"45","DNK",23955762216.4088,26208418586.8107,28930686537.1459
"46","DOM",1007270421.12132,1265242783.37213,1584465872.94174
"47","DZA",223121181.301606,283742970.566565,374217932.009171
"48","ECU",1960710946.6326,2385163460.83565,3057687276.79403
"49","EGY",1475077320.99297,1719512356.8422,1945932973.25621
"50","ERI",0,0,0
"51","ESP",123528864231.66,137361975203.66,158016888978.37
"52","EST",2013631191.16979,2292171775.41952,2514743931.97585
"53","ETH",68642983.5376878,83083009.3323947,93671528.1179394
"54","FIN",19887233623.8149,21309067572.8498,23306590228.2476
"55","FJI",125543887.655931,146510307.77837,173212343.964684
"56","FRA",217468599530.309,260006763158.521,344937275934.611
"57","FSM",12.2182684858949,1754.9945875538,395584.270468914
"58","GAB",63457392.16305,74499678.2586261,82827401.1926005
"59","GBR",173470780489.323,236883884934.441,371841076180.047
"60","GEO",397987797.153288,427078628.977352,492731889.389284
"61","GHA",104435970.156539,116890418.220686,129914982.470579
"62","GIN",20702128.7888777,23735788.1601628,27585779.6837263
"63","GMB",2620312.07675343,2923496.30037733,3244177.52286644
"64","GNB",1431966.61390447,1684744.52673956,2010254.87780762
"65","GNQ",40156850.7548298,81372818.7615698,99908425.713486
"66","GRC",15426087281.286,16752689590.0607,17919830256.9414
"67","GRD",1984541.69033279,2745024.80789953,12683746.4833234
"68","GTM",1237031072.21847,1410688170.69535,1693758954.67499
"69","GUY",169031719.306258,189896448.555198,203706269.49828
"70","HND",140884566.955513,181563579.119904,201723660.626369
"71","HRV",3143019382.75592,3664456637.51817,4017103763.26693
"72","HTI",960327.85711465,1179226.77888911,1417793.30230559
"73","HUN",6336747800.60526,7676628689.5726,10326203073.4441
"74","IDN",9624153603.19114,11620144620.5209,13345666131.5415
"75","IND",33041258568.4672,37288700656.3562,39076654066.9769
