"","iso3c","undiscqalys_averted_sum_low","undiscqalys_averted_sum_med","undiscqalys_averted_sum_high"
"1","AFG",251191.401855985,270430.679693111,285122.504008267
"2","AGO",351614.949319319,378252.207309587,412881.229329159
"3","ALB",114519.651680057,139584.492331038,154936.653720348
"4","ARE",407011.60271455,450346.479008452,530570.038034851
"5","ARG",2026764.45655615,2360140.2826396,2768889.64171919
"6","ARM",61306.4011949037,69615.559203972,75470.2305284714
"7","ATG",6494.10331589257,7547.90939171983,11995.4930643759
"8","AUS",2166717.03923263,2735236.35948545,4379710.49872638
"9","AUT",762389.175077804,812416.145814172,886020.389943699
"10","AZE",613408.581275746,681352.989218547,716940.805555571
"11","BDI",0.563710693089672,2.3403228496933,3.96982800873889
"12","BEL",2040596.81546134,3211442.71077048,4294665.36609654
"13","BEN",27660.212567982,32767.0134768423,38284.8747589328
"14","BFA",25352.9979421608,28574.3774427236,35426.6899654126
"15","BGD",2803677.04758718,3275174.64700755,4067422.04096239
"16","BGR",359959.896409547,427578.228863243,465458.008156775
"17","BHR",59346.3048543472,66855.4128901703,80924.5445170472
"18","BHS",18827.7711732443,22208.1568650139,24430.1198246421
"19","BIH",114069.647079787,135657.943676623,153809.56404221
"20","BLR",339832.625259136,394009.212112096,476832.573477817
"21","BLZ",20794.2185164692,25887.4816860407,28671.4461895357
"22","BOL",293191.228546521,336226.979668306,366424.876040345
"23","BRA",17270753.1767228,19620603.2275641,20928783.0537961
"24","BRB",8760.41139139816,13001.7916947782,17883.4679884165
"25","BRN",33236.4315547846,39338.3947783538,50609.1631252726
"26","BTN",60293.0327226325,64914.9205498849,70157.9717834439
"27","BWA",26932.7982152496,35097.2528397441,41168.6157258069
"28","CAF",16281.5329590741,19675.7327564857,22515.6882889897
"29","CAN",5930091.86640853,6508296.84450308,9603135.74331175
"30","CHE",684561.074945001,871662.80066901,1302066.4234944
"31","CHL",2772700.37867771,2957120.89009061,3378382.3132113
"32","CIV",211258.763820762,237103.587958709,257402.318449537
"33","CMR",90203.6704054337,107935.959748945,123833.387078581
"34","COD",7530.92661951352,8627.58828474849,9876.44754828092
"35","COG",36772.1793653263,41148.3027679571,46221.0465239669
"36","COL",1852963.10922368,2229679.38184834,2750941.77164885
"37","COM",19486.0925055187,22854.9222926724,25741.8295752751
"38","CPV",22126.2750813279,25370.997768772,27648.5988791881
"39","CRI",404690.067361072,468003.404652396,517690.593192982
"40","CUB",1701913.29282141,2406040.92818018,2886963.80684275
"41","CYP",98265.6648274421,125833.93198838,152685.421626107
"42","CZE",906500.656982915,1086991.48176942,1232866.98537867
"43","DEU",12572087.2460473,13530047.8420859,14720055.5245906
"44","DJI",7153.52237523888,8711.39632032742,9968.00911401269
"45","DNK",687591.30043397,752538.706205873,830995.387131376
"46","DOM",265862.559803059,334316.778028828,419253.031743243
"47","DZA",258147.071833305,329789.694447397,434589.332100515
"48","ECU",736117.374695596,896611.727173928,1148972.00907979
"49","EGY",1635772.9493531,1907755.47053128,2158664.40240613
"50","ERI",0,0,0
"51","ESP",8065257.34160518,8972195.46005981,10324753.3248644
"52","EST",143547.776105594,163428.631037074,179331.224372919
"53","ETH",407947.682947135,494763.666662353,557746.644292213
"54","FIN",739919.891992137,792905.542714331,867892.051084314
"55","FJI",60864.9576369032,71102.2292719212,84190.7515702928
"56","FRA",9914107.56856234,11860721.9992909,15750330.3554863
"57","FSM",0.0147913950856692,2.0038986787667,469.824336812527
"58","GAB",16524.9664645199,19433.5381663352,21623.1307574026
"59","GBR",7368253.98802263,10073139.5663305,15820845.9862714
"60","GEO",179691.136230931,192842.690970648,222539.924918841
"61","GHA",185331.364786156,207610.75316702,230569.73495127
"62","GIN",94864.0311954792,108858.82593658,126578.714661757
"63","GMB",18600.7360525351,20759.9142814122,23033.2700741588
"64","GNB",9829.08217566493,11581.2178115375,13781.3902543207
"65","GNQ",11943.8195340241,24451.2987447792,30133.6370496509
"66","GRC",1513932.74148211,1644412.22836012,1759459.77648721
"67","GRD",499.714286366928,688.186310799523,3196.05877127563
"68","GTM",556008.483996329,634649.29387062,762918.657901829
"69","GUY",38186.0503155495,42939.9441131682,46062.3075869717
"70","HND",218988.38444585,282911.142981928,314420.961927713
"71","HRV",352236.387055182,410655.241034019,450197.727147676
"72","HTI",2276.27478519676,2793.08346810276,3358.12050558863
"73","HUN",671049.392299787,813743.008428177,1095291.02554832
"74","IDN",9579957.50641529,11559298.5415113,13291459.0779845
"75","IND",63748135.1998783,71984231.8344965,75437219.9043693
"76","IRL",691058.921734981,733131.847697878,762715.271234335
"77","IRN",3268790.32150545,3737775.22382772,4538577.15608117
"78","IRQ",208952.911409253,270836.84397443,332700.424835733
"79","ISL",50173.2004208563,78295.7241856239,98527.2672464766
"80","ISR",727160.80405349,805598.142275212,890491.530159058
"81","ITA",8460715.01790958,9253395.09615365,10094756.0992852
"82","JAM",33373.9231698103,41508.5219359924,48702.7156335955
"83","JOR",465282.330650883,519435.802378156,557127.804544087
"84","JPN",5218637.76414685,6583874.38217438,8042190.44071401
"85","KAZ",885488.390036361,971723.190286845,1083979.09247157
"86","KEN",346468.994501465,396492.851873519,436500.716430248
"87","KGZ",46313.1130664674,65262.6407242967,90293.1047704986
"88","KHM",1068507.58014124,1128046.17553955,1192730.11655311
"89","KOR",8048766.00491954,9229506.89649213,10479856.4816643
"90","KWT",235508.171611092,264810.048013129,302224.576003831
"91","LAO",366137.240950753,387348.296218007,411258.962833859
"92","LBN",226043.605842919,267245.760969049,306062.723958811
"93","LBR",21883.5559129634,24769.0622814897,28176.6587269585
"94","LBY",135127.991883276,156963.385374494,179990.400679918
"95","LCA",6299.59164478773,7013.69804661137,8018.37292214743
"96","LKA",1737985.33817521,1851214.71117597,2053462.30654911
"97","LSO",16700.4570786991,19546.8153385538,22438.1588999912
"98","LTU",344171.385070752,378117.444315606,391931.358214085
"99","LUX",70133.720322707,82778.4969646792,112908.587499686
"100","LVA",189927.342822541,221880.31168764,236712.622987312
"101","MAR",2137408.34343177,2491936.45509492,2900341.58939314
"102","MDA",128648.889125513,146671.029086397,157778.883503667
"103","MDG",51526.5119191203,65915.6813269827,75962.6813500969
"104","MDV",42928.4554108656,47525.936572093,56618.3821137466
"105","MEX",5542840.17300506,6576043.02145796,7386250.6173162
"106","MKD",103207.88402862,123206.656239562,142930.334863867
"107","MLI",39247.0344815463,55883.0427509747,67841.9731757471
"108","MLT",66656.2511087947,75743.5393350845,89423.4289912291
"109","MMR",923373.598520661,1111804.56600112,1326763.05155117
"110","MNE",33357.5225613594,39267.4707288714,47581.4707467247
"111","MNG",204279.480671014,219126.161130638,237543.50248846
"112","MOZ",143534.906384001,181075.801631408,228679.267047516
"113","MRT",65684.2220491895,86231.4558917882,103067.761741697
"114","MUS",89854.0535372243,100998.719389107,111431.974707796
"115","MWI",129846.180035462,139025.482678416,146327.007134617
"116","MYS",2866425.99422597,3283170.2830473,3990410.21101649
"117","NAM",16119.4962338988,21604.6806967968,25543.5079613108
"118","NER",112849.251018301,148967.120018051,228347.753066859
"119","NGA",1152757.32747572,1255851.64504362,1324634.80038104
"120","NIC",53760.827163062,64812.0637267749,76018.1405941394
"121","NLD",1863169.22118141,2088428.87552717,2384757.28211019
"122","NOR",687486.899719087,760880.885730412,819138.733229889
"123","NPL",680487.428463285,770431.060273655,1019265.22260709
"124","NZL",542875.00585515,782260.453099285,991486.308619794
"125","OMN",66443.2077472113,89596.6664891041,170630.279632921
"126","PAK",3943790.9452875,4581546.90243825,5554474.41391125
"127","PAN",223591.801673532,280493.476700799,349919.120359127
"128","PER",706070.654983452,984530.210838097,1339921.52419448
"129","PHL",4439228.9735285,5402705.82227587,6800247.94257505
"130","PNG",16755.9845241559,21587.9092944748,27149.0883643191
"131","POL",2757270.78209455,3031693.47785582,3256600.41948254
"132","PRK",0,0,0
"133","PRT",2217252.1449972,2370773.68108089,3201188.06708172
"134","PRY",68261.5047769022,83932.3905836075,93289.2825252753
"135","QAT",151875.80518948,207094.932946249,269321.533002204
"136","ROU",972367.284682279,1146062.19498285,1295286.21146684
"137","RUS",10522240.5997896,11278137.8055921,12108927.6568515
"138","RWA",254127.118923929,294138.04191863,338558.524661286
"139","SAU",2069944.08638159,2305425.37991536,2603050.47313463
"140","SDN",109154.278502244,147892.815658489,187658.28105106
"141","SEN",119164.856540032,137153.605850818,153867.131275389
"142","SGP",1928021.15103698,2344443.35122237,2452724.9759233
"143","SLB",274.436802440478,3780.62694150974,17113.1971310889
"144","SLE",24909.3088363932,37369.2580040879,45604.018068866
"145","SLV",356680.50174586,417198.92308654,442921.198144714
"146","SOM",39817.0811566289,45268.6643754769,51034.3112855772
"147","SRB",564928.055585788,666733.994586302,774501.542642719
"148","SSD",9656.42156231605,14333.1508965684,17352.0037997496
"149","STP",6134.68951631828,7340.40213484775,10582.712152112
"150","SUR",29728.164599098,34075.7088597586,36149.0090409418
"151","SVK",364897.36272793,430306.251016153,463830.486091763
"152","SVN",191031.782675548,212670.801549593,237331.363936049
"153","SWE",745144.10266233,840894.515377081,963117.285699074
"154","SWZ",13235.7564194893,15946.9718227333,18674.8407278869
"155","SYC",6254.57684125082,8037.7824052647,10610.0496631081
"156","SYR",39572.0186486867,51052.5387350761,63490.9839474091
"157","TCD",8467.88615248892,11521.5718647423,14096.2253771875
"158","TGO",81146.9095737391,87535.3288435121,95997.8577147537
"159","THA",6239084.15058396,7695212.89370126,8990507.15861258
"160","TJK",112057.77058623,160599.844407636,202527.745220798
"161","TKM",159997.348191103,234685.932990452,283058.43901493
"162","TLS",52222.605467494,57071.4943752201,59982.9396766209
"163","TTO",82213.0515112813,97589.2691298008,118146.372642422
"164","TUN",460524.228936448,531081.410603844,599082.189758556
"165","TUR",5919826.00411097,6886629.10657496,7567344.90924595
"166","TZA",74180.4080888632,101571.130495869,119934.765503133
"167","UGA",307425.459066226,347642.417623493,379436.577479764
"168","UKR",1545857.24452618,1826166.25977435,2082101.53637644
"169","URY",575734.091797187,778764.730098629,953801.019914855
"170","USA",31628538.7658531,34597205.4439031,37668319.8496999
"171","UZB",585513.39550874,814678.137218432,1012368.5536283
"172","VCT",1792.48355695796,2454.56754599362,4488.14787196714
"173","VEN",539570.279546984,697864.747247625,989748.589616218
"174","VNM",7710513.03909963,9474476.45156976,11696320.8765953
"175","VUT",7.22896616089856,50.7328937110683,2845.75199994123
"176","YEM",80831.3290131125,93490.922217918,104682.221266456
"177","ZAF",1240179.42469091,1558590.44765206,1909933.48379483
"178","ZMB",73774.0433740462,85929.9971450361,95169.7133300499
"179","ZWE",181736.878439517,208220.852724599,237286.872219592
