"","iso3c","undiscqalys_averted_sum_low","undiscqalys_averted_sum_med","undiscqalys_averted_sum_high"
"1","AFG",275449.521667072,295656.007968061,311458.965662597
"2","AGO",385414.390037875,416480.215229683,454451.304807275
"3","ALB",118841.676472575,144550.814678659,160079.479292644
"4","ARE",466187.002679122,514063.460367993,598999.942966637
"5","ARG",2176853.91208857,2527593.64306015,2970260.84656344
"6","ARM",63448.3640528587,72019.661466766,78231.8333886658
"7","ATG",6816.35937555314,7900.34960128537,12406.8592368295
"8","AUS",2339735.64200228,2897910.34641858,4573037.45524003
"9","AUT",798328.345603819,848900.56643061,923862.027410397
"10","AZE",641131.982451191,710457.905936352,748495.297939636
"11","BDI",0.896040019822346,2.92500215489496,5.18906770598305
"12","BEL",2123119.86943014,3306290.01974688,4405093.40643893
"13","BEN",29908.4836616465,35592.2983403873,41891.5642993489
"14","BFA",27790.0504789583,31343.6515881708,39143.4339004347
"15","BGD",2972631.12935122,3481638.79016222,4326715.29911725
"16","BGR",369208.484500059,438109.461497598,476760.477779347
"17","BHR",64963.1399977675,72885.2598158404,87843.359295922
"18","BHS",19678.483302093,23157.9403315862,25500.3338459569
"19","BIH",118084.16993998,140173.815105058,158598.199269186
"20","BLR",352458.467119022,407946.369566304,492338.181485331
"21","BLZ",21896.8598163118,27154.9240713013,29954.3713858527
"22","BOL",314176.869104706,359642.073491901,390622.663209316
"23","BRA",18297638.0412597,20696460.214229,22118020.3400541
"24","BRB",9323.32707714381,13778.8711410319,18773.4592866809
"25","BRN",35315.9113119541,41520.9442146804,53685.1724917385
"26","BTN",65451.8133887017,70411.1673543751,75824.1575119596
"27","BWA",28486.4718963399,37092.919966187,43637.3391670769
"28","CAF",18615.5213467043,22521.1361866937,26063.3489051911
"29","CAN",6199818.4186248,6793763.02159289,9924062.88526637
"30","CHE",716701.534330278,906636.880812751,1348946.36524795
"31","CHL",2934057.87650808,3123504.1301813,3548473.28993576
"32","CIV",233706.862036751,261634.835509658,283816.531500293
"33","CMR",98559.8703382217,117266.767373487,134297.398627958
"34","COD",8426.67419611957,9657.69169650925,11052.6643059511
"35","COG",40455.870800031,44996.657565287,50620.0550806075
"36","COL",1960995.78155563,2357646.16387424,2895966.92740318
"37","COM",21650.4821690617,25255.4198998698,28493.3071378667
"38","CPV",23772.4808382173,27020.2269275584,29399.0938087037
"39","CRI",423768.242384515,488543.310554134,539639.697193007
"40","CUB",1779374.03829973,2494470.85163444,2983172.69155363
"41","CYP",103201.515422596,131678.793836616,159341.591711694
