"","iso3c","undiscqalys_averted_sum_low","undiscqalys_averted_sum_med","undiscqalys_averted_sum_high"
"1","AFG",254458.13577239,273875.980423025,288707.434399407
"2","AGO",356561.762898826,383943.654185589,419384.444627756
"3","ALB",114930.902891369,140027.681306661,155375.139064708
"4","ARE",416226.768674474,460956.882276252,541687.267576227
"5","ARG",2047507.11003468,2383910.27227226,2796326.71768913
"6","ARM",61478.1256884047,69808.084980429,75710.6628759728
"7","ATG",6534.16452925085,7591.3954859953,12039.0600733241
"8","AUS",2192646.53927311,2758108.63168836,4404655.95237967
"9","AUT",766689.695304403,816843.720480883,890405.092205806
"10","AZE",616457.818622991,684591.523806945,720361.194667274
"11","BDI",0.620405067192259,2.42780895415126,4.17435336899451
"12","BEL",2049724.69325742,3220040.56700602,4303194.70054363
"13","BEN",27964.8287565564,33153.7532308931,38794.9454589546
"14","BFA",25690.8439505738,28954.7905499762,35957.0790079104
"15","BGD",2825863.23814274,3303161.4423409,4102401.61637691
"16","BGR",360143.867161424,427693.166444441,465538.811497246
"17","BHR",60206.967523511,67816.5955332938,81978.6107933002
"18","BHS",18928.1965484994,22317.0567656494,24556.4112656546
"19","BIH",114403.930331961,136002.755585652,154133.068563754
"20","BLR",340915.746653693,395123.387836875,477952.684598746
"21","BLZ",20941.1315274429,26047.5100252988,28833.4545327872
"22","BOL",296028.353892959,339445.487301689,369564.177867285
"23","BRA",17407058.7101572,19759026.0985819,21083840.9682386
"24","BRB",8831.15405902471,13097.8552839712,17986.9233764486
"25","BRN",33520.8210622683,39670.9085657449,51033.3251246229
"26","BTN",61047.9155499251,65742.2858964189,70999.5470424899
"27","BWA",27105.0935053939,35311.045838187,41453.5394761536
"28","CAF",16633.2312061802,20104.4999288215,23058.060081283
"29","CAN",5963691.98694916,6543359.38357452,9638032.11230645
"30","CHE",688603.841871542,875793.994190183,1307337.84758632
"31","CHL",2794403.349344,2979268.86692326,3400353.56029015
"32","CIV",214612.476791538,240809.8926724,261258.831869336
"33","CMR",91400.8550503967,109271.362682977,125281.98961894
"34","COD",7664.26248865261,8788.10791799562,10050.9111677331
"35","COG",37311.6634309568,41701.7840956535,46856.0474076544
"36","COL",1867380.34029283,2245451.52408056,2769688.80328542
"37","COM",19817.3770106761,23223.1877463862,26164.6322492652
"38","CPV",22359.0509887894,25595.5203720048,27886.2863920645
"39","CRI",407151.358971092,470542.121382527,520419.85002752
"40","CUB",1710927.64208769,2415014.78403259,2896092.28883405
"41","CYP",98913.372338423,126577.551701532,153510.741913726
"42","CZE",910887.154337504,1091541.98990784,1237659.65365333
"43","DEU",12629420.10415,13585596.8224561,14780687.1858049
"44","DJI",7162.48886355987,8730.39497495239,9993.07258164306
"45","DNK",691676.872406194,756718.021955516,835318.308797974
"46","DOM",270062.353447539,339228.11252574,424815.991447062
"47","DZA",262164.754095692,333394.640845015,439701.652487963
"48","ECU",747034.699597526,908751.936391484,1164984.82359472
"49","EGY",1650073.9787292,1923507.70752726,2176789.86574056
"50","ERI",0,0,0
"51","ESP",8103223.43617293,9010645.27414333,10365562.4622224
"52","EST",144120.578395577,164056.418823929,179986.460073942
"53","ETH",412269.860479195,498996.676723003,562591.336183006
"54","FIN",743382.767646775,796530.775869596,871197.96931115
"55","FJI",61280.9001669131,71515.0989190022,84548.9856684026
"56","FRA",9959335.19960728,11907440.9549398,15796974.6496364
"57","FSM",0.0148025801257775,2.12619718027651,479.255130698208
"58","GAB",16700.4091712965,19606.4645526586,21798.1143466687
"59","GBR",7402247.58856797,10108175.9191975,15866993.2868244
"60","GEO",180065.362084136,193227.200721393,222931.322789049
"61","GHA",187470.408471514,209827.07794443,233207.148780475
"62","GIN",96715.5632989498,110888.119075369,128874.390086187
"63","GMB",18852.8938278499,21034.2752094686,23341.5458181142
"64","GNB",10005.2621423027,11771.4410861003,14045.807234616
"65","GNQ",12323.0519505807,24971.1183550271,30659.1950620019
"66","GRC",1519012.20419119,1649643.19702768,1764571.94627381
"67","GRD",500.562190365414,692.379322209742,3199.2292994698
"68","GTM",558991.31158206,637463.721389062,765378.138707271
"69","GUY",38436.880085661,43181.4043646113,46321.6814307871
"70","HND",220996.71284743,284807.307325458,316431.152576527
"71","HRV",352969.135428241,411527.876110306,451131.052523952
"72","HTI",2289.4345781151,2811.29256329142,3380.03837634264
"73","HUN",675809.943578824,818707.350335152,1101282.69832376
"74","IDN",9654374.92385138,11656633.6595755,13387573.5731945
"75","IND",64186543.8535741,72437701.3352077,75911011.8255194
"76","IRL",695896.011215302,738062.293883138,767766.912483674
"77","IRN",3290252.77006001,3762202.80919457,4568911.99304015
"78","IRQ",210667.130939261,273011.017488703,335132.462653104
"79","ISL",50522.7166999311,78711.6748672261,98940.1415744113
"80","ISR",733813.624743368,812614.337440405,897209.573890495
"81","ITA",8498335.99060088,9295681.95220315,10137090.4960582
"82","JAM",33596.8474232172,41740.279455649,48977.9492564211
"83","JOR",468682.966742048,523076.781723856,561215.575945435
"84","JPN",5255854.08380834,6626934.63229999,8091827.78771408
"85","KAZ",889490.870227311,975294.144899244,1087735.34928562
"86","KEN",348673.124981263,398741.273084643,439334.581964496
"87","KGZ",46903.1940830987,65961.6067719577,91085.9544770135
"88","KHM",1082255.6752839,1142755.52484893,1208331.78351665
"89","KOR",8100371.23656683,9284678.60165717,10538064.6460824
"90","KWT",237434.40804417,266863.297341055,305102.275602629
"91","LAO",370433.195404403,391844.828771803,415982.752219154
"92","LBN",227921.921643224,269527.899145092,308565.47459622
"93","LBR",22167.0460935302,25149.1714775931,28585.1225235904
"94","LBY",136203.121975292,158101.959777778,181180.280011824
"95","LCA",6326.28821839972,7039.05304139162,8048.80948633742
"96","LKA",1751397.99810172,1865325.82307543,2069046.45046811
"97","LSO",16958.9512025073,19847.5390373926,22816.050185328
"98","LTU",345205.640996565,379248.728643714,393069.110250875
