"","iso3c","vsl_total_low","vsl_total_med","vsl_total_high"
"1","AFG",1034353825.161,1138437040.35149,1211086722.75392
"2","AGO",4809009358.15535,5113813799.3102,5512172594.75593
"3","ALB",6530918879.53861,7934213759.87932,8804437892.35569
"4","ARE",84638423172.0697,94313714129.4655,110410950611.213
"5","ARG",171409804578.086,201436931049.824,238314982139.139
"6","ARM",2856460292.07379,3236752106.33307,3449580538.90454
"7","ATG",841704416.025414,977887607.505581,1469118530.50234
"8","AUS",762451142214.593,982817946503.159,1570759653116.58
"9","AUT",324366696427.172,347216744325.083,378436824874.541
"10","AZE",27531920711.8137,30592797022.9774,31965829427.4758
"11","BDI",910.606917810991,3427.46132758598,5741.10473077079
"12","BEL",842547201929.169,1268572229683.03,1717823508991.35
"13","BEN",345548265.984561,407132019.331032,478363978.461812
"14","BFA",214264427.341776,248520901.595736,310725574.497917
"15","BGD",59207010277.0168,67971796971.5544,84094462697.0473
"16","BGR",49444584027.8417,59505699425.7244,65112944109.0436
"17","BHR",9441239715.93448,10534100093.8162,12954185569.3237
"18","BHS",4201112004.11947,4927759514.45788,5386258713.67083
"19","BIH",7962537295.85207,9618708954.56629,11089019587.8235
"20","BLR",24900672892.3656,28598099936.7776,34843644778.856
"21","BLZ",865632405.10337,1079524167.09418,1176745218.12493
"22","BOL",8582637444.42816,9875987802.87947,11020736050.6724
"23","BRA",1079719088262.89,1236952865843.09,1317474887968.71
"24","BRB",1570880925.32969,2234240530.02116,2963878330.70039
"25","BRN",7330442069.72719,8407418207.30909,10524417101.1128
"26","BTN",1547780630.34081,1658698590.93942,1771323285.79647
"27","BWA",2324241376.37589,3009360194.44368,3446749260.51993
"28","CAF",88759253.5086106,107912132.112014,123482055.06531
"29","CAN",2051841595937.64,2253979726338.42,3217964472058.33
"30","CHE",443550232498.345,558852288887.835,824732838362.867
"31","CHL",298437432046.032,317842133248.91,356211155222.218
"32","CIV",4053788816.47459,4676715421.06869,5100270588.43597
"33","CMR",1313932587.68999,1618900014.98288,1899001135.85224
"34","COD",38821521.0949341,44868399.4363585,52021020.4699233
"35","COG",658654570.137471,760026286.606242,858699066.965715
"36","COL",86700467930.3538,103900010836.052,128398044138.796
"37","COM",219635474.504393,254445469.823043,286066692.94727
"38","CPV",665792283.474272,757318910.260273,819609285.863526
"39","CRI",34235227880.1351,39436917765.9163,43423383852.9824
"40","CUB",0,0,0
"41","CYP",20188486412.9635,26113821977.2573,31703114180.1908
"42","CZE",186796235389.388,225010256081.846,256759840651.152
"43","DEU",5017449981090.44,5413261268471.43,5969492587394.37
"44","DJI",268113414.924985,323499782.349607,361524138.517636
"45","DNK",378242661956.372,414439513761.46,459943837150.225
"46","DOM",16456233406.126,20466969324.7731,25404084208.9125
