"","iso3c","hospitalisations_total_low","hospitalisations_total_med","hospitalisations_total_high"
"1","AFG",5184413.42629471,5184413.42629471,5184413.42629471
"2","AGO",5674128.76162023,5674128.76162023,5674128.76162023
"3","ALB",2439376.00487259,2439376.00487259,2439376.00487259
"4","ARE",7030175.080057,7030175.080057,7030175.080057
"5","ARG",40870555.510617,40870555.510617,40870555.510617
"6","ARM",1216879.13193566,1216879.13193566,1216879.13193566
"7","ATG",103973.700890433,103973.700890433,103973.700890433
"8","AUS",34736744.7140048,34736744.7140048,34736744.7140048
"9","AUT",14746283.0255862,14746283.0255862,14746283.0255862
"10","AZE",10151292.4410898,10151292.4410898,10151292.4410898
"11","BDI",41.5761484252935,41.5761484252935,41.5761484252935
"12","BEL",26082783.2141523,26082783.2141523,26082783.2141523
"13","BEN",582995.195964704,582995.195964704,582995.195964704
"14","BFA",573140.245797805,573140.245797805,573140.245797805
"15","BGD",47003863.513699,47003863.513699,47003863.513699
"16","BGR",9352248.66778649,9352248.66778649,9352248.66778649
"17","BHR",964245.479904207,964245.479904207,964245.479904207
"18","BHS",321637.716419336,321637.716419336,321637.716419336
"19","BIH",2371194.14941389,2371194.14941389,2371194.14941389
"20","BLR",7429498.2324243,7429498.2324243,7429498.2324243
"21","BLZ",309396.153008822,309396.153008822,309396.153008822
"22","BOL",5298074.44243462,5298074.44243462,5298074.44243462
"23","BRA",282994494.146292,282994494.146292,282994494.146292
"24","BRB",291620.458376748,291620.458376748,291620.458376748
"25","BRN",473720.75061999,473720.75061999,473720.75061999
"26","BTN",969033.749385376,969033.749385376,969033.749385376
"27","BWA",736485.540468565,736485.540468565,736485.540468565
"28","CAF",385614.90918831,385614.90918831,385614.90918831
"29","CAN",82077278.6526179,82077278.6526179,82077278.6526179
"30","CHE",12235552.6231479,12235552.6231479,12235552.6231479
"31","CHL",41258669.7746735,41258669.7746735,41258669.7746735
"32","CIV",3634243.28427068,3634243.28427068,3634243.28427068
"33","CMR",1822690.84629117,1822690.84629117,1822690.84629117
"34","COD",163141.462892988,163141.462892988,163141.462892988
"35","COG",666880.680964235,666880.680964235,666880.680964235
"36","COL",33091963.7493343,33091963.7493343,33091963.7493343
"37","COM",298591.861980829,298591.861980829,298591.861980829
"38","CPV",353184.875485607,353184.875485607,353184.875485607
"39","CRI",5297241.88270433,5297241.88270433,5297241.88270433
"40","CUB",29979831.4046664,29979831.4046664,29979831.4046664
"41","CYP",1687525.61601048,1687525.61601048,1687525.61601048
"42","CZE",17921384.7388972,17921384.7388972,17921384.7388972
"43","DEU",194735985.153755,194735985.153755,194735985.153755
"44","DJI",181664.717339155,181664.717339155,181664.717339155
"45","DNK",11961074.2054415,11961074.2054415,11961074.2054415
"46","DOM",5919976.32557353,5919976.32557353,5919976.32557353
"47","DZA",8303265.98540076,8303265.98540076,8303265.98540076
"48","ECU",13743932.6300045,13743932.6300045,13743932.6300045
"49","EGY",29579146.5124753,29579146.5124753,29579146.5124753
"50","ERI",0,0,0
"51","ESP",122848554.982984,122848554.982984,122848554.982984
"52","EST",2700970.46516227,2700970.46516227,2700970.46516227
"53","ETH",9642589.34430508,9642589.34430508,9642589.34430508
"54","FIN",10283911.0098408,10283911.0098408,10283911.0098408
"55","FJI",751047.141299537,751047.141299537,751047.141299537
"56","FRA",156649369.970537,156649369.970537,156649369.970537
"57","FSM",1550.29617043994,1550.29617043994,1550.29617043994
"58","GAB",362933.649260242,362933.649260242,362933.649260242
"59","GBR",106480782.123836,106480782.123836,106480782.123836
"60","GEO",3783210.17543942,3783210.17543942,3783210.17543942
"61","GHA",3342569.69083557,3342569.69083557,3342569.69083557
"62","GIN",1711051.51650076,1711051.51650076,1711051.51650076
"63","GMB",325724.81441061,325724.81441061,325724.81441061
"64","GNB",205550.659530526,205550.659530526,205550.659530526
"65","GNQ",408345.677989626,408345.677989626,408345.677989626
"66","GRC",25104608.1157736,25104608.1157736,25104608.1157736
"67","GRD",16411.104414332,16411.104414332,16411.104414332
"68","GTM",8102905.01437448,8102905.01437448,8102905.01437448
"69","GUY",692469.776749572,692469.776749572,692469.776749572
"70","HND",4434359.69022518,4434359.69022518,4434359.69022518
"71","HRV",7193564.73903239,7193564.73903239,7193564.73903239
"72","HTI",82741.8319151095,82741.8319151095,82741.8319151095
"73","HUN",17163719.5082661,17163719.5082661,17163719.5082661
"74","IDN",171495689.415104,171495689.415104,171495689.415104
"75","IND",1045538902.10724,1045538902.10724,1045538902.10724
"76","IRL",10614664.6451787,10614664.6451787,10614664.6451787
"77","IRN",49257389.8851822,49257389.8851822,49257389.8851822
"78","IRQ",4437270.19401917,4437270.19401917,4437270.19401917
"79","ISL",864034.342298855,864034.342298855,864034.342298855
"80","ISR",11536213.100559,11536213.100559,11536213.100559
"81","ITA",146187746.985957,146187746.985957,146187746.985957
"82","JAM",792974.740862173,792974.740862173,792974.740862173
"83","JOR",6263314.00202884,6263314.00202884,6263314.00202884
"84","JPN",114466844.788811,114466844.788811,114466844.788811
"85","KAZ",14213863.6482877,14213863.6482877,14213863.6482877
"86","KEN",6458541.12904595,6458541.12904595,6458541.12904595
"87","KGZ",1307806.24874684,1307806.24874684,1307806.24874684
"88","KHM",15717477.3948511,15717477.3948511,15717477.3948511
"89","KOR",128190188.452798,128190188.452798,128190188.452798
"90","KWT",2863680.89033882,2863680.89033882,2863680.89033882
"91","LAO",5235661.85022371,5235661.85022371,5235661.85022371
"92","LBN",4264296.43686101,4264296.43686101,4264296.43686101
"93","LBR",412563.104064257,412563.104064257,412563.104064257
"94","LBY",2048174.28778871,2048174.28778871,2048174.28778871
"95","LCA",124664.494360332,124664.494360332,124664.494360332
"96","LKA",27322796.6459859,27322796.6459859,27322796.6459859
"97","LSO",473213.677812923,473213.677812923,473213.677812923
"98","LTU",7084280.38802806,7084280.38802806,7084280.38802806
"99","LUX",1043015.93804987,1043015.93804987,1043015.93804987
"100","LVA",4299799.2726379,4299799.2726379,4299799.2726379
"101","MAR",25772757.8974787,25772757.8974787,25772757.8974787
"102","MDA",2480297.26419809,2480297.26419809,2480297.26419809
"103","MDG",1283382.7867432,1283382.7867432,1283382.7867432
"104","MDV",553435.340887664,553435.340887664,553435.340887664
"105","MEX",83024746.5944266,83024746.5944266,83024746.5944266
"106","MKD",2315531.69312593,2315531.69312593,2315531.69312593
"107","MLI",939541.537085512,939541.537085512,939541.537085512
"108","MLT",1131948.25064278,1131948.25064278,1131948.25064278
"109","MMR",17850138.2240448,17850138.2240448,17850138.2240448
"110","MNE",641263.467783166,641263.467783166,641263.467783166
"111","MNG",2765887.96125553,2765887.96125553,2765887.96125553
