"","iso3c","infections_total_low","infections_total_med","infections_total_high"
"1","ABW",4742414.2297722,4742414.2297722,4742414.2297722
"2","AFG",218810654.074458,218810654.074458,218810654.074458
"3","AGO",344492902.095775,344492902.095775,344492902.095775
"4","ALB",40004793.6059592,40004793.6059592,40004793.6059592
"5","ARE",572359434.853718,572359434.853718,572359434.853718
"6","ARG",1492218081.64194,1492218081.64194,1492218081.64194
"7","ARM",19984624.2703867,19984624.2703867,19984624.2703867
"8","ATG",3154681.26907131,3154681.26907131,3154681.26907131
"9","AUS",1549777468.1655,1549777468.1655,1549777468.1655
"10","AUT",314704960.386835,314704960.386835,314704960.386835
"11","AZE",248542393.307176,248542393.307176,248542393.307176
"12","BDI",5071.75232125959,5071.75232125959,5071.75232125959
"13","BEL",783869089.251131,783869089.251131,783869089.251131
"14","BEN",25606162.0189117,25606162.0189117,25606162.0189117
"15","BFA",25155106.7944929,25155106.7944929,25155106.7944929
"16","BGD",1786368997.32234,1786368997.32234,1786368997.32234
"17","BGR",76853082.2833247,76853082.2833247,76853082.2833247
"18","BHR",53000994.6277202,53000994.6277202,53000994.6277202
"19","BHS",8200780.27287045,8200780.27287045,8200780.27287045
"20","BIH",36261592.5093683,36261592.5093683,36261592.5093683
"21","BLR",112571560.548827,112571560.548827,112571560.548827
"22","BLZ",10753252.8498439,10753252.8498439,10753252.8498439
"23","BOL",202009637.959738,202009637.959738,202009637.959738
"24","BRA",9388448672.1794,9388448672.1794,9388448672.1794
"25","BRB",6527154.92341984,6527154.92341984,6527154.92341984
"26","BRN",20313815.5835533,20313815.5835533,20313815.5835533
"27","BTN",48391253.1667746,48391253.1667746,48391253.1667746
"28","BWA",17254434.9984292,17254434.9984292,17254434.9984292
"29","CAF",25383348.9501307,25383348.9501307,25383348.9501307
"30","CAN",2484443817.62981,2484443817.62981,2484443817.62981
"31","CHE",313594586.122786,313594586.122786,313594586.122786
"32","CHL",1446646719.52953,1446646719.52953,1446646719.52953
"33","CIV",215538620.392788,215538620.392788,215538620.392788
"34","CMR",82499266.3335491,82499266.3335491,82499266.3335491
"35","COD",9272292.32078161,9272292.32078161,9272292.32078161
"36","COG",34577034.1295192,34577034.1295192,34577034.1295192
"37","COL",1106615617.42338,1106615617.42338,1106615617.42338
"38","COM",21614700.1439589,21614700.1439589,21614700.1439589
"39","CPV",14657052.8898843,14657052.8898843,14657052.8898843
"40","CRI",177183275.497195,177183275.497195,177183275.497195
"41","CUB",732181352.905917,732181352.905917,732181352.905917
"42","CUW",4635248.30912217,4635248.30912217,4635248.30912217
"43","CYP",50381795.3656007,50381795.3656007,50381795.3656007
"44","CZE",365609685.999161,365609685.999161,365609685.999161
"45","DEU",4381716317.37283,4381716317.37283,4381716317.37283
"46","DJI",2340510.36041148,2340510.36041148,2340510.36041148
"47","DNK",297785919.618649,297785919.618649,297785919.618649
"48","DOM",293507712.311435,293507712.311435,293507712.311435
"49","DZA",258643367.323095,258643367.323095,258643367.323095
"50","ECU",778177120.919338,778177120.919338,778177120.919338
"51","EGY",1092738492.22038,1092738492.22038,1092738492.22038
"52","ERI",0,0,0
"53","ESP",2980087992.04905,2980087992.04905,2980087992.04905
"54","EST",51299411.6887946,51299411.6887946,51299411.6887946
"55","ETH",305149384.601188,305149384.601188,305149384.601188
"56","FIN",262201694.21549,262201694.21549,262201694.21549
