"","iso3c","y_gained_low","y_gained_med","y_gained_high"
"1","AFG",3821.13601896352,12364.7208999228,47865.5469951807
"2","AGO",6661.71215778806,19584.7698931475,45588.9549365138
"3","ALB",471.173960141989,4482.48992713845,24705.432045909
"4","ARE",1309.51288045404,12155.4244154685,65251.5159899155
"5","ARG",16056.6117633422,125942.658309625,332640.534091429
"6","ARM",204.248840099722,2266.23907005045,15439.4211665614
"7","ATG",43.9073352948453,409.768541820503,1191.81768732389
"8","AUS",13972.6367807092,157252.442033377,437236.720643192
"9","AUT",1654.62498876417,35874.0302222528,141110.928588182
"10","AZE",3194.07433700005,27171.4796427147,127745.599506525
"11","BDI",0.0148248615467027,0.0984867638945083,0.356410711361751
"12","BEL",9738.63081877609,133294.643451273,507132.256695206
"13","BEN",415.066509997151,1636.24178080707,4365.67759534188
"14","BFA",410.476305616815,1372.65025159611,3886.3054707381
"15","BGD",24972.2393505139,184711.975105142,401921.26639968
"16","BGR",524.32992971033,7057.95293483061,107549.880327511
"17","BHR",241.130959499261,2517.55113752019,9564.32873484615
"18","BHS",98.5316789304072,1020.86233124843,3330.45405066131
"19","BIH",228.030615179111,4451.30938648599,23141.9830087403
"20","BLR",1194.33962823896,13035.0003432787,72806.0941583157
"21","BLZ",149.795611071905,1383.06930153356,3367.71881135053
"22","BOL",3320.68353480884,19649.1605822364,39322.9920410435
"23","BRA",101445.997283538,1040141.2081958,2497148.95233522
"24","BRB",34.2830202031802,560.007394939828,2511.11367589011
"25","BRN",118.583788182374,1805.68052438714,6123.18125466174
"26","BTN",604.485482384437,3753.12812352401,7562.60560087068
"27","BWA",250.646956211009,1644.12676593805,7053.01106410197
"28","CAF",306.303356661644,1022.29443938377,2599.12968667876
"29","CAN",19608.1555240266,314787.756545676,1115338.62726702
"30","CHE",2574.18580176936,46453.0025688344,142111.122603054
"31","CHL",12752.0308524379,142308.086703913,417037.735264185
"32","CIV",3092.97067202315,12729.8809345175,36394.0169415731
"33","CMR",1594.15472355597,5633.32655678678,15481.40669227
"34","COD",135.617382336943,445.00788102672,1514.46259381377
"35","COG",600.822420497621,2362.62601971312,5981.11276165722
"36","COL",11845.7111947669,106704.222786536,320651.554443069
"37","COM",353.460237439673,1014.52593763251,2795.25912262637
"38","CPV",228.266283009538,1218.69757573113,3423.38971818456
"39","CRI",2528.4067509075,23986.3172850044,63084.6776731884
"40","CUB",6844.33453236216,79179.5370718621,367385.051792767
"41","CYP",447.629763087445,7040.19392246115,18031.368151807
"42","CZE",3005.16791023125,62120.1718252968,155747.828027442
"43","DEU",32590.5181547627,499278.673515581,2532674.6657115
"44","DJI",43.0990384957907,241.882630310292,1775.20345856017
"45","DNK",2063.82126581344,35306.8046617583,105605.504572042
"46","DOM",2795.67326851977,18503.0446256903,42640.7024549923
"47","DZA",549.770788722018,18666.3879830683,52162.2548601255
"48","ECU",8501.89074171168,49982.2114109013,116312.548599686
"49","EGY",19731.8343974025,102512.622157334,255249.964578306
"50","ERI",0,0,0
"51","ESP",20884.643207587,470240.475005745,1600236.35372658
"52","EST",412.779427734108,6526.98395303317,32325.8132192409
"53","ETH",5923.71730304323,21502.5223646098,79433.1598410989
"54","FIN",2203.09206476031,37587.2710838589,114767.374297979
"55","FJI",341.123819102434,3099.90887559706,10582.4973789446
"56","FRA",29663.3574424326,447132.610323787,2430064.42226283
"57","FSM",5.33774602906033e-05,0.0696111051654861,31.587275435864
"58","GAB",253.147196594056,1058.38694158097,2812.60919126891
"59","GBR",33834.2953203798,515487.269463589,1767124.49691578
"60","GEO",606.89472096858,5713.33370528436,36647.7708818873
"61","GHA",2516.29486872097,11614.2094212912,27881.9380329237
"62","GIN",1596.40458793593,5481.04953558928,14758.1180458961
"63","GMB",343.360530798086,1110.60212494966,2922.08668971851
"64","GNB",173.118875542835,644.394145379807,1532.49513484524
"65","GNQ",293.56765730571,1170.11328648787,2774.67081634568
"66","GRC",2974.55073632473,68150.087568837,351404.509557512
"67","GRD",2.60247001763578,18.8164485609668,242.042266617701
"68","GTM",4848.11108017804,35526.9030851175,84257.8325289712
"69","GUY",296.290139879955,2131.39952041478,6189.03217164095
"70","HND",2799.91435470255,15374.3373904369,33752.3632313453
